angle_deg,level_db
-56.30473785288306,-35.9700398391469
-56.25313400174862,-35.85112897681368
-56.20159962358991,-35.734973101803085
-56.15013439704719,-35.62150895734963
-56.09873800313373,-35.510675806433
-56.04741012521143,-35.40241532706745
-55.996150448966574,-35.296671511191484
-55.944958662386114,-35.19339056728866
-55.893834455734044,-35.09252082680656
-55.842777521528255,-34.994012654388264
-55.791787554517626,-34.8978183618966
-55.7408642516594,-34.80389212617423
-55.690007312096895,-34.7121899104659
-55.6392164371374,-34.622669389407044
-55.58849133023055,-34.5352898774737
-55.5378316969468,-34.45001226077699
-55.48723724495624,-34.36679893208187
-55.436707684007644,-34.285613728925945
-55.38624272590792,-34.206421874711744
-55.33584208450166,-34.12918992264706
-55.28550547565099,-34.05388570240974
-55.23523261721573,-33.98047826941455
-55.185023229033796,-33.90893785656235
-55.13487703290178,-33.83923582835724
-55.084793752555825,-33.771344637279356
-55.03477311365274,-33.70523778230633
-54.98481484375137,-33.64088976947897
-54.93491867229414,-33.57827607441403
-54.88508433058884,-33.51737310666782
-54.83531155179067,-33.45815817586195
-54.78560007088452,-33.400609459484265
-54.735949624667434,-33.344705972284174
-54.68635995173123,-33.29042753718436
-54.63683079244543,-33.237754757634775
-54.58736188894043,-33.186668991340674
-54.53795298509072,-33.1371523252973
-54.48860382649843,-33.08918755206909
-54.439314160477025,-33.04275814725424
-54.39008373603525,-32.99784824807898
-54.34091230386124,-32.95444263306898
-54.291799616306726,-32.912526702746725
-54.242745427371595,-32.87208646130972
-54.19374949268855,-32.83310849924385
-54.14481156950796,-32.795579976830595
-54.09593141668284,-32.75948860850842
-54.047108794654086,-32.72482264805198
-53.998343465435916,-32.691570874533284
-53.94963519260134,-32.65972257903246
-53.90098374126791,-32.62926755206767
-53.85238887808361,-32.600196071714464
-53.80385037121294,-32.57249889238763
-53.755367990323116,-32.54616723426068
-53.70694150657042,-32.52119277329863
-53.65857069258678,-32.497567631880806
-53.61025532246644,-32.47528436999495
-53.56199517175284,-32.45433597698106
-53.51379001742556,-32.434715863808535
-53.46563963788749,-32.416417855868616
-53.41754381295215,-32.39943618626689
-53.36950232383111,-32.38376548960189
-53.321514953121564,-32.36940079621573
-53.27358148479407,-32.35633752690549
-53.22570170418041,-32.34457148808315
-53.17787539796159,-32.334098867374884
-53.13010235415599,-32.32491622965031
-53.08238236210756,-32.31702051347287
-53.03471521247437,-32.31040902796574
-52.987100697217,-32.30507945008441
-52.93953860958727,-32.30102982229329
-52.892028744116985,-32.29825855063967
-52.84457089660691,-32.2967644032224
-52.79716486411575,-32.296546509052206
-52.749810444949325,-32.29760435730158
-52.70250743864982,-32.29993779694262
-52.65525564598523,-32.30354703677408
-52.6080548689388,-32.30843264583591
-52.56090491069875,-32.31459555421462
-52.51380557564789,-32.322037054240596
-52.46675666935358,-32.33075880208073
-52.41975799855759,-32.340762819730365
-52.372809371166284,-32.352051497409626
-52.325910596240675,-32.364627596369125
-52.27906148398682,-32.37849425211291
-52.232261845746116,-32.3936549780452
-52.185511493985864,-32.41011366955041
-52.13881024228978,-32.427874608515175
-52.092157905348806,-32.44694246830466
-52.045554298951764,-32.46732231920283
-51.99899923997638,-32.48901963433197
-51.95249254638014,-32.5120402960638
-51.906034037191525,-32.53639060293827
-51.859623532501026,-32.562077277107754
-51.813260853452554,-32.589107472322965
-51.766945822234696,-32.617488782481296
-51.72067826207226,-32.64722925075929
-51.67445799721774,-32.678337379349834
-51.628284852943,-32.71082213983165
-51.58215865553094,-32.744692984194394
-51.536079232267376,-32.779959856549226
-51.49004641143285,-32.816633205555206
-51.44406002229467,-32.85472399759272
-51.39811989509891,-32.89424373072006
-51.352225861062585,-32.93520444944996
-51.306377752365854,-32.97761876038453
-51.26057540214435,-33.02149984875387
-51.21481864448148,-33.06686149590204
-51.169107314401,-33.11371809776945
-51.12344124785941,-33.16208468442477
-51.077820281738695,-33.21197694070146
-51.0322442538389,-33.26341122799973
-50.986713002870964,-33.31640460731629
-50.94122636844949,-33.37097486357311
-50.89578419108573,-33.42714053131624
-50.85038631218044,-33.484920921864514
-50.80503257401706,-33.5443361519925
-50.7597228197547,-33.6054071742375
-50.714456893421435,-33.66815580892768
-50.66923463990746,-33.73260477803535
-50.62405590495849,-33.79877774096544
-50.57892053516908,-33.86669933240074
-50.533828377976135,-33.936395202329095
-50.48877928165235,-34.00789205839226
-50.443773095299875,-34.08121771070283
-50.39880966884387,-34.156401119287885
-50.353888853026284,-34.233472444328726
-50.30901049939957,-34.312463099381056
-50.264174460320554,-34.39340580776949
-50.219380588944254,-34.47633466237013
-50.17462873921792,-34.56128518900506
-50.12991876587496,-34.64829441369526
-50.08525052442904,-34.73740093403138
-50.0406238711682,-34.82864499494625
-49.99603866314903,-34.92206856919018
-49.9514947581909,-35.01771544283568
-49.906992014870234,-35.115631306159784
-49.8625302925149,-35.215863850280705
-49.818109451198566,-35.318462869951624
-49.77372935173516,-35.42348037294386
-49.729389855673375,-35.530970696482235
-49.68509082529124,-35.64099063123082
-49.640832123590705,-35.75359955335837
-49.59661361429231,-35.868859565251086
-49.552435161829884,-35.986835645475665
-49.50829663134534,-36.107595808635686
-49.464197888683444,-36.2312112758004
-49.42013880038668,-36.357756656224694
-49.37611923369016,-36.48731014111333
-49.332139056516596,-36.619953710217416
-49.28819813747127,-36.7557733520792
-49.24429634583709,-36.89485929876273
-49.200433551569674,-37.037306275918134
-49.15660962529253,-37.18321376902403
-49.1128244382922,-37.332686306629704
-49.06907786251347,-37.48583376136472
-49.025369770554676,-37.642771669397554
-48.98170003566303,-37.80362156888518
-48.938068531729954,-37.96851135775719
-48.894475133286456,-38.13757567088462
-48.85091971549863,-38.310956276287314
-48.80740215416309,-38.488802489487114
-48.76392232570256,-38.67127160436917
-48.72048010716133,-38.858529337928694
-48.677075376200946,-39.05075028495496
-48.633708011095884,-39.24811837696144
-48.590377890729144,-39.450827337354106
-48.547084894588025,-39.659081121793534
-48.50382890275987,-39.87309432870481
-48.4606097959279,-40.09309255962422
-48.41742745536704,-40.31931270217853
-48.37428176293973,-40.55200309941501
