niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_period_train,descriptor_amplitude_train,descriptor_period_validation,descriptor_amplitude_validation,validation_niche_id,same_niche,visit_count,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
331,11,16,10.151540944318562,10.78575351174302,40.94295412622981,16289.5,41.427744555320345,16742.625,331,1,42,1.4686380210439225,2.984718425665818,-1.8741392492559532,2.148780078029488,1.7194861960723962,1.1839403637272763,0.5443477616947845,-0.6060122676595161,-0.012474016399810647,-0.8138718488105061,0.16355667537188315,-0.3490667687600254,0.3604157718906085,1.7504044349284684,1.9818013475701846
314,14,15,10.172698601923528,11.056879514361524,48.86506881090592,15797.25,52.537378694058155,15997.75,315,0,26,1.2923101544633067,3.0560054473484484,-1.760156463018678,2.1734841370690243,1.7743371813813538,1.1746567832409953,0.6427761624989736,-0.6983247274396027,0.015150218723488967,-0.7701422587791676,-0.5,0.051279613571501736,0.15034670504902706,1.8890761376867375,2.3316216958511364
372,12,18,10.182569806615742,11.094952401154496,42.80876369658597,18017.5,43.60898122786263,18400.375,372,1,53,1.3321642189324667,3.053393673563356,-2.081148456326456,2.146523498913784,1.6491159676461766,1.1989700043360187,0.5775454316699806,-0.7330521185885756,-0.03244057265029849,-0.7978358585516466,0.42866093227199087,-0.3893858506041944,0.47924144723587003,1.733532694992017,2.023212870908966
353,13,17,10.200551899494624,12.213101306484834,46.448264536087514,17136.25,55.57854666294332,17193.375,356,0,22,1.3762544913925485,2.942964720591344,-1.5,2.08508779945536,1.8139684237695028,1.1989700043360187,0.7194807921985962,-0.8010299956639813,-0.12009299543512858,-0.8171142101688249,-0.040907017487244964,-0.07604408324106762,0.10456526499562412,1.5977886392306953,2.160123528441062
316,16,15,10.213999323293963,9.05009300704762,53.28407437185912,15164.25,58.425603565990656,9214.625,198,0,36,1.325634744429364,3.0757620000029933,-2.035181797809724,2.0654828848464013,1.7370497615837757,1.1989700043360187,0.9327077920641439,-0.8010299956639813,-0.018534024204423002,-1.117094599162655,-0.5,-0.17214209235178038,0.10802169452737198,1.8203583795308993,2.3620336539540343
296,16,14,10.225433322198409,10.983094536705492,54.93935228743609,14145,54.21206708833469,14069,296,1,28,1.3678095463876825,3.034095461195273,-1.938324457083442,2.1989700043360187,1.6750929505752692,1.17471193002199,0.7106162257218139,-0.7492214863781506,0.06660814905183132,-0.889051681492858,0.4016929958450893,-0.1839452003484198,0.3946456621790131,1.696850738998162,1.766022693536568
285,5,14,10.228497251957714,10.260493220527485,24.34061011905638,14256.25,24.452237433616535,13955.625,265,0,33,1.5045435688599769,3.046698685401855,-1.8652954914412185,2.1989700043360187,2.1795163405667917,1.1712441136231166,1.0844366327772603,-0.6862355847383187,0.08783000718549851,-0.635981049454046,0.296004639901949,0.3946015384249394,-0.19004986883811814,1.5140647017789717,2.126623753527477
222,2,11,10.264288206920478,10.150953429802248,16.104281368919523,11833.25,15.948818946763009,11616.25,222,1,33,1.4348950396885825,3.1219264453929334,-1.8178556464412643,2.1989700043360187,2.11444108508056,1.1946417886568694,0.8802025724620517,-0.46516508109414206,0.24067106292199614,-0.41768421797533084,0.2581989516368674,0.30047568648521483,-0.036896631671909215,1.590751370983548,2.1289143002208695
297,17,14,10.28075815237213,11.546288909505147,55.73945172186457,14057,60.352055678005854,13243.875,278,0,36,1.3032921705528957,2.8771033701046025,-1.993583514506828,1.9996137717634754,1.760046710380751,1.1989700043360187,0.5565158084273415,-0.8010299956639813,-0.04063741225798763,-0.7389946106479622,-0.07879889064873352,-0.03689434598565272,0.8010299956639813,1.922931711552342,2.21795555066441
330,10,16,10.289944784127668,11.016984202508844,38.1232563200516,16120,38.56188028253732,16022.25,330,1,28,1.5353327367861016,3.034828729104635,-1.6552099650524827,2.181462421125818,1.765967563083125,1.1537281953840797,0.696708569076058,-0.6193826535914743,-0.02988487815636138,-0.8330325826110253,0.44558349599632285,-0.27061594729116,0.42575748239174366,1.5972185637146827,2.1134700194414977
351,11,17,10.29471677254267,11.087261436037798,41.19209356531811,17559.5,42.04168984422943,17414.25,352,0,46,1.586165374401714,3.048282126020154,-1.6186595150212937,2.1631816937005395,1.656002208589369,1.1989700043360187,0.5737870931656653,-0.7320649667988912,-0.057611047482506395,-0.7265458258490475,0.06836231249846127,-0.21068862294187646,0.7397145773211122,1.715742509022862,2.1518958116321576
306,6,15,10.32334883301459,11.792818318864834,27.103953399286432,15567.5,25.42132850380802,15758.25,306,1,49,1.3441585919502697,3.1982031648196854,-1.9995864611207863,2.1662209811948294,2.1544727045190952,1.174888316002855,1.0281767568497364,-0.6339668731117543,0.07591544316678986,-0.504146773955221,0.18708303346971417,0.5,0.27446636850900413,1.4856787227289874,1.8629816274128184
298,18,14,10.329359032998276,10.326203165398672,59.19743137822134,14794.5,61.385910970322,14135.625,299,0,53,1.359371046301359,3.068806691570728,-2.0422320315969396,2.0602737764125534,1.757800119352171,1.1985734315227952,0.9344926782098363,-0.8010299956639813,-0.015546350383869076,-1.1989700043360187,-0.5,-0.17587109538735818,-0.018606673365958698,1.7746422516195248,2.2324074338698257
264,4,13,10.39866837201086,10.52322132524146,20.793744416491727,13196.75,21.77059512281952,13532.75,264,1,39,1.4588588551159725,2.9986684195718745,-1.7317533070273248,2.1989700043360187,2.085616105501949,1.1989700043360187,0.98926285720656,-0.6276179783378807,0.02588343939891464,-0.5796578110774857,0.3064843164637615,0.5,-0.06174090139955851,1.3666345639485569,2.051648964506887
319,19,15,10.419610876895183,10.57783208517156,64,15345.25,64,11650.75,239,0,113,1.2062150494674408,3.0810997788356924,-1.9024737107747576,1.869313605021924,1.7786655710573,1.1989700043360187,0.7375550898010778,-0.7927632812540617,0.04227526899377803,-1.1989700043360187,-0.5,-0.0865672230119134,0.18749760612703165,2.050709043106404,2.173930062762211
334,14,16,10.453892135081404,10.86005822831997,49.25985099691227,16257.75,42.73287449454676,16452.5,332,0,31,1.2770398191893721,3.009891450619399,-1.6655403977540975,2.1657851034664697,1.8303680358435097,1.18500203021972,0.7293776673230479,-0.7106398332756925,-0.04643590697310708,-0.7862536586021326,-0.23432480702370773,0.008713111762875748,0.06792040185699157,1.911291115870916,2.2419548877016497
329,9,16,10.45685335349554,11.289515080391922,33.287373525750475,16099.5,32.02527850889523,16417,328,0,29,1.4788918689907111,3.088296389225533,-1.7740907190143038,2.1971336776089703,2.1158488817802796,1.1774211398830527,1.0438768412911932,-0.7423482319777904,-0.021824914464913633,-0.5788242134071112,0.25083514040807464,0.42507313148577525,0.24782263593795878,1.5753900828537752,2.072397176679687
318,18,15,10.524988829249525,12.615746738900597,59.60437408658751,15158.25,59.253629319586246,17100.5,358,0,71,1.2308738839043356,2.980992866578682,-2.1027165115465243,1.9243138471919898,1.6637672520085063,1.1611390754037116,0.5209803943462392,-0.7633059621335829,-0.03865133563871385,-1.0516622781125962,-0.32188924695645604,0.25869120851245225,0.2940623524357509,1.7845873186494194,2.1748579743669723
374,14,18,10.53042833568166,12.890323585810693,49.24192582759286,18139.75,51.31255368157137,19468.875,395,0,12,1.227836885512764,2.9146258551689694,-1.6998101707811468,2.0831309858477285,1.8404693718830842,1.18350876839924,0.5,-0.7000607836565954,0.017272516697620588,-0.8960480913958924,-0.08267261688776713,-0.07750420708713235,0.024717924937929778,1.8909270476608715,2.3028309564688403
335,15,16,10.577684185158587,10.301867979725195,50.58210184855481,16491.5,48.874191748614656,16475.25,334,0,22,1.242501189229643,2.864680485224171,-1.731705007624564,2.1386823026597104,1.9217867358057306,1.1712854376630473,0.5865315247256737,-0.6458693684211473,0.002425730056844372,-0.8939573072700137,-0.09185370070268879,-0.038570969828947164,0.005034245531079916,2.0444642564347584,2.3982313236211534
352,12,17,10.579965250580683,11.703706635662108,43.375849698450544,17402.25,48.59077035472542,17700.25,354,0,48,1.3187931618326518,3.084690626707654,-1.8505851572994014,2.1729934354922933,1.6531282047649518,1.1989700043360187,0.6677590562156992,-0.7538186417745273,-0.06958380750385357,-0.816294226722289,0.413978450890993,-0.3850803885687199,0.5581292752347525,1.753068635203767,1.9950160340490517
307,7,15,10.6266262291409,11.20121663271564,29.292515894678147,15557.5,34.99730304001031,15556.75,309,0,24,1.43306584840832,2.953182506997461,-1.942102032337903,2.1989700043360187,1.759511834935989,1.1989700043360187,0.6232104088619642,-0.5086158909713426,-0.0676496105889589,-0.8079197061012527,0.3819463816343144,-0.21967715605814087,0.5140248604465609,1.6325939237948395,1.9324269703120638
328,8,16,10.659651148589903,11.082278335171601,31.167341689918906,16142.75,32.723138396369485,16237.625,328,1,47,1.5248568371656408,3.0148070989652216,-2.001085448045464,2.1989700043360187,1.7798264976877727,1.1924570264317034,0.6778518040851312,-0.5891341244944721,-0.05293780580901182,-0.7290424513650424,0.38396795912979775,-0.1860517199255934,0.31849257159417665,1.6058746207817587,1.8667271284768774
305,5,15,10.677996586684454,10.94411588152905,24.700999366514985,15696.5,25.207616259358637,15625.5,306,0,40,1.4675742505191705,3.054649695625847,-1.792328076630379,2.1989700043360187,2.1340829894696722,1.1989700043360187,0.9916305354385714,-0.6219794695366613,0.04153871118559869,-0.5994524874959432,0.3073357413396336,0.5,-0.02394480275368232,1.4866750909027333,2.0441703285080886
349,9,17,10.68130933925004,11.228164787734812,34.019996714363764,17052.75,33.21314897008385,17281.875,349,1,25,1.2685110081548767,2.9809253408133856,-1.863170214378445,2.195362317782692,1.792549376153411,1.1989700043360187,0.5488716769291847,-0.6679398759780484,0.03092863591947169,-0.6491804659923386,0.32142624835046196,0.07327441925234449,0.8010299956639813,1.6437836237067895,1.8855178290905412
284,4,14,10.783381479270851,11.216541597726902,21.242967745289075,14034,21.049696985976066,14019.375,284,1,43,1.65473233851528,3.063992675828215,-1.9029835999046936,2.1753101928068728,1.7971978582700932,1.1989700043360187,0.5,-0.6096348244056302,0.1810802334433479,-0.4670789362773439,0.20756976834283516,0.08560396392019934,0.037802617672236305,1.6358810010060376,2.1514656860899093
338,18,16,10.78367428883908,10.674892212490771,59.94845371682479,16398.75,57.74201029677599,14070.625,297,0,53,1.2441638679630533,3.0051170647535193,-1.7009473740164067,2.165606867631483,1.8708107909816822,1.1989700043360187,0.8123170615305944,-0.7932314891492878,-0.07405479059083026,-0.7913385932910113,-0.5,-0.052421905785336204,0.09027653430429519,1.82848380989514,2.2231388046596816
339,19,16,10.801668641675025,11.231800718708607,64,16200.25,57.164524481225556,15627.5,317,0,86,1.3567154854489585,3.001206945954933,-2.0562179895576476,2.123743370370029,1.689051120042583,1.162131599595713,0.619221584814221,-0.8010299956639813,-0.05283178975723361,-1.0297456027241905,-0.3227988374380683,0.2826226447820469,0.3147048723241472,1.8013855833236807,2.2395162726631734
371,11,18,10.887913164847435,10.959081382569297,41.573772533453806,18551.25,42.258078175040495,18633.375,372,0,44,1.373336490360682,3.0896231794259945,-1.9543582192552285,2.1715164534956934,1.637852083084751,1.1989700043360187,0.5785386544565352,-0.7166363217013884,-0.01584038868389197,-0.8120466178562827,0.3535363006271881,-0.4717448956166997,0.4306622167942084,1.707941600990751,1.9943593120024952
