i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
19,3,2.437500000,0.437500000,0,0.053212317,-0.004170878,0.003422614,0.003550743,0.300000000,0.250000000
20,3,2.562500000,0.437500000,0,0.055889975,-0.005423637,0.003202203,0.004184199,0.300000000,0.250000000
21,3,2.687500000,0.437500000,0,0.059192761,-0.006294184,0.002874552,0.004851187,0.300000000,0.250000000
22,3,2.812500000,0.437500000,0,0.063437544,-0.007784478,0.002616641,0.005537903,0.300000000,0.250000000
23,3,2.937500000,0.437500000,0,0.068796033,-0.009157234,0.002172108,0.006237143,0.300000000,0.250000000
24,3,3.062500000,0.437500000,0,0.074400439,-0.009928045,0.001690460,0.006950433,0.300000000,0.250000000
25,3,3.187500000,0.437500000,0,0.080779301,-0.010959128,0.001213353,0.007665658,0.300000000,0.250000000
26,3,3.312500000,0.437500000,0,0.087964497,-0.010534528,0.000301043,0.008397287,0.300000000,0.250000000
27,3,3.437500000,0.437500000,0,0.095206686,-0.009657010,-0.000466531,0.009164391,0.300000000,0.250000000
28,3,3.562500000,0.437500000,0,0.102025574,-0.008601261,-0.000997280,0.009956645,0.300000000,0.250000000
29,3,3.687500000,0.437500000,0,0.107320274,-0.004884596,-0.002030856,0.010846529,0.300000000,0.250000000
30,3,3.812500000,0.437500000,0,0.109967998,-0.001190420,-0.002687594,0.011834056,0.300000000,0.250000000
31,3,3.937500000,0.437500000,0,0.111176766,0.001704066,-0.003094842,0.012955209,0.300000000,0.250000000
32,3,4.062500000,0.437500000,0,0.111582824,0.004660003,-0.004012391,0.014236284,0.300000000,0.250000000
33,3,4.187500000,0.437500000,0,0.108696111,0.006827789,-0.003950726,0.015760301,0.300000000,0.250000000
34,3,4.312500000,0.437500000,0,0.102843176,0.008623158,-0.003516556,0.017409171,0.300000000,0.250000000
35,3,4.437500000,0.437500000,0,0.098574231,0.007853096,-0.004760275,0.019030179,0.300000000,0.250000000
36,3,4.562500000,0.437500000,0,0.093778689,0.005114971,-0.005368627,0.020769796,0.300000000,0.250000000
37,3,4.687500000,0.437500000,0,0.087029469,0.006294643,-0.003092161,0.021243811,0.300000000,0.250000000
38,3,4.812500000,0.437500000,0,0.084582472,0.004628022,-0.003813121,0.013231230,0.300000000,0.250000000
39,3,4.937500000,0.437500000,0,0.090508474,0.004623083,0.000000000,0.000000000,0.300000000,0.250000000
0,4,0.062500000,0.562500000,0,0.074052388,0.000000000,-0.000000000,0.000000000,0.300000000,0.250000000
1,4,0.187500000,0.562500000,0,0.067139855,0.003421943,0.005618190,0.000000283,0.300000000,0.250000000
2,4,0.312500000,0.562500000,0,0.070582828,0.009136344,0.005122900,0.000001090,0.300000000,0.250000000
3,4,0.437500000,0.562500000,0,0.075588204,0.011270076,0.005160462,0.000002819,0.300000000,0.250000000
4,4,0.562500000,0.562500000,0,0.077461703,0.013248383,0.005735169,0.000006314,0.300000000,0.250000000
5,4,0.687500000,0.562500000,0,0.076243305,0.011181453,0.004941388,0.000012915,0.300000000,0.250000000
6,4,0.812500000,0.562500000,0,0.074103013,0.010323912,0.004417326,0.000024625,0.300000000,0.250000000
7,4,0.937500000,0.562500000,0,0.072606301,0.009138845,0.004683872,0.000044335,0.300000000,0.250000000
8,4,1.062500000,0.562500000,0,0.070843447,0.008133810,0.004692853,0.000076005,0.300000000,0.250000000
9,4,1.187500000,0.562500000,0,0.068462655,0.006713208,0.004363027,0.000124601,0.300000000,0.250000000
10,4,1.312500000,0.562500000,0,0.066298196,0.005555284,0.004270156,0.000196026,0.300000000,0.250000000
11,4,1.437500000,0.562500000,0,0.064622769,0.004371658,0.004328886,0.000296978,0.300000000,0.250000000
12,4,1.562500000,0.562500000,0,0.063137857,0.003194919,0.004236967,0.000434364,0.300000000,0.250000000
13,4,1.687500000,0.562500000,0,0.061933362,0.001977627,0.004085101,0.000614742,0.300000000,0.250000000
14,4,1.812500000,0.562500000,0,0.061181874,0.000806582,0.004038560,0.000843985,0.300000000,0.250000000
15,4,1.937500000,0.562500000,0,0.060844541,-0.000453333,0.004011902,0.001126124,0.300000000,0.250000000
16,4,2.062500000,0.562500000,0,0.060982309,-0.001815252,0.003870011,0.001462837,0.300000000,0.250000000
17,4,2.187500000,0.562500000,0,0.061646278,-0.003223484,0.003707004,0.001854568,0.300000000,0.250000000
18,4,2.312500000,0.562500000,0,0.062794065,-0.004728213,0.003648010,0.002298660,0.300000000,0.250000000
19,4,2.437500000,0.562500000,0,0.064578320,-0.006472967,0.003498886,0.002788573,0.300000000,0.250000000
20,4,2.562500000,0.562500000,0,0.067083787,-0.008195156,0.003174347,0.003321363,0.300000000,0.250000000
21,4,2.687500000,0.562500000,0,0.070244828,-0.010007844,0.002971690,0.003891288,0.300000000,0.250000000
22,4,2.812500000,0.562500000,0,0.074294605,-0.012626372,0.002740243,0.004485191,0.300000000,0.250000000
23,4,2.937500000,0.562500000,0,0.078900647,-0.014150985,0.002218561,0.005107068,0.300000000,0.250000000
24,4,3.062500000,0.562500000,0,0.084367012,-0.016233877,0.001749055,0.005749558,0.300000000,0.250000000
25,4,3.187500000,0.562500000,0,0.091944749,-0.018027737,0.000992701,0.006401307,0.300000000,0.250000000
26,4,3.312500000,0.562500000,0,0.100120868,-0.017917843,0.000154076,0.007080659,0.300000000,0.250000000
27,4,3.437500000,0.562500000,0,0.109238939,-0.018475217,-0.000543081,0.007784820,0.300000000,0.250000000
28,4,3.562500000,0.562500000,0,0.117042280,-0.013785041,-0.001645707,0.008506642,0.300000000,0.250000000
29,4,3.687500000,0.562500000,0,0.123021756,-0.010293761,-0.002348620,0.009324782,0.300000000,0.250000000
30,4,3.812500000,0.562500000,0,0.128300377,-0.003252265,-0.003732390,0.010233697,0.300000000,0.250000000
31,4,3.937500000,0.562500000,0,0.129818980,0.000754793,-0.003584148,0.011279845,0.300000000,0.250000000
32,4,4.062500000,0.562500000,0,0.128407668,0.006097344,-0.003523937,0.012437857,0.300000000,0.250000000
33,4,4.187500000,0.562500000,0,0.126596815,0.010663546,-0.004872398,0.013745608,0.300000000,0.250000000
34,4,4.312500000,0.562500000,0,0.123433243,0.012770765,-0.005150666,0.015342849,0.300000000,0.250000000
35,4,4.437500000,0.562500000,0,0.116703016,0.014608744,-0.003444055,0.017044907,0.300000000,0.250000000
36,4,4.562500000,0.562500000,0,0.108646205,0.015191724,-0.003700725,0.018674727,0.300000000,0.250000000
37,4,4.687500000,0.562500000,0,0.101221703,0.008950816,-0.005432492,0.019533726,0.300000000,0.250000000
38,4,4.812500000,0.562500000,0,0.093742807,0.008484107,-0.003786241,0.012798535,0.300000000,0.250000000
39,4,4.937500000,0.562500000,0,0.090508474,0.008475353,0.000000000,0.000000000,0.300000000,0.250000000
0,5,0.062500000,0.687500000,0,0.074052388,0.000000000,-0.000000000,0.000000000,0.300000000,0.250000000
1,5,0.187500000,0.687500000,0,0.068635659,0.003651408,0.005695905,0.000000266,0.300000000,0.250000000
2,5,0.312500000,0.687500000,0,0.070183089,0.005192635,0.005107584,0.000000986,0.300000000,0.250000000
3,5,0.437500000,0.687500000,0,0.071843260,0.009102312,0.005008176,0.000002449,0.300000000,0.250000000
4,5,0.562500000,0.687500000,0,0.074226210,0.011211042,0.005166259,0.000005187,0.300000000,0.250000000
5,5,0.687500000,0.687500000,0,0.076197795,0.011300631,0.004880400,0.000010059,0.300000000,0.250000000
6,5,0.812500000,0.687500000,0,0.076911470,0.011481437,0.004686461,0.000018428,0.300000000,0.250000000
7,5,0.937500000,0.687500000,0,0.076555471,0.010394726,0.004668042,0.000032311,0.300000000,0.250000000
8,5,1.062500000,0.687500000,0,0.075585696,0.009618625,0.004614820,0.000054524,0.300000000,0.250000000
9,5,1.187500000,0.687500000,0,0.074415279,0.008502128,0.004439622,0.000088686,0.300000000,0.250000000
10,5,1.312500000,0.687500000,0,0.073238144,0.007228825,0.004358649,0.000139337,0.300000000,0.250000000
11,5,1.437500000,0.687500000,0,0.072070834,0.005807663,0.004358873,0.000211864,0.300000000,0.250000000
