n_atoms,dimension,seed,sigma_normalized,population_size,primary_configuration,best_energy,target_energy,gap,target_relative_gap,pair_traversals,wall_seconds
98,288,9288167779565086785,0.150000,32,false,-2.71555366155727071e1,-5.43665360999999962e2,5.16509824384427247e2,9.50051008279019782e-1,20000,0.742649061
98,288,17193120034239889628,0.150000,32,false,-2.46171528752681326e1,-5.43665360999999962e2,5.19048208124731786e2,9.54720026985003800e-1,20000,0.822434156
98,288,2038270977582032660,0.150000,64,false,6.88583036779014268e0,-5.43665360999999962e2,5.50551191367790125e2,1.01266556757473869e0,20000,0.728922668
98,288,4314515820614709173,0.150000,64,false,-2.44235171414385661e1,-5.43665360999999962e2,5.19241843858561424e2,9.55076194119642397e-1,20000,0.751384895
98,288,10224029699169764160,0.150000,64,false,3.28561825120440831e0,-5.43665360999999962e2,5.46950979251204330e2,1.00604345703607256e0,20000,0.822511237
98,288,4630366663105467641,0.500000,16,false,-2.30051269365997832e1,-5.43665360999999962e2,5.20660234063400139e2,9.57685133931863941e-1,20000,0.845366598
98,288,9110134344167921752,0.500000,16,false,-2.66103256248347115e1,-5.43665360999999962e2,5.17055035375165289e2,9.51053851259001437e-1,20000,0.751344354
98,288,17027363739100903200,0.500000,16,false,-2.51996841844762933e1,-5.43665360999999962e2,5.18465676815523693e2,9.53648538251315459e-1,20000,0.631178370
98,288,690533978498697436,0.500000,32,false,-1.31867799315085499e1,-5.43665360999999962e2,5.30478581068491394e2,9.75744675166993813e-1,20000,0.721368688
98,288,3770474551398398499,0.500000,32,false,-2.01748351486900184e1,-5.43665360999999962e2,5.23490525851309940e2,9.62891078601032957e-1,20000,0.838948022
98,288,8722490579790917247,0.500000,32,false,-1.69322001483158644e1,-5.43665360999999962e2,5.26733160851684147e2,9.68855473673784773e-1,20000,0.785039533
98,288,696092276664920555,0.500000,64,false,-7.00386671709681341e0,-5.43665360999999962e2,5.36661494282903163e2,9.87117320286482580e-1,20000,0.719820060
98,288,5216176753482578719,0.500000,64,false,-1.78592314760774080e1,-5.43665360999999962e2,5.25806129523922550e2,9.67150323053085903e-1,20000,0.781131906
98,288,8803737965924187180,0.500000,64,false,-1.13837919487772083e1,-5.43665360999999962e2,5.32281569051222732e2,9.79061031352377764e-1,20000,0.781201298
