n_atoms,dimension,parameterization,optimizer,seed,best_energy,target_energy,gap,target_relative_gap,success,within_1_percent,within_5_percent,within_10_percent,population_size,nominal_full_generations_per_restart,restarts,pair_traversals,pair_terms_evaluated,objective_calls,gradient_calls,wall_seconds,measured_pair_seconds,estimated_optimizer_overhead_seconds,overlap_pairs,projected_candidates,reference_structure_audited
13,33,fixed-frame,de-retry,5694209903365972707,-3.76586870888441609e1,-4.43268010000000032e1,6.66811391115584229e0,1.50430749811064468e-1,false,false,false,false,495,10,4,20000,1560000,20097,0,25.457043334,0.022456964,25.434586370,403,0,true
13,33,fixed-frame,de-retry,6054845415890715159,-3.81139698906323190e1,-4.43268010000000032e1,6.21283110936768423e0,1.40159699531840432e-1,false,false,false,false,495,10,4,20000,1560000,20109,0,24.949256122,0.012121190,24.937134932,733,0,true
13,33,fixed-frame,de-retry,8048971573819030837,-3.77985357210854289e1,-4.43268010000000032e1,6.52826527891457431e0,1.47275804516427300e-1,false,false,false,false,495,10,4,20000,1560000,20090,0,22.934282953,0.019632270,22.914650683,213,0,true
13,33,fixed-frame,de-retry,10065547755147478085,-3.79578467970685978e1,-4.43268010000000032e1,6.36895420293140546e0,1.43681792036637279e-1,false,false,false,false,495,10,4,20000,1560000,20082,0,21.939803995,0.011994790,21.927809205,681,0,true
13,33,fixed-frame,de-retry,10307988297944474805,-3.77865826659094139e1,-4.43268010000000032e1,6.54021833409058928e0,1.47545462035272718e-1,false,false,false,false,495,10,4,20000,1560000,20112,0,20.475145277,0.021400984,20.453744293,426,0,true
13,33,fixed-frame,de-retry,10509203992769182689,-3.74482435391220463e1,-4.43268010000000032e1,6.87855746087795694e0,1.55178296328624232e-1,false,false,false,false,495,10,4,20000,1560000,20108,0,20.315802586,0.024113778,20.291688808,387,0,true
13,33,fixed-frame,de-retry,14076511471388420532,-3.74914247223983708e1,-4.43268010000000032e1,6.83537627760163247e0,1.54204141138035933e-1,false,false,false,false,495,10,4,20000,1560000,20086,0,22.029647382,0.011770688,22.017876694,238,0,true
13,33,fixed-frame,de-retry,16235298172165022714,-3.67776676209811058e1,-4.43268010000000032e1,7.54913337901889747e0,1.70306297966751480e-1,false,false,false,false,495,10,4,20000,1560000,20114,0,16.895617713,0.012555514,16.883062199,453,0,true
13,33,fixed-frame,de-retry,17425550653302497574,-3.61852461874755633e1,-4.43268010000000032e1,8.14155481252443991e0,1.83671156700986382e-1,false,false,false,false,495,10,4,20000,1560000,20082,0,17.198614460,0.010789810,17.187824650,362,0,true
13,33,fixed-frame,lbfgs-multistart,3482299955060770590,-4.07104068182928529e1,-4.43268010000000032e1,3.61639418170715032e0,8.15848222773204457e-2,false,false,false,true,,,4,6752,526656,6752,12397,0.020659345,0.005017203,0.015642142,123,0,true
13,33,fixed-frame,lbfgs-multistart,5694209903365972707,-4.14719798478107862e1,-4.43268010000000032e1,2.85482115218921706e0,6.44039517354121072e-2,false,false,false,true,,,4,9397,732966,9397,17855,0.018677022,0.004215197,0.014461825,103,0,true
13,33,fixed-frame,lbfgs-multistart,6054845415890715159,-3.88281349751831826e1,-4.43268010000000032e1,5.49866602481682065e0,1.24048338719882356e-1,false,false,false,false,,,4,14875,1160250,14885,28322,0.027503146,0.006220672,0.021282474,141,0,true
13,33,fixed-frame,lbfgs-multistart,8048971573819030837,-4.43268014195340427e1,-4.43268010000000032e1,-4.19534039508562273e-7,0.00000000000000000e0,true,true,true,true,,,4,7588,591864,7592,14112,0.017311115,0.004050755,0.013260360,89,0,true
