candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,sharpness,error_ratio,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
181,0,15.176544722322538,0.697499484170889,0.14295447980265177,0.3341310811198143,0.6828091470769342,0.07659624472806995,0.15974145891043398,0.49008498583569404,0.058833333333333335,0.16569366466545324,-0.7018398021038138,180,910,378578,304,9690,0.09025854108956602,-0.995155,5,190,2.386656119,,38,7,20,6,0.8062108573804083,0.6044432587059797,1.9157960392101234,1
182,0,15.815510557964274,2.490836648254611,0.18049598377405915,0.18038392808647005,0.49939804071689775,0.18048308523033707,0,0,0,0.0002985625958956327,-3.0350292822023683,0,1083,157566,534,1246,0.25,-0.999377,5,890,2.89837576,,178,2,4,47,0.7968606792288473,0.4364222373190062,1.4739194242883598,0
183,0,15.815510557964274,2.351804718731156,0.17773133033430602,0.1912279036947328,0.5177097716836325,0.17488237283333335,0,0,0,0.032626500707912794,-3.0350292822023683,0,1083,20594.6,50,310,0.25,-0.999845,5,50,0.39550751,,10,4,1,3,0.7709020989263429,0.8304884409457588,0.9401417466170394,0
184,0,15.789656449007671,1.24486945363197,0.16275032252332097,0.3241824218454765,0.6735062424050879,0.1522201754005851,0.006463527239150508,0.6363636363636364,0.0018333333333333333,0.06816602386833341,-2.3332456989619628,4,1076,630707.2,798,14478,0.2435364727608495,-0.992761,5,570,5.234435674,,114,6,51,51,0.7900979682285572,0.6574963349417116,0.8719957491788918,0
185,0,15.708400678001208,2.1996206652081045,0.17376968933427875,0.213044461837274,0.5438223729045273,0.169165735,0.02677746999076639,0.43283582089552236,0.011166666666666667,0.0684917397432934,-1.4321878526072123,38,1054,20772.6,50,310,0.22322253000923362,-0.999845,5,50,0.447501275,,10,4,19,21,0.8126555274164573,0.8318193004167673,1.030015437736223,0
186,0,15.294734934695576,0.44820582596088243,0.1402229491888584,0.34398312201626813,0.6867999559070224,0.055775251525252235,0.13019390581717452,0.5241635687732342,0.044833333333333336,0.1298933139902212,-0.8639219824380795,128,942,6636514,1395,88836,0.11980609418282548,-0.955582,5,330,9.635768167,,66,22,7,4,0.9830150696347225,0.6211573151457623,1.951531091158175,0
187,0,15.449859588435189,0.5738051593344808,0.13957240471888896,0.331421539481041,0.6772797787689309,0.04860923816666691,0.09141274238227147,0.5689655172413793,0.029,0.1379976037263026,-1.1126226382168203,75,984,944951.8,352,65504,0.15858725761772852,-0.967248,5,160,1.216852424,,32,10,1,5,0.46491214025049804,0.6471204290242861,1.4446426088184647,0
188,0,15.612371130448114,0.4834209995457697,0.1526301714851353,0.32210588766691284,0.6798671426755236,0.11873987538940906,0.050784856879039705,0.4824561403508772,0.019,0.08743915727353901,-1.2342641243787893,59,1028,13517372.6,2241.8,306662,0.19921514312096028,-0.846669,5,535,5.178799159,,107,20,2,3,0.5974609860917203,0.28083958522346963,3.271930619522221,0
189,0,15.039887289266213,0.45935567784015047,0.1447100037849,0.3623257902494254,0.7009026666298599,0.09559034267912733,0.19390581717451524,0.47085201793721976,0.07433333333333333,0.1354800464095233,-0.5667630866242992,236,873,6531534.6,2117.6,59813,0.056094182825484756,-0.9700935,5,535,9.389912458,,107,21,13,4,0.7597093066402449,0.5804316785118517,2.6019562889287133,1
190,0,15.479407141528448,0.4458586157781908,0.1355647769791801,0.3548052057864395,0.7018694070414683,0.02443054455555554,0.0840258541089566,0.5290697674418605,0.028666666666666667,0.135985766697637,-1.0831353961116645,81,992,6862424.8,2079,234624,0.1659741458910434,-0.882688,5,480,8.284181374,,96,21,2,4,0.5094049069877719,0.9927047662516475,1.196571685447272,0
