seed_arm,candidate,radius_gyration_normalized,mean_coordination,holdout_radius_gyration_normalized,holdout_mean_coordination,fine_niche,holdout_fine_niche,coarse_niche,holdout_coarse_niche,cutoff_low_niche,cutoff_high_niche
0,54,6.23299041232071582e-1,2.63157894736842124e0,6.23373357486459834e-1,2.57894736842105265e0,32,32,10,10,32,32
0,55,6.27725825431009299e-1,2.63157894736842124e0,6.27593026387728070e-1,2.57894736842105265e0,33,33,10,10,33,33
0,56,6.54648116509352063e-1,2.84210526315789469e0,6.55774077064671501e-1,2.89473684210526327e0,33,33,10,10,33,33
0,57,6.18907047904543761e-1,2.89473684210526327e0,6.18779210944260138e-1,2.84210526315789469e0,32,32,10,10,32,44
0,58,6.09873990109845998e-1,2.94736842105263142e0,6.09754468436261132e-1,3.05263157894736858e0,32,44,10,10,32,44
0,59,6.15804359193908080e-1,3.00000000000000000e0,6.15617994120789769e-1,3.05263157894736858e0,44,44,10,10,44,44
0,60,6.13356459252836883e-1,3.21052631578947389e0,6.12976537041560521e-1,3.15789473684210531e0,44,44,10,10,44,44
0,61,6.31022443541674360e-1,3.00000000000000000e0,6.29984980244841619e-1,3.00000000000000000e0,45,45,10,10,33,45
0,62,6.42814156491299582e-1,2.05263157894736858e0,6.42654767419355677e-1,2.10526315789473673e0,33,33,10,10,33,33
0,63,6.61819958432178446e-1,2.36842105263157876e0,6.61337947856221242e-1,2.42105263157894735e0,33,33,10,10,33,33
1,0,6.56449614148897242e-1,2.10526315789473673e0,6.57041942997140138e-1,2.05263157894736858e0,33,33,10,10,33,33
1,1,6.28476316035077032e-1,2.36842105263157876e0,6.28585738845578890e-1,2.42105263157894735e0,33,33,10,10,33,33
1,2,6.04767051832417413e-1,3.21052631578947389e0,6.05126047864908645e-1,3.26315789473684204e0,44,44,10,10,44,44
1,3,6.43183169322787518e-1,2.36842105263157876e0,6.43160104055722881e-1,2.36842105263157876e0,33,33,10,10,33,33
1,4,6.31397288880057084e-1,2.84210526315789469e0,6.31506772070594136e-1,2.89473684210526327e0,33,33,10,10,33,33
1,5,6.28182249075171284e-1,2.94736842105263142e0,6.27265015766747647e-1,3.00000000000000000e0,33,45,10,10,33,45
1,6,6.29348556709711016e-1,2.84210526315789469e0,6.29041750193044091e-1,2.89473684210526327e0,33,33,10,10,33,33
1,7,5.95364200732161675e-1,2.94736842105263142e0,5.96002283151227608e-1,2.94736842105263142e0,32,32,10,10,32,44
1,8,6.20095628403467325e-1,3.05263157894736858e0,6.19868778700517153e-1,3.00000000000000000e0,44,44,10,10,32,44
1,9,6.23946578111997940e-1,3.42105263157894735e0,6.23739577620788577e-1,3.36842105263157876e0,44,44,10,10,44,44
1,10,6.43665412536066128e-1,2.68421052631578938e0,6.43566302503336574e-1,2.57894736842105265e0,33,33,10,10,33,33
1,11,6.27537922264565395e-1,2.63157894736842124e0,6.27248319076887717e-1,2.57894736842105265e0,33,33,10,10,33,33
1,12,6.17398712169465513e-1,2.73684210526315796e0,6.17521966242109643e-1,2.73684210526315796e0,32,32,10,10,32,32
1,13,5.99210471687016133e-1,3.36842105263157876e0,5.98760378839106711e-1,3.47368421052631593e0,44,44,10,10,44,44
1,14,6.29131291467288745e-1,2.57894736842105265e0,6.29250263183445013e-1,2.63157894736842124e0,33,33,10,10,33,33
1,15,6.47978071024683411e-1,2.57894736842105265e0,6.47845129413724519e-1,2.47368421052631593e0,33,33,10,10,33,33
1,16,6.32489321950901018e-1,3.00000000000000000e0,6.32866538176973359e-1,2.89473684210526327e0,45,33,10,10,33,45
1,17,6.21370370391740812e-1,2.42105263157894735e0,6.20716715176645950e-1,2.47368421052631593e0,32,32,10,10,32,32
1,18,6.02803822871952666e-1,2.78947368421052611e0,6.02953786921768264e-1,2.78947368421052611e0,32,32,10,10,32,32
1,19,5.90121607782175150e-1,3.21052631578947389e0,5.89905565699980872e-1,3.26315789473684204e0,44,44,10,10,44,44
1,20,6.66426615674330147e-1,2.15789473684210531e0,6.66181542583562658e-1,2.21052631578947389e0,33,33,10,10,33,33
1,21,6.27247547641169301e-1,2.89473684210526327e0,6.27550160539574686e-1,3.05263157894736858e0,33,45,10,10,33,45
1,22,6.48919447352756973e-1,2.21052631578947389e0,6.49122178065582367e-1,2.36842105263157876e0,33,33,10,10,33,33
1,23,6.42266989806872135e-1,2.63157894736842124e0,6.42294320422225229e-1,2.63157894736842124e0,33,33,10,10,33,33
1,24,6.42209116834467797e-1,2.42105263157894735e0,6.42022689191369178e-1,2.42105263157894735e0,33,33,10,10,33,33
1,25,6.41713760609435191e-1,2.47368421052631593e0,6.41635526604500295e-1,2.52631578947368407e0,33,33,10,10,33,33
1,26,6.24043118442577538e-1,2.89473684210526327e0,6.23506667329071118e-1,2.89473684210526327e0,32,32,10,10,32,32
1,27,6.25453267833236182e-1,2.63157894736842124e0,6.26513292809051991e-1,2.52631578947368407e0,33,33,10,10,33,33
1,28,6.20899903573348788e-1,2.36842105263157876e0,6.20271103119103273e-1,2.36842105263157876e0,32,32,10,10,32,32
1,29,5.88999569929126721e-1,3.52631578947368407e0,5.89504857792327197e-1,3.42105263157894735e0,44,44,10,10,44,44
1,30,6.11231242219854920e-1,2.89473684210526327e0,6.11478318811239596e-1,2.89473684210526327e0,32,32,10,10,32,32
1,31,6.41208146428758452e-1,2.26315789473684204e0,6.40860623142738728e-1,2.26315789473684204e0,33,33,10,10,33,33
1,32,6.16598377432272526e-1,2.94736842105263142e0,6.16877479394036921e-1,2.94736842105263142e0,32,32,10,10,32,44
1,33,6.34831150492575880e-1,2.94736842105263142e0,6.35269476220048701e-1,2.84210526315789469e0,33,33,10,10,33,45
1,34,6.15104653403583224e-1,2.63157894736842124e0,6.14838397494025579e-1,2.63157894736842124e0,32,32,10,10,32,32
1,35,6.20788233294352620e-1,2.57894736842105265e0,6.20618013556007431e-1,2.57894736842105265e0,32,32,10,10,32,32
1,36,5.89831347533180228e-1,2.89473684210526327e0,5.89694092951125293e-1,2.89473684210526327e0,32,32,10,10,32,32
1,37,6.10404043522424500e-1,3.00000000000000000e0,6.11204430712767866e-1,3.05263157894736858e0,44,44,10,10,32,44
1,38,6.59179731530913804e-1,2.05263157894736858e0,6.60164815169186792e-1,2.05263157894736858e0,33,33,10,10,21,33
1,39,6.54795877522434067e-1,2.47368421052631593e0,6.54033126550927268e-1,2.52631578947368407e0,33,33,10,10,33,33
1,40,6.33952696664942139e-1,2.47368421052631593e0,6.34212219580504444e-1,2.52631578947368407e0,33,33,10,10,33,33
1,41,6.38076675297781781e-1,3.21052631578947389e0,6.39178553108063485e-1,3.10526315789473673e0,45,45,10,10,45,45
1,42,6.12165128625633104e-1,2.89473684210526327e0,6.11922633249918468e-1,2.89473684210526327e0,32,32,10,10,32,32
1,43,6.19336178685992667e-1,2.63157894736842124e0,6.19799576681162590e-1,2.68421052631578938e0,32,32,10,10,32,32
1,44,6.61287705616293575e-1,2.52631578947368407e0,6.61436042638540500e-1,2.52631578947368407e0,33,33,10,10,33,33
1,45,6.10077937707079521e-1,3.15789473684210531e0,6.10226592895678821e-1,3.10526315789473673e0,44,44,10,10,32,44
1,46,6.28326268850200709e-1,2.47368421052631593e0,6.28508414344215005e-1,2.57894736842105265e0,33,33,10,10,33,33
1,47,6.18821527953112960e-1,2.52631578947368407e0,6.18555517889629147e-1,2.63157894736842124e0,32,32,10,10,32,32
1,48,5.78921833927259155e-1,3.26315789473684204e0,5.79036277812952749e-1,3.26315789473684204e0,43,43,9,9,43,43
1,49,6.23470871762244028e-1,2.84210526315789469e0,6.23748963962152514e-1,2.84210526315789469e0,32,32,10,10,32,32
1,50,6.41411734993555305e-1,2.42105263157894735e0,6.41365233552036562e-1,2.42105263157894735e0,33,33,10,10,33,33
1,51,6.18848662614114087e-1,2.57894736842105265e0,6.19282764171512179e-1,2.52631578947368407e0,32,32,10,10,32,32
1,52,6.12293108749835224e-1,2.94736842105263142e0,6.12938423989506376e-1,2.89473684210526327e0,32,32,10,10,32,44
1,53,5.78591607955034393e-1,3.31578947368421062e0,5.78337987272612097e-1,3.31578947368421062e0,43,43,9,9,43,43
1,54,6.01771109163323215e-1,2.89473684210526327e0,6.01727523754757576e-1,2.89473684210526327e0,32,32,10,10,32,32
1,55,6.23278266700878492e-1,2.94736842105263142e0,6.22016602252263739e-1,2.89473684210526327e0,32,32,10,10,32,44
1,56,6.30732444971979556e-1,2.42105263157894735e0,6.30828268741097653e-1,2.36842105263157876e0,33,33,10,10,33,33
1,57,6.10821815437089577e-1,3.36842105263157876e0,6.11075679938934413e-1,3.26315789473684204e0,44,44,10,10,44,44
1,58,6.46062577756415957e-1,2.15789473684210531e0,6.46295590780124773e-1,2.15789473684210531e0,33,33,10,10,33,33
1,59,6.05586206819086259e-1,3.05263157894736858e0,6.04827101080730567e-1,3.00000000000000000e0,44,44,10,10,32,44
1,60,6.17773294226425129e-1,2.94736842105263142e0,6.18607824921836080e-1,2.94736842105263142e0,32,32,10,10,32,32
1,61,5.90306097358310633e-1,2.94736842105263142e0,5.90936993335685834e-1,2.89473684210526327e0,32,32,10,10,32,44
1,62,6.33495047962282287e-1,2.15789473684210531e0,6.33545922283671126e-1,2.36842105263157876e0,33,33,10,10,33,33
1,63,6.03254072678482300e-1,2.94736842105263142e0,6.02576527225529568e-1,3.00000000000000000e0,32,44,10,10,32,44
2,0,6.24079019898343912e-1,2.47368421052631593e0,6.23826457424061065e-1,2.47368421052631593e0,32,32,10,10,32,32
2,1,6.29483946082024404e-1,2.63157894736842124e0,6.29133347978762858e-1,2.52631578947368407e0,33,33,10,10,33,33
2,2,5.89072809392910735e-1,3.10526315789473673e0,5.89280779454254722e-1,3.00000000000000000e0,44,44,10,10,44,44
2,3,6.31922884368999682e-1,2.94736842105263142e0,6.31519858522822997e-1,2.94736842105263142e0,33,33,10,10,33,45
2,4,6.44814159090820960e-1,2.57894736842105265e0,6.44666354471245873e-1,2.57894736842105265e0,33,33,10,10,33,33
2,5,6.24860749712150554e-1,3.00000000000000000e0,6.25378019828921161e-1,3.00000000000000000e0,44,45,10,10,32,44
2,6,6.37796400597217872e-1,2.57894736842105265e0,6.38238725532755624e-1,2.63157894736842124e0,33,33,10,10,33,33
2,7,6.57879318938426327e-1,2.26315789473684204e0,6.57784891314598941e-1,2.26315789473684204e0,33,33,10,10,33,33
2,8,6.16174401422474483e-1,3.05263157894736858e0,6.16464797341225834e-1,2.89473684210526327e0,44,32,10,10,32,44
2,9,6.35737282613465848e-1,2.78947368421052611e0,6.36356248603052066e-1,2.68421052631578938e0,33,33,10,10,33,33
2,10,6.40610831987147855e-1,2.73684210526315796e0,6.40294062698268496e-1,2.78947368421052611e0,33,33,10,10,33,33
2,11,6.09470237385239755e-1,2.84210526315789469e0,6.10099837353201058e-1,2.84210526315789469e0,32,32,10,10,32,32
2,12,6.27283503236181872e-1,2.42105263157894735e0,6.28160247065020716e-1,2.57894736842105265e0,33,33,10,10,33,33
2,13,6.31520049308573528e-1,2.31578947368421062e0,6.31795726585418715e-1,2.31578947368421062e0,33,33,10,10,33,33
2,14,6.11040834899690966e-1,3.15789473684210531e0,6.11173132535987707e-1,3.15789473684210531e0,44,44,10,10,44,44
2,15,6.17931035705000964e-1,2.84210526315789469e0,6.18080932674059724e-1,2.84210526315789469e0,32,32,10,10,32,32
2,16,6.27052364830829823e-1,2.31578947368421062e0,6.27286494874543576e-1,2.36842105263157876e0,33,33,10,10,33,33
2,17,6.38216869223424799e-1,2.36842105263157876e0,6.38448913821396791e-1,2.36842105263157876e0,33,33,10,10,33,33
2,18,6.13226957198435008e-1,3.15789473684210531e0,6.13066159605953120e-1,3.10526315789473673e0,44,44,10,10,44,44
2,19,6.27700494658773533e-1,2.78947368421052611e0,6.27535259056116512e-1,2.94736842105263142e0,33,33,10,10,33,33
2,20,6.22936752506711433e-1,3.26315789473684204e0,6.22176283616169390e-1,3.36842105263157876e0,44,44,10,10,44,44
2,21,6.22274168955506579e-1,2.68421052631578938e0,6.21482991970533472e-1,2.68421052631578938e0,32,32,10,10,32,32
2,22,5.97138455900601217e-1,3.42105263157894735e0,5.97255479521122346e-1,3.26315789473684204e0,44,44,10,10,44,44
2,23,6.37382924312181798e-1,3.00000000000000000e0,6.37836814177163425e-1,3.00000000000000000e0,45,45,10,10,45,45
2,24,6.29668265879871014e-1,3.26315789473684204e0,6.29625980514611827e-1,3.26315789473684204e0,45,45,10,10,45,45
