point_id,feasible,selected,objective_cutoff_error,objective_passband_ripple_db,objective_total_capacitance_nf,constraint_peak_db,cutoff_hz,peak_above_dc_db,r1_ohm,r2_ohm,r3_ohm,r4_ohm,c1_f,c2_f,c3_f,c4_f
79,1,0,0.3813466954645225,0.3648300195330321,0.09517012739086585,-3,240628.29590775917,0,261.9279993434472,5972.592019366683,50110.06479946566,16318.945817550908,0.000000000021854391048878192,0.00000000004671718271016139,0.000000000015583012244742736,0.000000000011015541387083534
80,1,0,0.40639984262667206,0.3965992692576059,0.0773244568257406,-3,254917.61267755245,0,11406.628217997633,58361.060813196535,4535.020457231274,4763.888443155908,0.000000000012784502570378374,0.0000000000108287275140535,0.0000000000419994694292804,0.000000000011711757312028323
81,1,0,0.4275983580952897,0.01659365649120888,1.3138362041310871,-2.983406343508791,267669.1736038237,0.01659365649120888,1065.481742031753,1017.6398720753939,1074.278725359056,27375.878125160154,0.0000000009592738148631577,0.0000000003281779236063365,0.000000000011069058581876897,0.00000000001531540707971603
82,1,0,0.4445339635823828,0.28963909741958127,0.04632434522159549,-3,278313.3017583841,0,3206.1282500712373,3331.8738922030534,44307.38824990677,25479.093399911268,0.000000000011405063358105946,0.00000000001313291074553583,0.00000000001134129450657433,0.000000000010445076611379385
83,1,0,0.45939056114523935,0.006976533693992959,1.3311042993894755,-2.9982288603430765,287998.7223793487,0.001771139656923456,1065.481742031753,848.2146027549181,985.6209175068059,27375.878125160154,0.0000000009592738148631577,0.0000000003281779236063365,0.000000000028337153840265285,0.00000000001531540707971603
84,1,0,0.4816555026604321,0.2748957548196159,0.04077041787931059,-3,303148.55514653085,0,7182.365287169914,11201.142329179498,48430.28531762696,4863.909647536361,0.000000000010274314141315733,0.000000000010118169881239306,0.0000000000103030386175884,0.000000000010074895239167158
85,1,0,0.5047873340551621,0.25049895773557,0.25050899818417277,-3,319732.9053611268,0,343.07650987364036,6005.631134966217,54279.340562937636,413.74988309974736,0.000000000022111784275858105,0.000000000011482651359318016,0.00000000020646602012634756,0.000000000010448542422649049
86,1,0,0.5830407980884889,0.04336629243468401,0.2673558157568671,-3,382860.7079722294,0,1924.6542773965018,485.34285947122237,3458.958185128751,9174.780624195997,0.00000000010325002003603719,0.000000000012131262689935732,0.00000000010536440676744637,0.00000000004661012626344785
87,1,0,0.6039332165639021,0.021850335585895192,0.278550309878751,-3,401729.0304003022,0,1925.9020170689826,567.6970573531712,2903.4934667695297,9174.780624195997,0.00000000009674997921646046,0.000000000013994077292740285,0.00000000012119612710610243,0.00000000004661012626344785
88,1,0,0.6219305772618963,0.1386190294455895,0.0411291765176816,-3,418726.62557901756,0,7182.365287169914,11201.142329179498,32678.17248260055,4863.909647536361,0.00000000001053916105875548,0.000000000010225382045886356,0.0000000000103030386175884,0.000000000010061594795451366
89,1,0,0.6408453780908537,0.0016766615358549594,2.0084257669507513,-2.7105489059678534,437366.36184436484,0.2894510940321465,317.5351505837399,6005.631134966217,54279.340562937636,413.74988309974736,0.000000001744598491177594,0.000000000046909770414231345,0.00000000020646602012634756,0.000000000010451485232578393
90,1,0,0.6450259918948412,0.0015555217874528068,2.651050021069517,-2.998444478212547,441596.8754949679,0.0015555217874528072,361.7946563974715,516.8595081478222,54279.340562937636,313.59396338530377,0.000000001744598491177594,0.000000000046909770414231345,0.0000000008491112740281183,0.000000000010430485449573056
91,1,0,0.666336711642026,0.0015219971708888493,2.4325731234470527,-2.998478002829111,463806.3727987536,0.0015219971708888495,335.71179976905984,706.4479068401927,54279.340562937636,412.0033699434786,0.000000001744598491177594,0.000000000049050775693583204,0.0000000006284933711263022,0.000000000010430485449573056
92,1,0,0.6667834788815188,0.0018503879627625626,1.6529776105241956,-2.9981496120372375,464283.74499738775,0.0018503879627625624,641.4948972857393,706.4479068401927,54279.340562937636,412.0033699434787,0.0000000009650029782547371,0.000000000049050775693583204,0.0000000006284933711263022,0.000000000010430485449573056
93,1,0,0.679570579665048,0.10614857275564925,0.09636268840858188,-3,478157.06785830745,0,4718.144938141743,488.33962945273714,1084.351819159506,11720.23913582359,0.000000000011102276686405564,0.00000000005498825467162949,0.000000000018184982546736557,0.000000000012087174503810265
94,1,0,0.7031874544955449,0.09560104578512903,0.09479540244648163,-3,504879.1714996568,0,4470.920648338334,488.33962945273726,644.4751189284565,11720.23913582359,0.000000000010481262545709313,0.00000000005498825467162949,0.000000000018184982546736557,0.000000000011140902682406265
95,1,0,0.7053836450697786,0.0010681719175922439,2.547300903700579,-2.9989318280824078,507438.7692777907,0.0010681719175922439,440.12169872177236,516.8595081478222,49525.388375660346,313.59396338530377,0.000000001744598491177594,0.00000000004106204610887836,0.0000000007512074490056936,0.000000000010432917408412886
96,1,0,0.7386844757611352,0.07364070837884111,0.05459466985397885,-3,547878.774632238,0,17168.92848463299,3860.8899723231957,13520.825282453017,900.9859215837549,0.000000000019406506061121144,0.000000000013041302594513015,0.000000000010415455685463676,0.000000000011731405512881015
97,1,0,0.7888493652778841,0.0471686334577426,0.06872951540054979,-3,614963.5360633036,0,17168.92848463299,3860.8899723231957,13520.825282453017,900.9859215837549,0.00000000003354135160769209,0.000000000013041302594513015,0.000000000010415455685463676,0.000000000011731405512881015
98,1,0,0.8578663082671225,0.0442075176258437,0.045589628538892736,-3,720885.5300784139,0,377.2929742654599,11190.263763836496,14248.704729478332,107.18281335667108,0.000000000012385670461811981,0.000000000012365506337301314,0.000000000010615512672495014,0.000000000010222939067284427
99,1,0,0.9110600906220786,0.0352153713178823,0.04389253980720215,-3,814817.0173764488,0,2121.015111318813,8209.9736373385,13522.25328177831,769.9178509200956,0.000000000011311608366151455,0.000000000011553893394521576,0.000000000010018723537646942,0.000000000011008314508882175
