angle_deg,nominal_db,envelope_min_db,envelope_max_db
-60.51679480180487,-29.522229779728782,-41.2265708403292,-18.22926174028209
-60.45863949985721,-29.503727221709795,-41.405170993389234,-18.21772287480464
-60.40058816754678,-29.485772023638095,-41.5584036703885,-18.2065125374154
-60.342640189956015,-29.46837719050658,-41.68395079885524,-18.19563015059814
-60.284794958043705,-29.451555172746744,-41.77993165680088,-18.185075116698886
-60.22705186856674,-29.435317883469185,-41.84502389509561,-18.174846817768966
-60.16941032400319,-29.41967671533988,-41.87855440996036,-18.16494461539993
-60.11186973247669,-29.404642557060356,-41.88054746608902,-18.155367850549958
-60.054429507681995,-29.390225809424354,-41.85172304078648,-18.14611584336191
-59.997089068811974,-29.376436400927762,-41.79344563501533,-18.137187892973223
-59.93984784048574,-29.363283802909752,-41.707631011890896,-18.128583277317205
-59.882705252677944,-29.350777044208797,-41.59662373269068,-18.120301252916256
-59.825660740649276,-29.338924725317675,-41.463060863288106,-18.112341054666825
-59.76871374487817,-29.327735032024798,-41.3097366705305,-18.10470189561604
-59.7118637109936,-29.317215748531034,-41.1394802128561,-18.09738296673007
-59.65511008970894,-29.307374270034067,-40.95505359000753,-18.090383436654523
-59.598452336756985,-29.298217614771964,-40.759074379942,-18.08370245146645
-59.54188991282599,-29.28975243552136,-40.553962261553394,-18.077339134418388
-59.485422283496796,-29.28198503054525,-40.341907380290735,-18.07129258567423
-59.42904891918091,-29.27492135398735,-40.12485668076701,-18.065561882037187
-59.37276929505964,-29.268567025710333,-39.90451400560004,-18.06014607666961
-59.31658289102418,-29.262927340576617,-39.68234995888907,-18.05504419880498
-59.260489191616706,-29.258007277170357,-39.45961808389194,-18.05025525345194
-59.20448768597239,-29.253811505960506,-39.23737459557644,-18.045778221090675
-59.14857786776227,-29.25034439690397,-39.01649959915341,-18.041612057361235
-59.092759235137144,-29.247610026489895,-38.79771833718512,-18.03775569274443
-59.037031290672296,-29.245612184224786,-38.581621507651825,-18.034208032235085
-58.981393541313096,-29.244354378558192,-38.36868407953952,-18.0309679550075
-58.92584549832148,-29.243839842250775,-38.15928231269405,-18.028034314073885
-58.870386677223166,-29.24407153718308,-37.95370888292673,-18.02540593593505
