angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-62.99917662773315,-32.1125422442943,-30.496047159371482,-35.34404438073
-62.93614404048062,-31.852092652611898,-30.475255527195575,-35.17989949876041
-62.873246882726036,-31.60087496579783,-30.453835109518796,-35.02009451872978
-62.81048420995449,-31.358359496532508,-30.431828862467395,-34.86447241487944
-62.747855088349354,-31.124063454309635,-30.409279449424965,-34.71288572790398
-62.685358594623395,-30.8975455884703,-30.386229165863412,-34.565195816036194
-62.622993815853576,-30.678401575641196,-30.362719869774,-34.42127217838847
-62.5607598493189,-30.466260030810894,-30.33879291767745,-34.280991842354105
-62.498655802341816,-30.26077904353557,-30.314489106153133,-34.144238807935594
-62.43668079213246,-30.061643158452082,-30.289848618792877,-34.0109035427745
-62.37483394563622,-29.868560733430872,-30.26491097845444,-33.88088252244187
-62.31311439938419,-29.681261620083013,-30.239715004662962,-33.754077811212575
-62.2515212993466,-29.4994951205613,-30.21429877598681,-33.630396679131714
-62.19005380078908,-29.32302818208902,-30.188699597194457,-33.50975125167383
-62.12871106813184,-29.151643796792523,-30.16295397098478,-33.39205818873056
-62.06749227481132,-28.985139579458234,-30.137097574070324,-33.27723839003891
-62.0063966031449,-28.82332650000272,-30.11116523738528,-33.165216724488346
-61.94542324419782,-28.66602775090115,-30.085190930182613,-33.05592178102815
-61.884571397652856,-28.513077732704293,-30.059207747782686,-32.94928563915049
-61.82384027168255,-28.364321143182806,-30.03324790273393,-32.845243657140216
-61.76322908282365,-28.219612157662862,-30.00734271914687,-32.74373427647413
-61.70273705585404,-28.07881368982595,-29.981522629966385,-32.6446988409255
-61.64236342367202,-27.94179672368918,-29.955817176950518,-32.548081429074955
-61.58210742717785,-27.808439708708704,-29.93025501313047,-32.45382869906173
-61.521968315157395,-27.6786280109958,-29.904863907533095,-32.36188974453009
-61.461945344168,-27.55225341452343,-29.879670751954308,-32.27221596082085
-61.40203777842653,-27.42921366697262,-29.854701569581238,-32.18476092056031
-61.342244889699444,-27.309412065519073,-29.82998152526909,-32.0994802578725
-61.28256595719481,-27.192757078434127,-29.805534937288847,-32.016331560520484
-61.22300026745639,-27.079161998856513,-29.781385290370356,-31.935274269339132
-61.163547114259615,-26.968544627525223,-29.757555249877,-31.856269584392436
-61.10420579850945,-26.860826981624516,-29.734066676956132,-31.779280377328064
-61.04497562814016,-26.755935027220097,-29.710940644520754,-31.704271109459473
-60.985855918016725,-26.653798433039334,-29.688197453926065,-31.631207755138075
-60.9268459898382,-26.554350343602692,-29.665856652215872,-31.56005773002752
-60.86794517204275,-26.45752716992002,-29.643937049821204,-31.490789823915364
-60.8091527997143,-26.363268396160006,-29.622456738603333,-31.42337413773469
-60.75046821449085,-26.271516400865956,-29.60143311014184,-31.357782024494966
-60.69189076447454,-26.182216291439737,-29.58088287417705,-31.293986033847236
-60.63341980414318,-26.095315750741634,-29.560822077122264,-31.231959860028013
-60.57505469426333,-26.010764894773967,-29.541266120570917,-31.171678292952187
-60.51679480180487,-25.928516140515136,-29.522229779728782,-31.1131171722404
-60.45863949985721,-25.848524083063626,-29.503727221709795,-31.056253343986782
-60.40058816754678,-25.77074538133012,-29.485772023638095,-31.001064620083206
-60.342640189956015,-25.695138651590245,-29.46837719050658,-30.9475297399368
-60.284794958043705,-25.62166436827409,-29.451555172746744,-30.895628334426917
-60.22705186856674,-25.550284771425346,-29.435317883469185,-30.845340891958326
-60.16941032400319,-25.480963780316685,-29.41967671533988,-30.796648726483138
-60.11186973247669,-25.413666912752262,-29.404642557060356,-30.749533947368434
-60.054429507681995,-25.348361209630887,-29.390225809424354,-30.70397943099884
-59.997089068811974,-25.285015164382443,-29.376436400927762,-30.659968794012663
