point_id,feasible,selected,objective_maximum_gap_hours,objective_negative_contact_hours,objective_launch_complexity,quality,decision_altitude_km,decision_inclination_deg,decision_raan_1_deg,decision_raan_2_deg,decision_raan_3_deg,decision_raan_4_deg,decision_mean_anomaly_1_deg,decision_mean_anomaly_2_deg,decision_mean_anomaly_3_deg,decision_mean_anomaly_4_deg
28,1,0,3.8456380208333334,-14.444140625,0.26001898125000955,2.365721692514985,500.47584600699514,90.15022212565184,308.24851123498627,260.73064181241955,180.1035951672563,233.42863509307705,137.19440341618895,159.08853182698863,198.75777558868492,33.914943219198044
29,1,0,4.724934895833333,-28.807421875,1.1505982740731493,2.3397774313189084,894.1751443815531,85.40958318391253,107.3694577576668,122.09046567023796,158.77317074291284,235.18524171515483,212.4545920555654,319.97028204807435,69.68006931825127,116.77162602619535
30,1,0,4.113151041666667,-14.617252604166667,0.24693362598523877,2.2926290632277984,515.6091712588727,91.05252647512245,296.8900367602854,355.3903612546659,322.96044401278186,252.50462176674048,328.9669826578037,56.66520995360105,115.25295360652291,47.53410077190074
31,1,0,4.80390625,-17.160872395833334,0.35734642113834864,2.1783530652305596,564.2918497754157,90.11800491481388,278.85749485815666,260.7306418124195,180.1035951672563,263.8608062276094,134.88048868231988,160.6478970143843,191.10417351952458,1.8114475644120986
32,1,0,5.076302083333333,-22.002018229166666,0.6727560366052665,2.1646643145344,691.7760839426611,88.02188601103903,284.1801384776956,302.236062750207,38.32414890857535,299.9876409721437,67.38164384494644,223.29127328652956,162.42440701872704,40.00498902380022
33,1,0,4.8099609375,-17.018033854166667,0.35606950659291126,2.160002334467302,563.7172382299689,90.09179612268159,278.85749485815666,260.7306418124195,180.1035951672563,263.8608062276094,135.39344119986788,159.1720195231627,191.10417351952455,1.8114475644120986
34,1,0,4.903450520833333,-16.857877604166667,0.340950832262662,2.12953172577598,559.0675045075354,90.09179612268159,278.85749485815666,260.7306418124195,180.1035951672563,234.7167365984044,135.39344119986788,159.08853182698863,198.75777558868492,31.483876091162244
35,1,0,5.017317708333334,-17.435286458333334,0.3936188030805258,2.079132405509102,580.8043998825401,90.09179612268159,278.85749485815666,312.44118021613286,207.12850869684843,260.5467379771718,142.4790409221086,61.96717046942593,218.35692318932644,114.03587806241498
36,1,0,5.461263020833333,-19.442838541666667,0.5180778911638604,1.9822032959974196,642.7464246875088,95.56297322868491,254.6934128004599,201.26001723966942,230.18420743072033,159.9092728862986,2.4335423153051465,230.5595006883173,96.57292953110209,23.647434238030804
37,1,0,5.462955729166667,-19.413346354166666,0.516800976618423,1.9803439330490806,642.171813142062,95.53676443655262,254.6934128004599,201.26001723966942,230.18420743072033,159.9092728862986,2.946494832853162,229.0836231970957,96.5729295311021,23.647434238030804
38,1,0,5.337760416666667,-19.432291666666668,0.5649198820901895,1.9592781461080693,659.8917502848069,85.21254913501365,152.83425988113305,185.28505784313413,113.72518206624608,88.57174072616893,354.6014964959599,91.76651371967614,118.52244903534162,147.5073271911143
39,1,0,4.9359375,-14.753059895833333,0.2971113828865991,1.916088284577819,515.6091712588727,91.05252647512245,296.8900367602854,355.3903612546659,322.96044401278186,227.14497927756253,338.3332000363331,56.66520995360105,115.25295360652291,47.53410077190074
40,1,0,5.859440104166667,-25.3875,0.9819529437266461,1.8674024707349752,857.5916356738039,84.23337705192752,142.4618360980866,173.3643081256917,106.05020221752378,90.3680398482057,216.46579043367174,38.7224768561876,195.20359326935989,89.06328079579785
41,1,0,5.965755208333333,-16.342122395833332,0.25897277199752056,1.8634764680631404,536.1087078580206,88.6209019440436,182.90234678733856,142.59708711802944,228.64509602288808,179.78166873779838,323.97673132559964,5.820210266071513,114.94883345640295,179.7466782953076
42,1,0,5.965625,-16.2689453125,0.25897277199752056,1.8551668337307785,536.1087078580206,88.00104943681316,182.90234678733856,142.59708711802944,228.64509602288805,179.78166873779838,323.97673132559964,5.820210266071513,114.94883345640295,204.41066977533666
43,1,0,6.86484375,-27.149088541666668,0.8707627878833453,1.8452126884435731,818.1441803361936,90.09179612268159,278.85749485815666,260.8773021977727,207.12850869684843,260.2868257151244,142.4790409221086,69.26540345541096,211.1508001971585,33.13700811306131
44,1,0,5.5798828125,-15.687955729166667,0.31295809057138224,1.8159225951037128,536.4733953008799,87.92605251426127,276.2694090448473,173.24431678889422,225.217287830153,179.78166873779838,332.3178627401821,5.820210266071513,203.22249740566855,278.9753776490507
45,1,0,6.8416015625,-23.114192708333334,0.6354736274309731,1.8023138193400814,712.4804969084937,90.09179612268159,278.85749485815666,256.97355943154395,207.12850869684843,261.7786925676174,148.6796360916839,64.7040095843832,220.2155880024253,114.03587806241498
46,1,0,7.129036458333333,-22.8359375,0.5942568030966167,1.7620632577754882,702.0868368845913,88.62652288800533,177.1944251271803,177.66081567839186,227.6907030188895,179.78166873779838,341.59939364654906,209.7589581768754,241.98859014888546,297.7820169364116
47,1,0,7.11875,-22.7021484375,0.5967358461009131,1.7512361572969837,702.0868368845913,88.62652288800533,177.19442512718027,172.97877111235687,227.6907030188895,179.78166873779838,331.77095883093114,169.72452393613207,241.98859014888546,297.7820169364116
48,1,0,6.596875,-17.421875,0.31662483925604706,1.741798325519652,559.0675045075357,90.09179612268159,278.85749485815666,284.4788120332301,207.67609010631514,234.7167365984044,135.39344119986788,61.96717046942593,218.35692318932644,31.483876091162237
49,1,0,7.275651041666666,-22.537630208333333,0.5942269724400886,1.7082676896492819,702.0868368845913,88.62652288800533,184.71332265955454,172.97877111235687,227.6907030188895,179.78166873779838,331.77095883093114,169.72452393613207,241.98859014888546,297.7820169364116
50,1,0,5.102799479166666,-12.753515625,0.22609203366961522,1.7044244180754264,500.38943860645395,91.05252647512245,296.8900367602854,329.49973419234635,322.96044401278186,227.14497927756253,330.7189333658773,130.6069070972232,120.3270950639284,82.77051222114545
51,1,0,7.3666015625,-22.615169270833334,0.5862290737727393,1.7040598721576,698.2436264752255,85.97734847348241,278.85749485815666,235.393265279219,221.71006752134466,234.71673659840434,156.6068767683475,52.00968418359375,236.66148801175893,87.3428634100479
52,1,0,7.354817708333333,-22.528580729166666,0.5942269724400884,1.6914014611519423,702.0868368845912,88.62652288800534,184.71332265955454,172.9787711123569,227.69070301888948,179.78166873779838,331.77095883093114,169.72452393613207,241.9885901488855,278.9753776490507
53,1,0,6.997526041666666,-17.216276041666667,0.2902288395140935,1.6684638806779697,559.0675045075354,85.97734847348241,278.85749485815666,235.39326527921904,207.6760901063152,234.71673659840434,135.39344119986782,61.96717046942595,218.35692318932644,31.483876091162244
54,1,0,7.3216796875,-28.1744140625,1.034937251053196,1.6637684163016107,897.6587923004191,89.94725455760495,210.38591546842642,260.73064181241955,226.84745478200682,265.8620286683622,137.46548554861243,159.17634708937672,237.85706507460918,38.004511702177965
55,1,0,6.322591145833333,-15.013020833333334,0.25149838038575745,1.6382229632328842,534.9905602224869,99.12404447245021,184.71332265955454,172.97877111235687,225.21728783015294,143.57104609830728,331.77095883093114,59.89586712556917,114.94883345640294,278.9753776490507
56,1,0,7.357747395833333,-19.565104166666668,0.5004715645208175,1.56014568419054,659.5270628419476,85.50442992732138,187.27690987430788,182.46456114418558,219.10922759133388,158.3051845694153,360,92.398793195941,117.14367729025851,148.49665790377043
57,1,0,7.3666015625,-20.615885416666668,0.586229073772739,1.5534132266190297,698.2436264752254,85.97734847348241,278.85749485815666,235.393265279219,221.71006752134466,234.71673659840434,156.6068767683475,52.009684183593755,236.66148801175896,31.483876091162244
58,1,0,7.359895833333334,-14.422200520833334,0.1590756179700494,1.4883973676964362,500.4758460069951,90.14777498080258,189.77633266646552,260.73064181241955,226.84745478200685,231.6602305367656,137.19440341618895,159.17634708937672,237.85706507460918,50.58098961120365
59,1,0,7.787760416666667,-18.924348958333333,0.458492611476344,1.4765171855468329,642.7464246875088,95.56297322868492,254.69341280045992,201.26001723966942,230.18420743072033,213.12942326479362,2.4335423153051465,230.5595006883173,96.57292953110209,23.64743423803081
60,1,0,8.0626953125,-16.565885416666667,0.284788157010164,1.4227406793140354,562.9107149169014,88.62652288800533,184.71332265955454,172.97877111235687,227.56963482151312,179.78166873779838,254.76570351335283,60.5567020587525,218.60988386904748,278.9753776490507
61,1,0,7.900390625,-15.084895833333333,0.23072738326976092,1.3771187275727972,534.9905602224869,99.12404447245021,184.71332265955454,172.97877111235687,225.21728783015294,162.39117710492368,331.77095883093114,59.89586712556917,114.94883345640294,278.9753776490507
62,1,0,9.1130859375,-15.877213541666666,0.2222176807027395,1.2845234178173992,536.1087078580205,88.00104943681316,184.71332265955456,172.9787711123569,225.21728783015297,179.78166873779838,331.77095883093114,5.820210266071513,114.94883345640294,278.9753776490507
63,1,0,8.874153645833333,-15.075,0.2245016106039294,1.2468036912993798,534.9905602224869,99.12404447245021,211.05216161625174,172.97877111235687,225.21728783015294,178.86002725359577,331.77095883093114,59.89586712556917,117.24838178078461,278.9753776490507
