point_id,selected,quality,exposure,maximum_receptor,fan_power,final_mass_fraction,clearance_time,flow_rate_m2_s,low_velocity_fraction,decision_inlet_y,decision_inlet_width,decision_outlet_y,decision_outlet_width,decision_inlet_velocity,decision_baffle_x,decision_baffle_y,decision_baffle_length,decision_baffle_angle
46,0,1.305768562829258,0.5957200191265507,0.5041265949198951,0.6305134991010489,0.6637650928450998,1,1.729287005985849,0.06526806526806526,0.2663106500227963,0.44509554982661825,0.2914694892590751,0.369395325671402,1.2950679965679823,0.2365112653625286,0.5925504275452447,0.6498532632297049,-1.1169188647797823
47,0,1.3136713016437414,0.6702868724474784,0.2728378888615645,0.770881283599277,0.7055784560912504,1,1.8391219073553764,0.15201900237529692,0.2788857712474445,0.4414910005208984,0.2253653941534143,0.38760282816748415,1.3885688158123772,0.3673568709337796,0.30251898363283436,0.5984758418947721,0.6728366650716272
48,0,1.3141147933498625,0.7171650598101929,0.23546850882905082,0.5057189805567233,0.756143366027599,1,1.497447957252473,0.2375296912114014,0.4058959269446747,0.4004726016172917,0.5988688045432098,0.3805864890176369,1.2464006702789758,0.3891133846728141,0.32622725245132367,0.6054729390407971,0.707075107466129
49,0,1.3166667356924378,0.6924857175483509,0.5037246548658745,0.6448289889230818,0.48670578585306673,1,1.7423648987381528,0.06682027649769585,0.26295757336404807,0.4451293416934568,0.16078857987159,0.434988863686105,1.3047630097126928,0.3809511114865395,0.6534812059737187,0.6499999999999999,0.5839719276248077
50,0,1.3188515640776606,0.682487448722129,0.3236797372000716,0.48698210942074666,0.7542556497426927,1,1.586091531725328,0.23333333333333334,0.26161661360128996,0.444872638592918,0.38908023281769877,0.3994474975615918,1.188423677648474,0.3745524375142688,0.2944590354421808,0.633750755675607,0.6047084758741592
51,0,1.3218872101709354,0.7064963318442303,0.325548433808376,0.4831129908776883,0.7119881264939587,1,1.5734898857147879,0.27380952380952384,0.26150933298250345,0.44133808374586914,0.6687425677559359,0.3357058643050195,1.188423677648474,0.3745524375142688,0.3011594315440752,0.633750755675607,0.6047084758741592
52,0,1.32217852944509,0.6961267663982301,0.23978546120904476,0.44405838582258333,0.8346947105556417,1,1.3324674788557795,0.3293838862559242,0.3115565341303408,0.35872753945967567,0.5544689752745315,0.35299362495009445,1.238142538357268,0.3889415607746901,0.33397064837823787,0.6054729390407971,0.6763660026605086
53,0,1.3233472333483747,0.6555292262478443,0.2432087486539095,0.8985425454975252,0.733010247348141,1,1.9135082805586425,0.17257683215130024,0.21244770482638708,0.4339863055768362,0.399353390895016,0.3744659085459652,1.469714793584933,0.3604373698582063,0.29607586314041323,0.6237194511062518,0.7620561988385537
54,0,1.323557433250263,0.6390452058465834,0.34885566075511704,0.8734339908323668,0.6707951977192957,1,1.9418625487645005,0.16037735849056603,0.22775415062305254,0.45,0.399353390895016,0.363945015235723,1.4384167027885189,0.3604373698582064,0.2960758631404133,0.5997360154815068,0.7620561988385535
55,0,1.3247916428832396,0.7283726883115574,0.5095981339124109,0.42342719109641264,0.513868898792388,1,1.4844507382359047,0.09610983981693363,0.26168161327655465,0.43197552658514404,0.269944344141155,0.35655974397335494,1.1454744129995782,0.574003998424023,0.6839701360164543,0.6363068528572207,-0.7834209267077183
56,0,1.325412827677608,0.6497761883548328,0.4873578048767829,0.8011117872213056,0.5434707588802454,1,1.87370921161487,0.06976744186046512,0.2802694320659571,0.44535522957351314,0.34278925167205043,0.3635800652555794,1.4024080009188737,0.3621190670092671,0.5742837984803408,0.6499999999999999,0.9422592972451396
57,0,1.3257892978501975,0.6452417520367627,0.38619157903712975,0.9315121236831605,0.6022986631164756,1,1.983719269655221,0.15,0.3020302213909607,0.44991025431460907,0.399353390895016,0.43218278965571394,1.469714793584933,0.3604373698582064,0.29607586314041323,0.5997360154815068,0.7273035690759453
58,0,1.3281212213135807,0.7264560293229314,0.2787884083841866,0.3207302025344109,0.7962498945833477,1,1.3781712667517714,0.3547619047619048,0.2629602126675309,0.44400175515435425,0.6674668878381715,0.33586657552338706,1.0346590231177948,0.38870404108262596,0.3076817717571425,0.6139273998203636,0.6194306939333478
59,0,1.3282821817200416,0.575777513924777,0.4850874602290684,0.9635086087288333,0.6345184318699272,1,1.9837141029751049,0.04398148148148148,0.31163534163913154,0.44237507688183086,0.2833619266368458,0.29974190774289294,1.4947452261232783,0.20018752244159038,0.5782606647138406,0.6370814604834469,-1.2300690837138553
60,0,1.330986593068232,0.7007021333695835,0.25762074449827327,0.20404577089807954,0.9213298665397921,1,1.173201896089299,0.2589073634204275,0.2692831965352487,0.43721511219970755,0.36786341265000866,0.3755135969059221,0.8944505525641677,0.3591644607107698,0.29989351272400094,0.6311040275671052,0.7304648595883656
61,0,1.331317925787916,0.7003487661069843,0.2299175865045891,0.9472803149754394,0.6531086068670983,1,1.9366619772831206,0.17339667458432304,0.3068119775051361,0.4303693282851379,0.5522991092334519,0.37114104998926445,1.5,0.3518638247630673,0.29960730326446533,0.6324945532967328,0.739012205813596
62,0,1.332996086317459,0.7270786051620047,0.27875206397420704,0.36479745724884527,0.7871639154371634,1,1.4375865867944617,0.29832935560859186,0.2629602126675309,0.44353198708357566,0.6687425677559359,0.33588993585089755,1.0804080492196642,0.37883002232494156,0.3076817717571425,0.6472541683410934,0.6047084758741592
63,0,1.3345437853506417,0.634819145710364,0.49368218912005796,0.5225669625792616,0.6967403051287926,1,1.6142750700390325,0.04906542056074766,0.31163672706240264,0.4409559066426909,0.28306578771329793,0.35480201782813114,1.2202845724641345,0.20011906192050344,0.5816856977624287,0.6358801105657038,-1.1866067824825062
64,0,1.3421672884587859,0.7478258118434338,0.5113442388835068,0.27490209141733446,0.5673778777802637,1,1.3084243420259714,0.09699769053117784,0.262969800137257,0.4436430989189522,0.2650618570521276,0.3587398508386148,0.9830907961935136,0.5784929269451644,0.6742586625323477,0.6245210890992439,-0.8241976085537428
65,0,1.3456734203985306,0.7119610168242512,0.3324601624687437,0.36642189264228886,0.7883958876228995,1,1.4407336824012498,0.36904761904761907,0.2629602126675309,0.44400175515435425,0.6674668878381715,0.3358665755233871,1.081627617966201,0.3781044053122823,0.3076817717571425,0.6139390368768112,0.6194306939333478
