niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_precision_train,descriptor_sharpness_train,descriptor_precision_validation,descriptor_sharpness_validation,visit_count,retained_niche,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index,selection_feasible
125,5,6,0.5301882080036477,0.4869585293537857,0.3232974910394265,0.22017433702324482,0.361720215266215,0.22516075728512092,76,0,44,4,5,28,0.5423908400704798,0.25,3.928039636817595,0,1
84,4,4,0.5322107139933401,0.4745575342136773,0.3006885998469778,0.17595971078264386,0.3062912902678211,0.174657354094997,69,0,10,18,2,11,0.6180901977998545,0.40293169689840397,3.259745021961269,1,0
165,5,8,0.5324881368555855,0.5249463604415776,0.32339181286549706,0.24526977838749348,0.33714219058203854,0.24951503715343612,121,0,256,11,2,4,0.9586623785529026,0.9812408477281406,4,1,1
23,3,1,0.5328264523108122,0.5089865820920452,0.29120323559150657,0.1307045728073051,0.3190411929457154,0.13222163004718596,3,0,20,24,2,24,0.6558734240227735,0.2593800697373487,3.75263087886692,0,0
42,2,2,0.5330251439722999,0.4949246089803449,0.2712022367194781,0.14607484982491542,0.30552745272949283,0.15046464535812085,26,0,14,20,2,13,0.6811904379335069,0.25,3.5920906144690203,0,0
63,3,3,0.5336509125782396,0.49863060193621495,0.2895357985837923,0.16084048873179724,0.29647808728912634,0.1622367168985111,59,0,12,24,3,13,0.6529335817940147,0.32256929696896464,3.7048478185912614,1,0
105,5,5,0.5360107331756957,0.5009088822403126,0.31877729257641924,0.20193053648575066,0.3530969516611159,0.21771824612270171,79,0,20,5,23,15,0.4,0.25,4,0,1
83,3,4,0.538601356856394,0.4923951151914535,0.2934306569343066,0.1722184227663215,0.3161732655205534,0.1689850483480289,79,0,12,23,2,13,0.6368579325427441,0.4575008898640396,3.887896961451419,1,1
185,5,9,0.5399490212280131,0.5278378805230621,0.3232733604178758,0.2579309892022545,0.3436529128780819,0.25869823846387624,129,0,183,10,2,3,0.7740371160142396,1,3.829346926436146,1,1
207,7,10,0.5412357336052257,0.5335831508738909,0.34795111430625447,0.2752244493166698,0.36368039595543084,0.28270671592251506,127,0,211,7,13,7,0.5779934197403476,0.8715208583113252,3.3859365933000536,1,1
62,2,3,0.541610742913271,0.4971496249506795,0.28003314001657,0.15391937378336604,0.2993420019199381,0.15740564048430086,58,0,12,24,4,14,0.5917862666901086,0.25,3.641222461157339,0,0
41,1,2,0.5421305245555894,0.5002218597908558,0.258008658008658,0.14495481039135044,0.2996997256454631,0.149251752504806,10,0,14,20,2,12,0.6685217790778706,0.25,3.7566152471424505,0,0
144,4,7,0.5438850049825907,0.52739170041813,0.3080283997815401,0.23319543772517393,0.33625944232199073,0.23554146095707978,90,0,256,3,6,54,0.4,0.30568013437018426,4,0,1
208,8,10,0.5440596381830317,0.537354065901656,0.3528980190755686,0.2763508928034515,0.3649347868422984,0.28311854362034633,89,1,212,7,12,8,0.5922960159238732,0.8750970642036774,3.3802283570751634,1,1
7,7,0,0.5442219830031131,0.5233858228814239,0.3443298969072165,0.11147411611132933,0.3764444981987521,0.11716000440814729,1,0,46,20,12,8,0.4490185244749602,0.25,4,0,1
61,1,3,0.5445966161445953,0.4952735610750387,0.2635350318471338,0.15346589677319664,0.2979326637004097,0.15775499026903617,54,0,12,24,4,14,0.5813103916235457,0.25030465291824155,3.5460819312163356,0,0
104,4,5,0.5459880917475386,0.5121514203599209,0.30960648148148145,0.1912797950149357,0.3402561312791127,0.19020945981996795,67,0,20,23,56,13,0.7014473089037705,0.36912062420428327,3.9219554659980944,1,1
164,4,8,0.5471161760018747,0.5311349303585858,0.3092142453363482,0.24919540427460554,0.33225763187747626,0.24726396372269233,96,0,204,3,14,31,0.4511744046719551,0.34279568945485933,3.7734286819377174,0,1
206,6,10,0.5487193354252811,0.5377881358852025,0.3314814814814815,0.2759062491912666,0.3495964168660083,0.27742496930847826,123,0,252,9,3,6,1,0.9811713714551389,3.566119956462811,1,1
82,2,4,0.5535265529041248,0.49082714905834435,0.2794636556104446,0.17146016674526965,0.29137296988773587,0.17180936392010218,64,0,10,23,3,15,0.5940992214646498,0.33433300000959865,3.3962093924233634,0,0
103,3,5,0.5536515031712769,0.4771610619656871,0.2952783650458069,0.1876517900741849,0.32078366566182326,0.1891324730435178,80,0,10,22,39,8,1,0.3761322437290468,3.260758974896779,1,1
184,4,9,0.5550584321543517,0.5462211970911569,0.3073770491803279,0.2679197670753776,0.33196482784392983,0.26875759790594167,107,0,256,4,6,28,0.7876532849748863,0.4298037091159826,3.8656647758618097,0,1
124,4,6,0.5551176498675884,0.5079846782340386,0.3076068850638534,0.21153009294714256,0.32665942267290227,0.21583951880321028,58,0,14,19,64,6,0.7822336643030697,0.4383699873599427,3.801874543341625,1,1
40,0,2,0.5557290338446412,0.4944063391359566,0.252827140549273,0.15166865068421717,0.2914457845456107,0.15662070644187237,1,0,12,24,3,14,0.5662173546582344,0.26512591311470884,3.44960209459174,0,0
60,0,3,0.558793236461806,0.5042386200891041,0.2536873156342183,0.15396086192508038,0.2930279174732133,0.1610410861108138,26,0,12,22,4,24,0.7216641306573612,0.26463908131695973,3.815569061692784,0,0
205,5,10,0.5619280416550702,0.5538024249681318,0.31616052060737526,0.277145223286739,0.33383967243466983,0.2825320675402366,139,0,256,9,1,4,0.8079060238248378,1,3.808854372480261,1,1
190,10,9,0.5634656910024194,0.5232526226998186,0.38161838161838163,0.25881751971280215,0.39378138090028203,0.2641126493957375,56,1,148,7,15,9,0.672301161137711,0.9529955210104291,2.7059325421914266,1,1
123,3,6,0.5658445879350086,0.5068642712675153,0.28869844670594536,0.20724486377729037,0.326116642583355,0.2202290386126827,52,0,14,7,11,4,0.4,0.27736467894001277,4,0,1
204,4,10,0.5690019339546349,0.5645978757882166,0.30716332378223493,0.27666669744862793,0.32686617696302445,0.2795753681273668,102,0,256,4,6,31,0.7772063153000607,0.4693772147986277,3.8285565305493416,0,1
102,2,5,0.5718780833059718,0.4892946398610513,0.28101736972704716,0.1923242071315951,0.30998971291081073,0.1926081832831985,103,0,10,17,37,10,1,0.3862567468650879,3.5265608653658003,1,1
81,1,4,0.5749214414531271,0.5011211244566555,0.2662295081967213,0.17181361645479387,0.2775492241286758,0.16947050308576694,49,0,10,22,3,14,0.5630387822823468,0.31233132363783017,3.6300136486310617,0,0
227,7,11,0.5762824892640889,0.5618663694180218,0.3394255874673629,0.29455527528121495,0.3646896729402104,0.2969945780355351,89,0,256,7,4,13,0.788248030353349,0.9091861214155418,3.382022573110511,1,1
143,3,7,0.5809273252274284,0.5123745331446417,0.2942655935613682,0.225940696021406,0.3204560840323111,0.22828602716094978,57,0,14,8,5,13,0.47691544299644456,0.410660464375874,4,0,1
226,6,11,0.5834314547306826,0.5688733717792224,0.3256748994830557,0.294336574603898,0.3487732205958367,0.296393854839036,104,0,256,7,5,6,0.7282515298226048,0.8472826439700011,3.7186744779139214,1,1
225,5,11,0.5866274140467528,0.5835608436444697,0.32364672364672364,0.29466577276867917,0.3323986113188937,0.3021451880226137,120,0,245,7,12,8,0.6263555883411516,0.879502599999205,3.797758337570703,1,1
101,1,5,0.5893944231007077,0.4955454490221392,0.2638809387521465,0.1930345955610711,0.26960790018287506,0.1960955433768096,79,0,8,18,3,13,0.6180508699248816,0.3759435009087335,3.787285384560113,0,1
