design,field_deg,wavelength_um,ray_id,x_mm,y_mm
reference,0,0.4861,177,-0.023967184986525947,-0.028760621983831225
reference,0,0.4861,178,-0.028760621983831225,0.023967184986525947
reference,0,0.4861,179,-0.024480068920326392,0.016320045946883965
reference,0,0.4861,180,-0.020982069739221565,0.010491034869610782
reference,0,0.4861,181,-0.01840150793529549,0.00613383597843109
reference,0,0.4861,182,-0.01682256844849883,0.0028037614080833606
reference,0,0.4861,183,-0.01629136208205484,0
reference,0,0.4861,184,-0.01682256844849883,-0.0028037614080833606
reference,0,0.4861,185,-0.01840150793529549,-0.00613383597843109
reference,0,0.4861,186,-0.020982069739221565,-0.010491034869610782
reference,0,0.4861,187,-0.024480068920326392,-0.016320045946883965
reference,0,0.4861,188,-0.028760621983831225,-0.023967184986525947
reference,0,0.4861,189,-0.0319229619191681,0.01368126939392944
reference,0,0.4861,190,-0.029129543249581058,0.008322726642737477
reference,0,0.4861,191,-0.02741076797010411,0.003915823995728651
reference,0,0.4861,192,-0.026831013313236785,0
reference,0,0.4861,193,-0.02741076797010411,-0.003915823995728651
reference,0,0.4861,194,-0.029129543249581058,-0.008322726642737477
reference,0,0.4861,195,-0.0319229619191681,-0.01368126939392944
reference,0,0.4861,196,-0.04017106331657505,0
reference,0,0.5876,0,0.050934971077166935,0
reference,0,0.5876,1,0.0408307675446844,0.017498900376294424
reference,0,0.5876,2,0.037627875741008676,0.010750821640288288
reference,0,0.5876,3,0.0356701081062174,0.005095729729459597
reference,0,0.5876,4,0.035011773150045666,0
reference,0,0.5876,5,0.0356701081062174,-0.005095729729459597
reference,0,0.5876,6,0.037627875741008676,-0.010750821640288288
reference,0,0.5876,7,0.0408307675446844,-0.017498900376294424
reference,0,0.5876,8,0.03661241057569864,0.03051034214641568
reference,0,0.5876,9,0.031695601478636704,0.021130400985756914
reference,0,0.5876,10,0.02772926117139507,0.013864630585697535
reference,0,0.5876,11,0.024827468931800656,0.008275822977267477
reference,0,0.5876,12,0.023060868458867567,0.003843478076477669
reference,0,0.5876,13,0.022467931525037343,0
reference,0,0.5876,14,0.023060868458867567,-0.003843478076477669
reference,0,0.5876,15,0.024827468931800656,-0.008275822977267477
reference,0,0.5876,16,0.02772926117139507,-0.013864630585697535
reference,0,0.5876,17,0.031695601478636704,-0.021130400985756914
reference,0,0.5876,18,0.03661241057569864,-0.03051034214641568
reference,0,0.5876,19,0.03051034214641568,0.03661241057569864
reference,0,0.5876,20,0.025478648647299096,0.025478648647299096
reference,0,0.5876,21,0.021176804055385468,0.01694144324430802
reference,0,0.5876,22,0.017730107816222862,0.010638064689733717
reference,0,0.5876,23,0.015219470853022443,0.006087788341209377
reference,0,0.5876,24,0.013694991953066893,0.002738998390613201
reference,0,0.5876,25,0.013183947216761194,0
reference,0,0.5876,26,0.013694991953066893,-0.002738998390613201
reference,0,0.5876,27,0.015219470853022443,-0.006087788341209377
reference,0,0.5876,28,0.017730107816222862,-0.010638064689733717
reference,0,0.5876,29,0.021176804055385468,-0.01694144324430802
reference,0,0.5876,30,0.025478648647299096,-0.025478648647299096
reference,0,0.5876,31,0.03051034214641568,-0.03661241057569864
reference,0,0.5876,32,0.021130400985756914,0.031695601478636704
reference,0,0.5876,33,0.01694144324430802,0.021176804055385468
reference,0,0.5876,34,0.01338440921936046,0.01338440921936046
reference,0,0.5876,35,0.010547157773409754,0.007910368330056317
reference,0,0.5876,36,0.008486416226998639,0.004243208113499319
reference,0,0.5876,37,0.007237294870301003,0.0018093237175752508
reference,0,0.5876,38,0.006818900652950433,0
reference,0,0.5876,39,0.007237294870301003,-0.0018093237175752508
reference,0,0.5876,40,0.008486416226998639,-0.004243208113499319
reference,0,0.5876,41,0.010547157773409754,-0.007910368330056317
reference,0,0.5876,42,0.01338440921936046,-0.01338440921936046
reference,0,0.5876,43,0.01694144324430802,-0.021176804055385468
reference,0,0.5876,44,0.021130400985756914,-0.031695601478636704
reference,0,0.5876,45,0.017498900376294424,0.0408307675446844
reference,0,0.5876,46,0.013864630585697535,0.02772926117139507
reference,0,0.5876,47,0.010638064689733717,0.017730107816222862
reference,0,0.5876,48,0.007910368330056317,0.010547157773409754
reference,0,0.5876,49,0.0057410166581342015,0.0057410166581342015
reference,0,0.5876,50,0.0041683974046919925,0.002778931603128143
reference,0,0.5876,51,0.003216257041314341,0.0010720856804377066
reference,0,0.5876,52,0.0028975115737501778,0
reference,0,0.5876,53,0.003216257041314341,-0.0010720856804377066
reference,0,0.5876,54,0.0041683974046919925,-0.002778931603128143
reference,0,0.5876,55,0.0057410166581342015,-0.0057410166581342015
reference,0,0.5876,56,0.007910368330056317,-0.010547157773409754
reference,0,0.5876,57,0.010638064689733717,-0.017730107816222862
reference,0,0.5876,58,0.013864630585697535,-0.02772926117139507
reference,0,0.5876,59,0.017498900376294424,-0.0408307675446844
reference,0,0.5876,60,0.010750821640288288,0.037627875741008676
reference,0,0.5876,61,0.008275822977267477,0.024827468931800656
reference,0,0.5876,62,0.006087788341209377,0.015219470853022443
