design,time,arm_angle,counterweight_x,counterweight_y,arm_tip_x,arm_tip_y,projectile_x,projectile_y,released
initial,2.133333333,0.336318700,-1.057254981,6.630383336,3.303913865,8.155049296,11.452669143,3.473917457,true
initial,2.150000000,0.311299238,-1.066170745,6.656948203,3.331775527,8.072034275,11.546997049,3.354249787,true
initial,2.166666667,0.286256406,-1.074426532,6.683752913,3.357574799,7.988269758,11.641324954,3.231857117,true
initial,2.183333333,0.261236756,-1.082001822,6.710730864,3.381247553,7.903963874,11.735652860,3.106739447,true
initial,2.200000000,0.236285738,-1.088881834,6.737815151,3.402747597,7.819325694,11.829980766,2.978896777,true
initial,2.216666667,0.211447639,-1.095057452,6.764939001,3.422046442,7.734563886,11.924308671,2.848329107,true
initial,2.233333333,0.186765533,-1.100525094,6.792036182,3.439132899,7.649885414,12.018636577,2.715036437,true
initial,2.250000000,0.162281241,-1.105286543,6.819041405,3.454012532,7.565494314,12.112964482,2.579018767,true
initial,2.266666667,0.138035303,-1.109348719,6.845890681,3.466706972,7.481590540,12.207292388,2.440276097,true
initial,2.283333333,0.114066951,-1.112723431,6.872521666,3.477253112,7.398368922,12.301620293,2.298808427,true
initial,2.300000000,0.090414102,-1.115427078,6.898873954,3.485702202,7.316018223,12.395948199,2.154615757,true
initial,2.316666667,0.067113351,-1.117480339,6.924889345,3.492118860,7.234720313,12.490276105,2.007698087,true
initial,2.333333333,0.044199975,-1.118907828,6.950512071,3.496580003,7.154649471,12.584604010,1.858055417,true
initial,2.350000000,0.021707945,-1.119737743,6.975688975,3.499173747,7.075971807,12.678931916,1.705687747,true
initial,2.366666667,-0.000330056,-1.120001496,7.000369663,3.499998252,6.998844806,12.773259821,1.550595077,true
initial,2.383333333,-0.021882611,-1.119733342,7.024506601,3.499160562,6.923417006,12.867587727,1.392777407,true
initial,2.400000000,-0.042919539,-1.118970002,7.048055187,3.496775430,6.849827790,12.961915632,1.232234737,true
initial,2.416666667,-0.063411858,-1.117750295,7.070973778,3.492964160,6.778207293,13.056243538,1.068967067,true
initial,2.433333333,-0.083331750,-1.116114767,7.093223684,3.487853457,6.708676422,13.150571444,0.902974397,true
initial,2.450000000,-0.102652516,-1.114105337,7.114769127,3.481574315,6.641346979,13.244899349,0.734256727,true
initial,2.466666667,-0.121348531,-1.111764953,7.135577178,3.474260942,6.576321873,13.339227255,0.562814057,true
initial,2.483333333,-0.139395200,-1.109137256,7.155617654,3.466049718,6.513695421,13.433555160,0.388646387,true
initial,2.500000000,-0.156768900,-1.106266270,7.174863005,3.457078218,6.453553721,13.527883066,0.211753717,true
initial,2.511111111,-0.167966252,-1.104238906,7.187239028,3.450742922,6.414878657,13.590768336,0.092311382,true
optimized,0.000000000,-1.197900108,-0.419673073,8.072787117,1.311478353,3.647540260,-3.031795445,1.948456600,false
optimized,0.016666667,-1.197615845,-0.419983558,8.072665605,1.312425733,3.647911030,-3.030347068,1.947547244,false
optimized,0.033333333,-1.196802776,-0.420855534,8.072323793,1.315150813,3.648979248,-3.026193730,1.944972117,false
optimized,0.050000000,-1.195471211,-0.422283008,8.071762459,1.319611770,3.650733441,-3.019370512,1.940720072,false
optimized,0.066666667,-1.193627675,-0.424258113,8.070982155,1.325784025,3.653171893,-3.009890910,1.934790056,false
optimized,0.083333333,-1.191278147,-0.426773248,8.069982401,1.333643821,3.656296102,-2.997763273,1.927184689,false
optimized,0.100000000,-1.188428066,-0.429821066,8.068761722,1.343168198,3.660110673,-2.982990834,1.917910278,false
optimized,0.116666667,-1.185082348,-0.433394462,8.067317683,1.354334955,3.664623220,-2.965571759,1.906976849,false
optimized,0.133333333,-1.181245393,-0.437486558,8.065646910,1.367122600,3.669844278,-2.945499190,1.894398206,false
optimized,0.150000000,-1.176921096,-0.442090687,8.063745122,1.381510297,3.675787232,-2.922761304,1.880192003,false
optimized,0.166666667,-1.172112860,-0.447200367,8.061607145,1.397477792,3.682468247,-2.897341372,1.864379838,false
optimized,0.183333333,-1.166823606,-0.452809280,8.059226933,1.415005342,3.689906215,-2.869217831,1.846987362,false
optimized,0.200000000,-1.161055785,-0.458911246,8.056597584,1.434073629,3.698122706,-2.838364359,1.828044416,false
optimized,0.216666667,-1.154811385,-0.465500187,8.053711351,1.454663666,3.707141925,-2.804749968,1.807585178,false
optimized,0.233333333,-1.148091945,-0.472570101,8.050559654,1.476756696,3.716990682,-2.768339104,1.785648331,false
optimized,0.250000000,-1.140898566,-0.480115023,8.047133090,1.500334076,3.727698362,-2.729091755,1.762277250,false
optimized,0.266666667,-1.133231919,-0.488128986,8.043421437,1.525377166,3.739296906,-2.686963581,1.737520207,false
optimized,0.283333333,-1.125092260,-0.496605983,8.039413663,1.551867188,3.751820787,-2.641906051,1.711430593,false
optimized,0.300000000,-1.116479437,-0.505539918,8.035097929,1.579785098,3.765307000,-2.593866606,1.684067152,false
optimized,0.316666667,-1.107392903,-0.514924563,8.030461594,1.609111431,3.779795047,-2.542788829,1.655494239,false
optimized,0.333333333,-1.097831730,-0.524753505,8.025491217,1.639826146,3.795326925,-2.488612644,1.625782087,false
optimized,0.350000000,-1.087794616,-0.535020090,8.020172563,1.671908456,3.811947118,-2.431274535,1.595007093,false
optimized,0.366666667,-1.077279902,-0.545717371,8.014490604,1.705336650,3.829702582,-2.370707781,1.563252112,false
optimized,0.383333333,-1.066285581,-0.556838043,8.008429529,1.740087904,3.848642732,-2.306842729,1.530606769,false
optimized,0.400000000,-1.054809315,-0.568374382,8.001972740,1.776138079,3.868819426,-2.239607083,1.497167779,false
optimized,0.416666667,-1.042848447,-0.580318175,7.995102869,1.813461510,3.890286938,-2.168926233,1.463039276,false
optimized,0.433333333,-1.030400012,-0.592660646,7.987801781,1.852030781,3.913101936,-2.094723606,1.428333153,false
optimized,0.450000000,-1.017460759,-0.605392388,7.980050590,1.891816491,3.937323440,-2.016921058,1.393169405,false
optimized,0.466666667,-1.004027163,-0.618503277,7.971829669,1.932787008,3.963012776,-1.935439300,1.357676474,false
optimized,0.483333333,-0.990095445,-0.631982392,7.963118672,1.974908207,3.990233523,-1.850198361,1.321991602,false
optimized,0.500000000,-0.975661584,-0.645817928,7.953896556,2.018143200,4.019051437,-1.761118095,1.286261177,false
optimized,0.516666667,-0.960721345,-0.659997106,7.944141608,2.062452055,4.049534366,-1.668118728,1.250641072,false
optimized,0.533333333,-0.945270293,-0.674506078,7.933831479,2.107791503,4.081752148,-1.571121450,1.215296986,false
optimized,0.550000000,-0.929303818,-0.689329829,7.922943225,2.154114630,4.115776482,-1.470049057,1.180404765,false
optimized,0.566666667,-0.912817158,-0.704452082,7.911453350,2.201370567,4.151680787,-1.364826636,1.146150706,false
optimized,0.583333333,-0.895805424,-0.719855187,7.899337866,2.249504168,4.189540024,-1.255382308,1.112731851,false
optimized,0.600000000,-0.878263626,-0.735520019,7.886572351,2.298455675,4.229430504,-1.141648019,1.080356245,false
optimized,0.616666667,-0.860186704,-0.751425874,7.873132029,2.348160388,4.271429653,-1.023560382,1.049243170,false
optimized,0.633333333,-0.841569556,-0.767550353,7.858991849,2.398548322,4.315615749,-0.901061578,1.019623342,false
optimized,0.650000000,-0.822407073,-0.783869258,7.844126583,2.449543866,4.362067627,-0.774100311,0.991739064,false
optimized,0.666666667,-0.802694173,-0.800356485,7.828510934,2.501065444,4.410864339,-0.642632812,0.965844334,false
optimized,0.683333333,-0.782425839,-0.816983909,7.812119656,2.553025184,4.462084773,-0.506623909,0.942204894,false
optimized,0.700000000,-0.761597158,-0.833721288,7.794927693,2.605328583,4.515807233,-0.366048141,0.921098220,false
optimized,0.716666667,-0.740203364,-0.850536159,7.776910323,2.657874202,4.572108965,-0.220890928,0.902813436,false
optimized,0.733333333,-0.718239884,-0.867393741,7.758043334,2.710553365,4.631065639,-0.071149788,0.887651160,false
optimized,0.750000000,-0.695702385,-0.884256854,7.738303197,2.763249890,4.692750776,0.083164389,0.875923247,false
optimized,0.766666667,-0.672586827,-0.901085836,7.717667273,2.815839844,4.757235126,0.242026039,0.867952455,false
optimized,0.783333333,-0.648889511,-0.917838477,7.696114024,2.868191336,4.824585990,0.405393570,0.864071991,false
optimized,0.800000000,-0.624607144,-0.934469972,7.673623255,2.920164358,4.894866486,0.573207988,0.864624956,false
optimized,0.816666667,-0.599736891,-0.950932879,7.650176357,2.971610670,4.968134765,0.745391487,0.869963658,false
optimized,0.833333333,-0.574276442,-0.967177109,7.625756582,3.022373751,5.044443169,0.921846026,0.880448800,false
optimized,0.850000000,-0.548224077,-0.983149926,7.600349325,3.072288818,5.123837343,1.102451908,0.896448528,false
optimized,0.866666667,-0.521578732,-0.998795983,7.573942423,3.121182924,5.206355296,1.287066345,0.918337325,false
optimized,0.883333333,-0.494340074,-1.014057380,7.546526474,3.168875146,5.292026422,1.475522058,0.946494758,false
optimized,0.900000000,-0.466508570,-1.028873756,7.518095156,3.215176867,5.380870482,1.667625895,0.981304053,false
optimized,0.916666667,-0.438085564,-1.043182415,7.488645564,3.259892179,5.472896562,1.863157500,1.023150505,false
optimized,0.933333333,-0.409073358,-1.056918492,7.458178553,3.302818385,5.568102004,2.061868046,1.072419715,false
optimized,0.950000000,-0.379475285,-1.070015154,7.426699076,3.343746654,5.666471334,2.263479052,1.129495642,false
optimized,0.966666667,-0.349295794,-1.082403854,7.394216532,3.382462788,5.767975201,2.467681292,1.194758480,false
optimized,0.983333333,-0.318540532,-1.094014626,7.360745095,3.418748150,5.872569323,2.674133846,1.268582350,false
optimized,1.000000000,-0.287216419,-1.104776423,7.326304040,3.452380735,5.980193482,2.882463279,1.351332819,false
optimized,1.016666667,-0.255331735,-1.114617516,7.290918045,3.483136398,6.090770576,3.092263006,1.443364238,false
optimized,1.033333333,-0.222896197,-1.123465931,7.254617475,3.510790232,6.204205738,3.303092847,1.545016912,false
