i,j,x_m,y_m,solid,u_lattice,v_lattice,pressure_lattice,concentration,source_x_fraction,source_y_fraction
27,2,3.437500000,0.312500000,0,0.007481518,0.000100599,0.000354393,0.044152932,0.300000000,0.250000000
28,2,3.562500000,0.312500000,0,0.007372934,0.000080156,0.000353323,0.038955263,0.300000000,0.250000000
29,2,3.687500000,0.312500000,0,0.007397632,0.000111406,0.000343955,0.033936437,0.300000000,0.250000000
30,2,3.812500000,0.312500000,0,0.007539894,-0.000099021,0.000345522,0.029205240,0.300000000,0.250000000
31,2,3.937500000,0.312500000,0,0.007605657,-0.000341527,0.000340073,0.024831090,0.300000000,0.250000000
32,2,4.062500000,0.312500000,0,0.007560186,0.000071571,0.000348515,0.020862254,0.300000000,0.250000000
33,2,4.187500000,0.312500000,0,0.007826574,0.000243561,0.000330511,0.017329882,0.300000000,0.250000000
34,2,4.312500000,0.312500000,0,0.008377464,-0.000674680,0.000218597,0.014236125,0.300000000,0.250000000
35,2,4.437500000,0.312500000,0,0.008216270,-0.000584841,0.000144915,0.011563019,0.300000000,0.250000000
36,2,4.562500000,0.312500000,0,0.006548886,0.002251785,0.000388895,0.009312146,0.300000000,0.250000000
37,2,4.687500000,0.312500000,0,0.003719969,0.003257306,0.000416180,0.007558151,0.300000000,0.250000000
38,2,4.812500000,0.312500000,0,0.001138232,0.001609098,0.000256500,0.006611974,0.300000000,0.250000000
39,2,4.937500000,0.312500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
0,3,0.062500000,0.437500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,3,0.187500000,0.437500000,0,0.000010656,0.000081999,0.000406432,0.047468670,0.300000000,0.250000000
2,3,0.312500000,0.437500000,0,-0.000011254,0.000188999,0.000402143,0.047897137,0.300000000,0.250000000
3,3,0.437500000,0.437500000,0,0.000008717,0.000067132,0.000412028,0.048732489,0.300000000,0.250000000
4,3,0.562500000,0.437500000,0,0.000203461,-0.000146322,0.000391848,0.049932769,0.300000000,0.250000000
5,3,0.687500000,0.437500000,0,0.000531424,-0.000407214,0.000379269,0.051446340,0.300000000,0.250000000
6,3,0.812500000,0.437500000,0,0.001052613,-0.000730687,0.000397004,0.053230455,0.300000000,0.250000000
7,3,0.937500000,0.437500000,0,0.001798459,-0.000995012,0.000377036,0.055225948,0.300000000,0.250000000
8,3,1.062500000,0.437500000,0,0.002736519,-0.001231492,0.000350429,0.057367783,0.300000000,0.250000000
9,3,1.187500000,0.437500000,0,0.003823752,-0.001462617,0.000360962,0.059611384,0.300000000,0.250000000
10,3,1.312500000,0.437500000,0,0.005032963,-0.001618218,0.000351765,0.061909277,0.300000000,0.250000000
11,3,1.437500000,0.437500000,0,0.006308599,-0.001704901,0.000322531,0.064199924,0.300000000,0.250000000
12,3,1.562500000,0.437500000,0,0.007652343,-0.001736809,0.000311419,0.066430949,0.300000000,0.250000000
13,3,1.687500000,0.437500000,0,0.008967413,-0.001651111,0.000299633,0.068553337,0.300000000,0.250000000
14,3,1.812500000,0.437500000,0,0.010174750,-0.001504920,0.000284743,0.070491412,0.300000000,0.250000000
15,3,1.937500000,0.437500000,0,0.011232902,-0.001252035,0.000264796,0.072150801,0.300000000,0.250000000
16,3,2.062500000,0.437500000,0,0.012091883,-0.000902542,0.000247210,0.073435502,0.300000000,0.250000000
17,3,2.187500000,0.437500000,0,0.012690064,-0.000566905,0.000244848,0.074225130,0.300000000,0.250000000
18,3,2.312500000,0.437500000,0,0.013040915,-0.000234662,0.000241257,0.074400925,0.300000000,0.250000000
19,3,2.437500000,0.437500000,0,0.013153776,0.000080624,0.000232975,0.073853614,0.300000000,0.250000000
20,3,2.562500000,0.437500000,0,0.013096361,0.000292858,0.000242052,0.072518047,0.300000000,0.250000000
21,3,2.687500000,0.437500000,0,0.012905148,0.000451651,0.000252793,0.070368804,0.300000000,0.250000000
22,3,2.812500000,0.437500000,0,0.012629826,0.000536422,0.000265403,0.067423647,0.300000000,0.250000000
23,3,2.937500000,0.437500000,0,0.012321390,0.000564417,0.000277911,0.063756819,0.300000000,0.250000000
24,3,3.062500000,0.437500000,0,0.012005184,0.000554588,0.000292012,0.059487254,0.300000000,0.250000000
25,3,3.187500000,0.437500000,0,0.011699277,0.000502788,0.000316522,0.054751929,0.300000000,0.250000000
26,3,3.312500000,0.437500000,0,0.011456594,0.000424733,0.000326972,0.049706901,0.300000000,0.250000000
27,3,3.437500000,0.437500000,0,0.011252034,0.000323714,0.000322945,0.044526524,0.300000000,0.250000000
28,3,3.562500000,0.437500000,0,0.011081335,0.000203081,0.000351984,0.039364633,0.300000000,0.250000000
29,3,3.687500000,0.437500000,0,0.011102241,0.000021499,0.000367199,0.034352149,0.300000000,0.250000000
30,3,3.812500000,0.437500000,0,0.011239597,-0.000177845,0.000303825,0.029612445,0.300000000,0.250000000
31,3,3.937500000,0.437500000,0,0.011180431,-0.000235120,0.000328667,0.025231246,0.300000000,0.250000000
32,3,4.062500000,0.437500000,0,0.011422626,-0.000314347,0.000430169,0.021245335,0.300000000,0.250000000
33,3,4.187500000,0.437500000,0,0.012454401,-0.000454818,0.000208993,0.017685460,0.300000000,0.250000000
34,3,4.312500000,0.437500000,0,0.012439098,-0.000356799,0.000074235,0.014563656,0.300000000,0.250000000
35,3,4.437500000,0.437500000,0,0.010753982,0.000715676,0.000647227,0.011808223,0.300000000,0.250000000
36,3,4.562500000,0.437500000,0,0.011653421,0.002164909,0.000533631,0.009384998,0.300000000,0.250000000
37,3,4.687500000,0.437500000,0,0.014835058,0.005443963,-0.000979191,0.007251906,0.300000000,0.250000000
38,3,4.812500000,0.437500000,0,0.008414749,0.008310735,-0.000012553,0.005606701,0.300000000,0.250000000
39,3,4.937500000,0.437500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
0,4,0.062500000,0.562500000,1,0.000000000,0.000000000,0.000000000,0.000000000,0.300000000,0.250000000
1,4,0.187500000,0.562500000,0,0.000012497,0.000104799,0.000419012,0.045275462,0.300000000,0.250000000
2,4,0.312500000,0.562500000,0,0.000048125,0.000235384,0.000390165,0.045664337,0.300000000,0.250000000
