point_id,feasible,selected,objective_oscillation_error,objective_molecule_cost,objective_fragility,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
20,1,0,1.477641228309704,98.224609375,0.570430730837046,1.2484876600644763,2.7026220672419496,-2.1373806559695696,1.5164176379478027,1.3830588166605353,0.6469697509682859,1.3554826764104226,-0.21634471191439125,0.33726794877739386,-0.7690166579490939,0.42008131902489576,-0.0052435145364067015,0.7286330031750405,1.900643444096621,2.3423342140456813
21,1,0,1.2365450554063477,148.255859375,0.6782731778808575,1.2753059913649047,2.199451981995863,-2.1966492766267343,1.5218414352754739,1.3096010579579145,0.4475942121679354,1.3198820125821484,-0.4853221242609925,-0.29922270912734994,-0.5143108464703481,0.49022073568704616,0.2678884658704266,-0.08512905036444984,1.7505812190539727,2.291742662820859
22,1,0,1.2365450554063477,148.255859375,0.6782731778808575,1.2753059913649047,2.199451981995863,-2.196649276626734,1.5218414352754737,1.3096010579579147,0.4475942121679354,1.3198820125821484,-0.4853221242609925,-0.29922270912734994,-0.5143108464703481,0.49022073568704616,0.2678884658704266,-0.08512905036444984,1.7505812190539727,2.291742662820859
23,1,0,1.2365450554063477,148.255859375,0.6782731778808575,1.2753059913649047,2.199451981995863,-2.1966492766267343,1.521841435275474,1.3096010579579145,0.4475942121679354,1.3198820125821484,-0.4853221242609925,-0.29922270912734994,-0.5143108464703481,0.49022073568704616,0.2678884658704266,-0.08512905036444984,1.7505812190539727,2.291742662820859
24,1,0,1.3163565985100025,130.390625,0.6621264698334486,1.397323725621383,2.3047738961639963,-2.215465384099723,1.3393828471948392,1.2663466117215547,0.5683968129394232,1.0664311127820296,-0.436162744987638,-0.03576154578503174,-0.478357428684854,0.26982779058095585,-0.26998693871508084,0.7442503225834092,2.1613333194871327,2.3853346680415646
25,1,0,1.3268654546567402,157.357421875,0.6501660651204723,1.7351434730898183,3.065033070474345,-2.1269466462649955,1.2847333846990026,1.3058252988167625,0.4666885639700056,1.4845324282410957,-0.736519229224514,0.3954940118553798,-0.607620422632523,0.29096569313126186,-0.11032470340072403,0.5855135030056489,1.7490315383435613,2.156923498948929
26,1,0,1.3828752783320555,156.953125,0.63121977089653,1.2347487680861065,2.465556601112164,-2.1377623732255757,1.8768967215137744,1.5369121409857132,0.3418759671828171,1.4225928637704364,-0.13321104792943006,-0.06779750077569391,-0.5148087174748809,-0.017373952484417643,-0.399817828229312,-0.12876013104074496,1.759457310480114,1.7827190474680448
27,1,0,1.3560647224474702,107.859375,0.6740220219888728,1.580142955910568,2.480445387203811,-1.6169183638692202,1.7312576662339663,1.3994804857484886,0.21800869361465197,1.3358813100621454,-0.38922708438655107,0.2131398717531186,-0.600707407791844,0.3284268831234475,-0.1555865173777431,0.788575546365951,1.7636988824096949,2.226991597066317
28,1,0,1.3630341963976074,118.880859375,0.6656238358019203,1.6351600435941145,2.480445387203811,-1.6169183638692202,2.0960941885127444,1.3966231174936306,0.38397116970414125,1.3244183776807803,-0.38922708438655107,0.20443686134167036,-0.6128876950202835,0.3284215399066668,-0.15777911506885095,0.6751787913482363,1.7643736338678082,2.226991597066317
29,1,0,1.8110849848468151,481.744140625,0.261535682647274,1.2446708868859382,2.7077730274076344,-2.142887769926585,1.5164176379478027,1.3830588166605353,0.5910549296860168,1.3582500090938945,-0.21634471191439122,-0.3779587559606069,-0.7675106821955471,0.42008131902489587,-0.005442753867964556,0.7286330031750405,1.9321725130236038,2.397616611348547
30,1,0,1.4890587758174114,92.912109375,0.6169703983925228,1.5560712215637373,2.8238792519223344,-1.7790793909258436,1.5436302464821225,1.2878381462131885,0.8719833342330621,1.2908790561517172,0.15914240469402152,0.3480743159822426,-0.7235747668600427,0.1547890564266291,-0.15261654271042852,0.762120701178804,1.8523980480590314,1.8724042743683222
31,1,0,1.371468465191851,117.251953125,0.6733068607759074,1.5795727751267536,2.480445387203811,-1.6169183638692202,2.099726783243433,1.4030641884363573,0.21800869361465203,1.3358813100621454,-0.38922708438655107,0.21313987175311863,-0.6128876950202835,0.3284215399066668,-0.2108739618823271,0.3858992768670278,1.7644155626863238,2.1728467164785172
32,1,0,1.371468465191851,117.251953125,0.6733068607759074,1.5795727751267536,2.480445387203811,-1.6169183638692202,2.099726783243433,1.4030641884363573,0.21800869361465203,1.3358813100621454,-0.38922708438655107,0.2131398717531186,-0.6128876950202835,0.3284215399066668,-0.2108739618823271,0.3858992768670278,1.7644155626863238,2.1728467164785172
33,1,0,1.2881050558616751,113.02734375,0.7235419488036715,1.4787332020011696,2.352485352139853,-2.221596622468706,1.3387739808146017,1.2576493014827625,0.6063869292669903,1.301776902617235,0.04147524971376121,-0.03576154578503177,-0.8329905878827082,0.485354931347706,-0.21483017587406528,0.7024172380674607,1.7598935246555762,2.306499949471514
34,1,0,1.4835353439753662,60.72265625,0.6526265570830163,1.2134144616744154,2.6574802327306224,-2.1778127950232964,1.9771647422927545,1.2554062472363952,0.28204777007480997,1.3583193790172519,-0.34727578810589477,0.3904415679915847,-0.716129799356841,0.366577366217129,0.2494284658168567,0.7025694704563565,1.7535242970976375,2.3968571819898403
35,1,0,0.9080926502868221,1563.60546875,0.20169025993678968,1.5309780660411105,2.685701960622205,-1.6061858339671322,1.9022170744432239,1.5146023505613462,0.8071427323003375,1.0973559283535814,-0.563657275873475,-0.3845662587818416,-0.5263347463136219,0.42409391394890716,-0.46444668389748966,0.28327521085809226,1.5295878728391559,2.372775647980726
36,1,0,1.3904512423164639,91.59375,0.7103015022171225,1.2484876600644763,2.707773027407635,-2.1889677471962985,1.5164176379478027,1.3830588166605353,0.6469697509682859,1.3432893960504928,-0.2163447119143912,0.4050157884114651,-0.7675106821955471,0.42008131902489576,-0.0052435145364067015,0.7286330031750405,1.8553249997943624,2.3434210109792213
37,1,0,1.2790223079230394,131.974609375,0.7806684972343961,1.2361976818236644,2.671023513816809,-1.7289893534001153,1.5162931902394294,1.3260669917842773,0.33351025900168474,1.2334448147402963,-0.21447867802098114,0.32953787894907993,-0.725148885771373,0.41943066240788024,-0.2580718474776813,0.24559815300773216,1.8986822794805613,2.185454450732365
38,1,0,1.8078872257763694,961.6796875,0.15105859874352862,1.7351434730898183,3.065033070474345,-1.8549609897613728,1.2847333846990026,1.3030974478780886,0.4666885639700056,1.4845324282410957,-0.736519229224514,-0.43874860790995035,-0.607620422632523,0.2841016516702204,-0.11617374602234182,0.5855135030056489,1.7181328737702475,2.156923498948929
39,1,0,2.0635800518419667,146.23046875,0.4815359684407813,1.284485573962239,2.250765914907342,-2.4668550916827314,1.5244809344589094,1.3001861571387612,0.21047252313103015,1.3145786175021081,-0.5738769813166104,-0.2253741117924953,-0.9466275053379691,0.4773316543901723,0.25198888816609366,0.7074613363174878,1.5795420437002696,2.3523652244747897
40,1,0,1.2957324729411261,1765.505859375,0.1302748723347714,1.7351434730898183,3.0507551839487865,-2.1718576712446027,1.2847333846990026,1.504152722449831,0.792651290387769,1.4845324282410957,-0.5652003171996325,-0.4387486079099503,-0.5343468670757079,0.40735280689575243,-0.1531667299626451,0.5855135030056489,1.5111300351885115,2.156923498948929
