hour,load_kw,renewable_kw,import_kw,export_kw,battery_soc_kwh,electrolyser_kw,hydrogen_store_kwh,hydrogen_buy_kw,hydrogen_demand_kw
1547,1177.7136722546334,3694.3006397354366,0,2139.411052394139,1393.6336345837626,377.17591508669534,267.9934650378709,0,139.25339994413275
1548,1165.3383776116918,3711.5718447247946,0,2169.057552026402,1393.6336345837044,377.17591508669534,387.371112460969,0,137.10197483583735
1549,1143.4054131929868,3694.623436874404,0,2174.04210859476,1393.6336345837335,377.17591508669534,509.3543909712753,0,134.4963437486923
1550,1113.404488873599,3609.4303837097877,0,2496.0258948362025,1393.6336345836753,0,377.7405292331241,0,131.61386173809754
1551,1077.375133538792,3377.077430509008,0,2299.7022969701793,1393.6336345837626,0,249.08978833351284,0,128.65074089962124
1552,1037.7677045635287,2928.6910654006215,0,1227.9224077988442,2023.4845399699695,0,123.28111014829483,0,125.80867818519108
1553,997.2764000093355,2259.6862304430047,0,1262.4098304336658,2023.4845399700278,0,0,0,123.28111014829601
1554,958.6556534813484,1450.6063786009847,0,313.65656139748165,2023.4845399700278,178.29416372216662,0,0,121.24003133107806
1555,924.5324240326012,1286.5571658893582,0,185.8125734058849,2023.4845399699987,176.21216845087474,0,0,119.82427454656282
1556,897.227173248379,1218.2172708586136,0,145.79884520042106,2023.4845399699987,175.19125240982976,0,0,119.130051638675
1557,878.5957296264875,1285.2344861954991,0,44.87954714333296,2023.4845399699987,361.7592094256763,126.79186319287504,0,119.2043992165613
1558,869.9028169345906,1447.9610525560138,0,200.88232053473376,2023.4845399700278,377.17591508669534,263.2295095904137,0,120.04197586142452
1559,871.7358653780602,1610.678788102314,0,361.7670076375701,2023.4845399700278,377.17591508669534,398.12370296058975,0,121.58542888881576
1560,883.9649792048149,1677.6695112191637,0,0,2653.335445356322,130.7035789761576,363.2728311799202,0,123.72930548448242
1561,905.7517888887215,1609.2854632303931,0,0,2963.3753166485835,377.17591508669534,493.42521194291476,0,126.32724149591857
1562,935.6065846298903,1445.1744379357776,0,0,3089.1476579567675,377.17591508669534,620.702896387389,0,129.20193781449896
1563,971.4898376182348,1281.054652073271,0,0,3089.1476579567675,309.5648144550796,699.0497258729447,0,132.1572443439204
1564,1010.9511905539563,1212.6443226016665,0,0,3089.1476579567966,201.6931320477243,701.209527703817,0,134.99152796159183
1565,1051.2964454506782,1279.5912439832568,0,0,3306.027716562777,0,563.6981142805889,0,137.51141342328154
1566,1089.7711687784015,1442.247658646046,0,352.476489867644,3306.027716562748,0,424.1531534859678,0,139.54496079464204
1567,1123.748401559215,2252.765210988641,0,1129.016809429403,3306.027716562719,0,283.1997720444342,0,140.95338144156594
1568,1150.9076822829436,2923.7962042493045,0,1772.888521966408,3306.027716562777,0,141.55927779327612,0,141.64049425117418
1569,1169.3931825268771,3374.4834668900053,0,2205.090284363145,3306.0277165626608,0,0,0,141.5592777932419
1570,1177.9401785984335,3609.031910073757,0,2224.1578019636586,3306.027716562748,206.93392951165845,0,0,140.71507206795877
1571,1175.9612403673093,3695.9031380302054,0,2315.287174384779,3306.027716562748,204.6547232782073,0,0,139.16521182908772
1572,1163.5862636606405,3713.6082242433085,0,2348.5291419660207,3306.027716562719,201.49281861667987,0,0,137.0151166593825
1573,1141.6536180796006,3695.81658463622,0,2356.499577682669,3306.027716562777,197.66338887394522,0,0,134.4111044343125
1574,1111.653013499106,3608.545420637352,0,2303.4653217173473,3306.0277165628063,193.42708542090259,0,0,131.53041808617402
1575,1075.6239788042562,3373.005958061848,0,2108.3097065237816,3306.027716562777,189.0722727337852,0,0,128.56914545897007
1576,1036.0168713698488,2920.5268480834893,0,1699.6146008501528,3306.027716562719,184.89537586353254,0,0,125.72885558721451
1577,995.525889257245,2246.7871483848526,0,1070.080579481204,3306.027716562748,181.18067964643706,0,0,123.20286215954773
1578,956.9054660714149,1432.6384169129174,0,297.5519945388951,3306.02771656269,178.18095630261814,0,0,121.16305028580828
1579,922.7825608652258,1268.381074304298,0,169.4982718960673,3306.027716562719,176.10024154299754,0,0,119.74816424923729
1580,895.4776352237963,1199.8335075682364,0,129.27593952600728,3306.027716562719,175.0799328184512,0,0,119.05435431653979
1581,876.8465176447644,1266.6435146265685,0,214.60784008644987,3306.027716562748,175.18915689535788,0,0,119.12862668886099
1582,868.1539318956266,1429.163341358699,0,384.58934651728487,3306.027716562748,176.42006294577732,0,0,119.96564280313459
1583,869.9873081815863,1591.6748111383777,0,542.9991413061507,3306.027716562748,178.68836165065295,0,0,121.5080859224905
1584,882.2167507503935,1658.4597475500145,0,594.403923499689,3306.027716562777,181.83907329992508,0,0,123.65056984398515
1585,904.0038900757464,1589.8703971050104,0,72.5485647907126,3712.305523437699,185.65709289669758,0,0,126.24682316980295
1586,933.8590163575851,1425.5545587785045,0,301.8136903863051,3712.3055234377252,189.8818520346249,0,0,129.11965938357145
1587,969.7426007856532,1261.2304544714755,0,82.28435485175578,3712.3055234377252,209.2034988340747,10.18532605090877,0,132.07305315621838
1588,1009.2042860599815,1192.6163062932737,0,0,3712.3055234377107,183.41202023328515,0,0,134.9054998095116
1589,1049.5498741940228,1259.3599138441539,0,7.716293375997338,3712.3055234377107,202.09374627412762,0,0,137.42374746639297
1590,1088.0249316576057,1421.8135246773513,0,128.7062899779412,3712.3055234377107,205.08230304179597,0,0,139.45596606840718
1591,1122.0024994726482,2237.0123122340224,0,907.8576717817341,3712.305523437749,207.15214097959688,0,0,140.86345586606865
1592,1149.1621161288024,2912.3954255874833,0,1555.071401273628,3712.30552343775,208.1619081850804,0,0,141.55009756592065
1593,1167.647953203185,3366.79502371097,0,1991.1045701266848,3712.3055234377207,208.04250038106693,0,0,141.46890025916352
1594,1176.1952870030411,3604.1487924825738,0,2221.1517392036912,3712.305523437688,206.80176627580659,0,0,140.6252010675719
1595,1174.2166873978933,3692.712802773861,0,2313.9721467870986,3712.305523437782,204.52396858891007,0,0,139.07629864049656
1596,1161.8420502147032,3710.8683406241034,0,2347.6622526601423,3712.305523437646,201.3640377492411,0,0,136.9275456694832
1597,1139.90974505447,3692.2396796958724,0,2354.792924506386,3712.305523437811,197.53701013498357,0,0,134.32516689177484
1598,1109.9094817919347,3602.8866587187654,0,2299.673806064122,3712.3055234377043,193.30337086267537,0,0,131.44629218666486
1599,1073.8807893120215,3364.1480723167942,0,2101.3159828216303,3712.3055234378207,188.9513001831947,0,0,128.4868841245606
1600,1034.2740249893516,2907.5564316879277,0,1688.505373201071,3712.3055234377916,184.77703349749208,0,0,125.64838277824518
1601,993.7833868851098,2229.057098452895,0,1054.2090380735754,3712.3055234377625,181.06467349416926,0,0,123.12397797605762
1602,955.1633086040893,1409.8122647269631,0,276.582125951536,3712.3055234377625,178.06683017133037,0,0,121.08544451655298
1603,921.0407491989799,1245.3592086749495,0,148.33105146113664,3712.3055234376247,175.98740801485837,0,0,119.67143745015571
