niche_id,quality,descriptor_daily_battery_throughput_per_kwh,descriptor_peak_import_ratio,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
44,0.052791213673280254,1.5059660914752822,0.38002827719968196,2922.600551215254,2389.2829631945356,1858.3702447970916,519.2893577738223,0,0,2600,4,1,1,0
48,0.09760799672356187,0.18123622192074076,0.4795418282076391,1230.6698657698469,2718.76529956388,14123.404569838862,577.1145386111754,0,0,2600,4,1,1,0
49,0.08397760126654503,0.25173756567528643,0.48123152830537763,1230.6698657698466,2692.9618343632783,10442.372906044022,577.1145386111754,0,0,2600,4,1,1,0
50,0.11376131916757078,0.37020118178944766,0.465152878650316,3339.868222931446,847.4497455904309,10337.590445341037,200.60489633258246,0,0,2600,4,1,1,0
51,0.07837324767418583,0.5502599686432016,0.41027307757091735,2861.4103352785146,2609.4585089596744,8550.742392259705,2588.970437906722,0,0,1800,3,1,1,0
52,0.09701200249020628,0.8909070981063644,0.4669404715960667,4534.084211269419,504.9912952370226,3074.4258931818217,138.90778542517253,0,0,2600,4,1,1,0
55,0.051054619321068286,1.2850246828298408,0.44053035952149144,1409.6113144363176,2696.1476285912113,1426.288512838345,471.8339035013616,0,0,2600,4,1,1,0
60,0.051319070833779845,0,0.5812402135526273,1896.4669151224666,2384.8227517659166,0,0,0,0,1250,2,1,0,0
61,0.08572494973670093,0.25939446062373656,0.5695614047974624,1407.7980415231655,2469.854923979628,10768.503949898282,313.13758318294225,0,0,1800,3,1,1,0
62,0.06467823043117092,0.5236998512134526,0.516278010958725,3252.9317613372855,2861.7650165016107,4291.9358238661625,134.14204390090012,0,0,1250,2,1,1,0
64,0.06196442250477659,0.81190270371747,0.5599079572626855,3183.2765179501134,2541.4408192050614,3789.8599285947075,199.21284274691567,0,0,1250,2,1,1,0
65,0.0550034847871184,1.0877187603369476,0.5301868606345539,1644.108292931844,2546.2360254367736,2570.8383224691156,679.4173084393088,0,0,2600,4,1,1,0
67,0.0919022600146436,1.3879944221641425,0.5723293844046622,1232.2920917051003,1187.0178114241373,5756.965952273255,545.0487064854988,0,0,2600,4,1,1,0
68,0.060313692099760875,1.5451956785805157,0.5599075798907289,3183.2765179501134,2541.4435898105557,4049.0592291021967,1171.8331595244488,0,0,1250,2,1,1,0
72,0.06899313963670965,0,0.6897749676128843,1472.5319807897513,1604.0338873950345,0,0,0,0,1250,2,1,0,0
73,0.1135932615305357,0.33464899821302724,0.6559850976049854,3818.169275658687,889.9642321699562,10569.534292281123,180.21696581587392,0,0,1800,3,1,1,0
74,0.0674697967605985,0.5207168680535419,0.6185435249004216,3711.3477503015674,2110.9477123437214,2837.993649828397,77.40216433550434,0,0,1250,2,1,1,0
75,0.09664264185887324,0.606043602784595,0.6593871879992987,3700.986601317731,858.3546316237786,5812.522955073666,180.21696581587378,0,0,1800,3,1,1,0
76,0.06138218567328655,0.833115076172188,0.6453649165059897,1944.9181897952603,2366.479220739949,4567.460920917499,431.9834684359773,0,0,1800,3,1,1,0
