niche_id,grid_x,grid_y,quality_train,quality_holdout,descriptor_daily_battery_throughput_per_kwh_train,descriptor_peak_import_ratio_train,descriptor_daily_battery_throughput_per_kwh_holdout,descriptor_peak_import_ratio_holdout,visit_count,retained_niche,constraint_self_sufficiency,constraint_unserved,constraint_cycles,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
76,4,6,0.06138218567328655,0.0645229774396856,0.833115076172188,0.6453649165059897,0.946818143441276,0.5973667533464361,1,0,-0.38269946998530846,-0.0001,-165.7960951754124,1944.9181897952603,2366.479220739949,4567.460920917499,431.9834684359773,0,0,1800,3,1,1,0
78,6,6,0.053128429695013066,0.05769534296926088,1.1280913094010125,0.6266800631693448,1.2495450939876491,0.705577503620271,3,0,-0.3963371250514389,-0.0001,-78.47272122518592,1409.6113144363176,2931.84183330816,1426.288512838345,2212.160350190579,0,0,2600,4,1,1,0
79,7,6,0.0833907780916265,0.07853344129947924,1.4215623467884855,0.6559721202675363,1.433959318672531,0.6359480129546616,1,1,-0.12764542473078522,-0.0001,-92.87815431141291,3683.2732089994824,890.0848075825355,2480.5168699844294,180.21696581587392,0,0,1800,3,1,1,0
84,0,7,0.07537111365818648,0.07312392399185758,0,0.720039585330322,0,0.720039585330322,1,1,-0.18182168835637236,-0.0001,-365,4474.209649251629,1408.7592413008804,0,0,0,0,1250,2,1,0,0
85,1,7,0.09561696033342965,0.09485777449408425,0.2971877906239348,0.7447218753149557,0.36205985070828045,0.6820890951100743,2,0,-0.4149990502036407,-0.0001,-293.67434997970037,2588.820917763953,2543.6022538507414,14072.351120553742,660.3042799642501,0,0,1800,3,1,1,0
86,2,7,0.06518790036391033,0.06956103051637175,0.4928823978472922,0.7956247100516869,0.5837123637126364,0.7110492371439143,2,0,-0.38038012612581795,-0.0001,-237.6029095195706,1238.472756964968,2711.4175412592544,5588.589099955111,761.179256169956,0,0,1800,3,1,1,0
88,4,7,0.07979146097115367,0.08025180943723481,0.7881304885551041,0.7504949127089192,0.8804527581442546,0.6912625576612489,1,0,-0.3617146618667596,-0.0001,-207.50108978277405,2871.8008157071195,1848.8718824096516,9158.342314697957,533.0911954290307,0,0,1800,3,1,1,0
89,5,7,0.0542483225548143,0.05770058604150112,1.0897446151356893,0.7552985281255219,1.2070951185959764,0.6798077160767079,2,0,-0.37914394378239213,-0.0001,-78.47477286148415,1644.108292931844,2543.989664110295,2570.8383224691156,679.4173084393088,0,0,1800,3,1,1,0
90,6,7,0.08533028482599,0.08138654248810262,1.157728407350451,0.7296003293895645,1.1796650953307735,0.6936215132674999,1,0,-0.1731984125650412,-0.0001,-141.0379321670682,3708.7975932627696,947.1825209449765,5253.7278794098065,323.80934509858207,0,0,1800,3,1,1,0
91,7,7,0.051458068484982536,0.05260875810507766,1.2964527402137536,0.7407068635319342,1.4254040774512349,0.6999382192175672,3,0,-0.3974263961358766,-0.0001,-61.96110226485837,2227.593534697777,2711.4175412592544,1973.1748262372573,765.2559241877811,0,0,1800,3,1,1,0
