point_id,feasible,selected,objective_annualized_capex,objective_unserved_kwh,objective_co2_kg,objective_curtailed_kwh,constraint_self_sufficiency,constraint_cycles,constraint_lp_status,mean_lcoe,pv_kwp,wind_kw,battery_kwh,battery_kw,electrolyser_kw,hydrogen_kwh,grid_kw,grid_tier,include_wind,include_battery,include_hydrogen
33,1,0,694469.1421723545,0,41637.852140727075,968231.1811778813,-0.4222084089928546,-65.9048697396014,-1,0.057360260191588505,3261.676044404941,2763.7866672000832,3275.3191190624643,397.67035968122974,0,0,1250,2,1,1,0
34,1,0,706453.2343384114,0,41637.852140727126,35465.86021395272,-0.4222084089928545,-151.40971993962663,-1,0.05558366080695602,3261.676044404941,2763.7866672000832,3275.3191190624643,397.67035968122974,0,0,2600,4,1,1,0
35,1,0,766484.9665229896,0,35965.93056446476,621906.6278622004,-0.42542970003486047,-48.022014960722515,-1,0.061378756226977305,3923.9582495268764,2566.845139661258,4161.170550412777,1348.1879646720463,0,0,1800,3,1,1,0
36,1,0,766484.9665229896,0,35965.93056446476,621906.6278622004,-0.42542970003486047,-48.022014960722515,-1,0.061378756226977305,3923.9582495268764,2566.845139661258,4161.170550412777,1348.1879646720463,0,0,1800,3,1,1,0
37,1,0,816752.8610270536,0,24702.98520816622,249040.7509878818,-0.4320887248317278,-99.06962504443726,-1,0.060557162855981485,4279.285397533587,2750.2264716315453,4112.939848404078,1305.6878128665514,0,0,2600,4,1,1,0
38,1,0,822866.102374142,0,33586.62146393336,235783.7244205499,-0.4271360574491926,-75.7930977649022,-1,0.06486736956135354,4590.037848081847,2308.939695745709,5271.696388522706,1248.3717319773855,0,0,2600,4,1,1,0
39,1,0,869192.3020198336,0,23607.73627310102,111437.80329622033,-0.4314931364037087,-147.33025432666187,-1,0.07136776768805954,4279.285397533587,2308.939695745709,7122.694337676031,1345.8731653521024,0,0,2600,4,1,1,0
40,1,0,876110.3849711465,0,10963.05160437393,356369.3140760326,-0.43985816615764695,-117.07012291862412,-1,0.06434316118850934,4590.037848081847,2786.377361977398,5271.696388522706,972.9186178056949,0,0,2600,4,1,1,0
41,1,0,877796.3093785117,0,20476.592132998103,149027.49569682655,-0.4327805217357753,-142.1488690559284,-1,0.07140630576344184,4411.129994442367,2308.939695745709,7122.694337676031,1345.8731653521024,0,0,2600,4,1,1,0
42,1,0,912980.3343210683,0,60128.25249755561,5132.321477495517,-0.41739958406192834,-252.58517474596908,-1,0.0844881220435891,3039.9971453491457,2346.5249836629887,10784.682223702905,883.276248230979,0,0,2600,4,1,1,0
43,1,0,924306.4415194112,0,21331.066737608162,113212.28489208738,-0.4323678414054354,-184.5597543825027,-1,0.07670201425718783,4279.285397533587,2346.1057151560067,8451.63366713586,1571.0702122152222,0,0,2600,4,1,1,0
44,1,0,924306.4415194112,0,21331.066737608162,113212.28489208738,-0.4323678414054354,-184.5597543825027,-1,0.07670201425718783,4279.285397533587,2346.1057151560067,8451.63366713586,1571.0702122152222,0,0,2600,4,1,1,0
45,1,0,925787.1627723995,0,49962.48701248141,6716.092899968353,-0.4223084022406286,-260.6199026406938,-1,0.08421817963685525,3039.9971453491457,2457.395490840344,10768.503949898282,875.9246422552635,0,0,2600,4,1,1,0
46,1,0,937506.3563252254,0,23543.060804614808,0,-0.4308396319498271,-283.69162052206025,-1,0.07906744869465447,3278.185589786294,2788.0434929448465,9296.036512099217,717.2287122083316,0,0,4000,5,1,1,0
47,1,0,1002236.9343452109,0,10693.348567197232,3872.3471953595204,-0.4397322951086007,-279.62240744378505,-1,0.07906791076751554,4292.386908021448,2776.0993679475955,9296.036512099217,717.2287122083316,0,0,4000,5,1,1,0
48,1,0,1002372.7756060942,0,10639.807271183865,3872.3471953595204,-0.43981393659204204,-279.52755281170676,-1,0.0790800575095382,4292.386908021448,2776.0993679475955,9296.036512099217,724.847573819913,0,0,4000,5,1,1,0
49,1,0,1026490.0789419895,0,8996.679282533249,6376.191062409826,-0.43963224843093307,-297.55922058644984,-1,0.07877813503457767,4292.386908021448,3000,9296.036512099217,547.8677806071123,0,0,4000,5,1,1,0
50,1,1,1187576.564116172,0,8057.407187425286,1212415.2941967894,-0.4424971952137079,-126.60135830440146,-1,0.09992725928538072,4600.034847647905,2746.777618860808,13885.056056403642,2418.352611425432,0,0,1250,2,1,1,0
