proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
119,010122020,5,16,toggle-core,,1.039956505908,2.715182538439,1.675226032531,26.326455423203,34.813835732172,41.500000000000,30.200000000000,1.000000000000,0.000000000000,192000,192000,104.552111681
120,000202001,3,12,toggle-core,,1.711351621334,3.310817461008,1.599465839674,24.675201524878,46.624931508944,21.166666666667,25.800000000000,1.000000000000,0.000000000000,192000,192000,40.346647851
122,020222022,6,18,repressilator+toggle-core,,0.363825742918,0.666322258070,0.302496515152,25.658907908043,26.517981058137,153.333333333333,153.933333333333,1.000000000000,0.000000000000,192000,192000,58.645060918
123,100120002,4,14,other,,1.330425390860,3.525858606606,2.195433215745,25.141035182553,51.435588451517,31.000000000000,29.266666666667,1.000000000000,0.000000000000,192000,192000,100.822305357
124,001122002,5,16,repressilator,,0.368200373907,0.576180698540,0.207980324633,25.759339275981,25.781652397533,142.000000000000,144.533333333333,1.000000000000,0.000000000000,192000,192000,61.144329412
125,000020002,2,10,other,,1.322213313042,2.536463809555,1.214250496514,25.342095120565,30.702398615000,32.833333333333,27.000000000000,1.000000000000,0.000000000000,192000,192000,26.509187504
127,110022020,5,16,toggle-core,,1.646391149771,3.103598106866,1.457206957095,27.251764276599,47.232573059345,36.000000000000,32.800000000000,1.000000000000,0.000000000000,192000,192000,80.995896884
128,110020022,5,16,toggle-core,,1.345199353298,2.750770084110,1.405570730813,25.406300021839,35.280359664372,28.500000000000,27.733333333333,1.000000000000,0.000000000000,192000,192000,89.469070953
129,000022002,3,12,repressilator,,0.366640562130,0.755487985199,0.388847423068,25.948383918392,24.208377358789,115.500000000000,101.200000000000,1.000000000000,0.000000000000,192000,192000,33.813112236
130,201001200,4,14,other,,1.511893224157,3.269269331301,1.757376107144,25.662509122054,47.765746331557,32.833333333333,32.400000000000,1.000000000000,0.000000000000,192000,192000,72.176632115
