accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
63,3-3-3-3-5-2-3-2-3-5-6-2-5-10,3-3-3-3-5-2-3-2-3-5-6-2-5-10|0000000000001,L14-I9-TJJSJ-R1-F28y,Agent,true,-705185.3573280827,705185.3573280827,1294101.6966789754,2.148967879422125,15.835815372699049,15.835815372699049,10580.46196947064,3520000,2364740,6408.567894784
64,3-3-3-3-5-2-3-2-2-5-3-6-5-10,3-3-3-3-5-2-3-2-2-5-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F27y,Agent,true,-923876.3997736413,923876.3997736413,1682626.0296740932,0.00033469145299460637,15.650011036321835,15.650011036321835,10209.05501950468,3520000,2283147,7875.031284176
65,3-3-3-3-5-3-2-5-3-2-3-6-5-10,3-3-3-3-5-3-2-5-3-2-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F23y,Agent,true,-729272.4547815827,729272.4547815827,1664543.8263867386,0.0001440972862359485,21.184058531086652,21.184058531086652,8423.469059838408,3520000,2241922,5788.206160992
66,3-3-3-3-5-3-2-3-6-2-3-6-5-10,3-3-3-3-5-3-2-3-6-2-3-6-5-10|0000000000011,L14-I9-TJSSJ-R1-F29y,Agent,true,-514848.44140109926,514848.44140109926,1647909.9582497582,0.0016654683930206052,29.47390211777222,29.47390211777222,10790.508827932055,3520000,2129360,6381.94365072
67,3-3-3-3-6-3-2-3-6-2-3-6-5-10,3-3-3-3-6-3-2-3-6-2-3-6-5-10|0000000000011,L14-I9-TSSSJ-R1-F29y,Agent,true,-314394.14419592475,314394.14419592475,1924499.6821301577,0.0006250941305803183,45.37007403966501,45.37007403966501,10633.467232305176,3520000,2190275,6883.96214856
68,3-3-3-3-5-2-3-2-3-5-2-6-6-10,3-3-3-3-5-2-3-2-3-5-2-6-6-10|0000000000000,L14-I9-TJJSS-R0-F29y,Agent,true,-273599.6329210939,273599.6329210939,834126.5687014014,4.600637070463597,26.180011601646264,28.280648672109862,10874.13792832771,3520000,2473091,6853.351718768
69,3-3-3-3-5-2-3-2-3-6-2-5-5-10,3-3-3-3-5-2-3-2-3-6-2-5-5-10|0000000000001,L14-I9-TJSJJ-R1-F29y,Agent,true,-375793.77832937817,375793.77832937817,1611157.357841104,0.001491128363385188,36.63954824525031,36.63954824525031,10884.066113834913,3520000,2357012,6051.112758048
70,3-3-3-3-5-3-2-3-6-2-3-5-6-10,3-3-3-3-5-3-2-3-6-2-3-5-6-10|0000000000000,L14-I9-TJSJS-R0-F28y,Agent,true,-250466.81646645154,250466.81646645154,865815.2010602708,0.001516903432001953,31.36056787292652,31.36056787292652,10551.890871985495,3520000,2271504,6517.446087584
71,3-3-3-3-6-3-2-3-6-2-3-5-6-10,3-3-3-3-6-3-2-3-6-2-3-5-6-10|0000000000000,L14-I9-TSSJS-R0-F23y,Agent,true,-94191.00163030668,94191.00163030668,1221544.0983853028,0.00005003355510793722,63.77648105989052,63.77648105989052,8682.77361198189,3520000,2334929,7612.971546096
72,3-3-3-3-5-2-2-2-5-2-3-6-5-10,3-3-3-3-5-2-2-2-5-2-3-6-5-10|0000000000011,L14-I9-TJJSJ-R1-F27y,Agent,true,-916182.8518588512,916182.8518588512,1636553.3800471004,0.0002147524011400344,15.174365918056683,15.174365918056683,10204.456961966,3520000,2231785,5492.157135088
73,3-3-3-3-5-2-3-2-3-5-6-5-10,3-3-3-3-5-2-3-2-3-5-6-5-10|000000000011,L13-I8-TJJSJ-R1-F29y,Agent,true,-1117267.412018236,1117267.412018236,1832175.8274149317,0.0004169067396512423,13.077865877952622,13.077865877952622,10893.523491643502,3520000,2197562,5680.488605824
74,3-3-3-3-5-3-2-3-5-2-6-3-5-10,3-3-3-3-5-3-2-3-5-2-6-3-5-10|0000000000001,L14-I9-TJJSJ-R1-F27y,Agent,true,-918662.2192952433,918662.2192952433,1387133.3193975629,0.0006024060463113633,11.054207020942266,11.054207020942266,10148.492192757969,3520000,2431725,5731.264882512
75,3-3-3-3-6-2-3-2-5-2-3-5-6-10,3-3-3-3-6-2-3-2-5-2-3-5-6-10|0000000000000,L14-I9-TSJJS-R0-F28y,Agent,true,-111499.63598123511,111499.63598123511,316418.43975869456,0.0003653704199284763,26.523416636800544,26.523416636800544,10544.241808235163,3520000,2357649,7451.1547192
