niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_throughput_per_hour_train,descriptor_mean_wip_train,descriptor_throughput_per_hour_validation,descriptor_mean_wip_validation,validation_niche_id,same_niche,visit_count,decision_buffer_capacity,decision_speed_a,decision_speed_b,decision_maintenance_threshold_a,decision_maintenance_threshold_b,decision_rework_probability,decision_dispatch_priority,decision_staff_a,decision_staff_b
90,10,4,25.392404725947145,27.305823481151517,50.625,49.19898565522499,52.59375,48.646591437052614,90,1,1112,1,0.8413814895162676,0.983653562890371,0.844583415994687,0.5642544246740759,0.26058860869089906,1,2,2
25,5,1,25.439678273395835,26.439725271509083,25.25,10.062830209206252,25.4375,10.206851445641146,25,1,610,1,0.8298292773793972,0.966770371179583,0.9149690489081942,0.312956098055388,0.3894325897006433,0.9725305056109189,3,1
88,8,4,25.53470942814663,28.41064851163965,43.6875,49.66753690360417,43.8125,50.52264399694529,108,0,789,1,0.8369359477619688,0.7689486338526013,0.8412445980172704,0.395622269551255,0.411101543762186,1,2,2
147,7,7,25.553207851683872,30.084148288184668,35.1875,71.55285382936249,35.3125,70.8520008857125,147,1,168,4,0.7,1.1664008934953374,0.5298512146001559,0.6570085817868111,0.6147976223961169,0.9880855681947978,2,1
26,6,1,25.588553317960947,26.244249192901577,30,10.045109070284369,28.59375,9.98343342914167,5,0,445,1,0.8476355111626036,1.0403553605419156,0.5589924084624617,0.9487876936166899,0.3376996176393184,0.9988598078218123,3,1
91,11,4,25.615646529991643,27.785960583721852,55.5625,49.59689749496664,58.4375,48.978754623980734,91,1,1033,2,0.8423567157201128,1.0410850357420285,0.8614650565925831,0.582537812533041,0.29029370763373596,1,2,2
112,12,5,25.871436038506122,28.36231288353139,60.4375,54.37765456188853,61.375,56.411818791256245,112,1,1450,12,0.7797723920382356,0.9278766513158347,0.8974348468364487,0.8995618173098883,0.421837751976977,1,2,3
66,6,3,25.901555322513623,28.851360286056256,31.875,33.242062371683346,31.28125,32.668527472755734,66,1,773,1,1.0155109065766552,1.153455159493284,0.95,0.44545600961391885,0.3913645826129848,1,2,1
23,3,1,26.026483323656873,27.356832477075805,19.75,10.038391172294798,19.21875,10.525377474862497,23,1,185,1,0.8284648995024367,0.7240851176866508,0.9465112342060014,0.1884213827835733,0.46904003454661736,0.9417697509285463,3,1
87,7,4,26.039716861443694,28.98275776585873,35.75,49.107284923882276,36.625,47.173803995852595,87,1,654,1,0.8938483471881614,1.4615677612029556,0.5516712775725007,0.44474497412455716,0.5022552216984326,0.9897770758345062,2,1
65,5,3,26.04664941305143,27.527130512057514,27.375,36.87865301442707,26.625,33.47305344132187,65,1,971,1,0.9949429971671664,0.8844525364164408,0.6948208488579353,0.5460227126669681,0,0.9997127827361767,2,1
64,4,3,26.122650834358673,29.668884922488946,24.125,38.50409706113125,23.5,34.971505318516144,64,1,1251,1,1.037260003733158,0.788646134897568,0.35838037116989613,0.3804003211463023,0.19338150147530814,1,2,1
27,7,1,26.16198938263095,27.599839487938635,36.9375,10.06884029413646,37.1875,10.889967661872397,27,1,563,1,0.8415134653862448,0.7,0.7451531099967474,0.15,0.27027550778155,0.9974950581549377,3,2
28,8,1,26.181588282575014,27.87295014327121,42.125,10.18178706810208,42.4375,10.831676606334893,28,1,712,1,0.8479686116731407,0.7945494190691463,0.836612116981717,0.44047736742924654,0.3482886574598609,1,3,2
29,9,1,26.18486050721549,27.121983849747693,48.875,10.179558358308334,48.53125,10.940060105328124,29,1,881,1,0.8413330599176632,0.9306960079073797,0.7321554890143428,0.5961216091557842,0.5570079675536418,0.9961321118438624,3,2
11,11,0,26.2040046581658,26.754285530889973,55.0625,6.612999874065626,53.34375,7.357947451388544,10,0,885,1,1.0006736474446916,1.1304924485771788,0.7471664398803539,0.8319158922015609,0.015239830735708842,0.9085016698994599,3,2
189,9,9,26.22216525631243,30.549013810501126,45.125,90.019981778899,46.15625,89.3418144851068,169,0,25,29,1.3886639751905436,1.0380272197693665,0.7352220413629481,0.5942897849641213,1,1,1,2
30,10,1,26.433163774456748,27.291794992122494,50,10.023710920892707,49.59375,10.470424051248962,29,0,758,1,0.8519283188927423,0.9413873926200825,0.7375593369626722,0.6687140608530091,0.7137196217240265,0.9715942344845436,3,2
46,6,2,26.460584519495924,28.510720572462915,31.1875,24.646271135327098,32.375,22.989996371739068,46,1,921,1,0.7137189037262798,1.1328481046622372,0.48455809146376344,0.5051750153240001,0.4774098180847314,1,3,1
12,12,0,26.542535053630285,27.032195357119743,60.75,7.144970358560416,60.90625,7.910111703801559,12,1,1205,1,0.994726128465275,0.8122458091135735,0.8487020541117392,0.8907181168572775,0.01756802656291638,0.9117723669168945,3,3
92,12,4,26.588611581958286,29.39679776064047,62.8125,49.39270496783332,64.9375,49.64651668822708,92,1,1415,5,0.8467945817770685,0.882556491647553,0.95,0.8729496934838927,0.3793547276406696,1,2,3
45,5,2,26.63472533582007,28.234106374347615,28.9375,24.90083351749167,29.5625,22.973555943794786,45,1,871,1,0.7132365445012498,1.085187158844422,0.49582206948959995,0.4833415640927562,0.44592718861694175,1,3,1
13,13,0,26.730150099153658,27.548974316351273,65,7.3910951931135385,65.46875,8.040885843970836,13,1,1022,1,0.9834708363581487,0.9215029826817438,0.7580137799723506,0.9201697355954034,0.31393357728059995,1,3,3
143,3,7,26.921650630732774,30.61455410470284,19.75,78.96176193642602,19.46875,82.41266729657656,163,0,68,1,1.5053227530574016,0.7161876825652914,0.9448030174928612,0.39697215123245205,0.718844706680619,1,1,1
83,3,4,26.95324635244024,30.46807183150806,19.875,47.63003383530208,20.59375,44.82576175260729,84,0,93,1,1.0220647023519538,0.7,0.15,0.15,0.04286838994892362,0.9972507017000967,2,1
44,4,2,26.980542022751298,28.02948673902209,23.5,22.541084080839585,24.25,22.064342502317704,44,1,893,1,0.7,0.8649769916982429,0.8642377616286797,0.16994586259765343,0.454050980045557,0.9843391452157365,3,1
68,8,3,27.028934946201144,27.835435836370955,43.625,37.996126338938545,44.3125,36.05496842607033,68,1,1272,1,0.9743521188671134,0.8183569041041208,0.95,0.19968899112780897,0.3289579778579279,1,2,2
69,9,3,27.145097426620136,28.73070797392381,47.625,37.8736038045677,47.8125,35.795218856410955,69,1,1417,1,0.9739415097684239,0.8698378208515852,0.95,0.417334064577025,0.24401942777647329,1,2,2
14,14,0,27.188244424659636,27.969454420052745,70.4375,7.816060929349998,70.1875,8.541283537526562,14,1,1011,2,0.9892294998758383,0.9301087040484246,0.746459266848964,0.95,0.009066651495424745,0.9945547890580484,3,3
