design,field_deg,wavelength_um,ray_id,x_mm,y_mm
reference,14,0.5876,17,0.013550084936410745,12.525285001203182
reference,14,0.5876,18,0.012967551821949197,12.53399929025151
reference,14,0.5876,19,0.009586682444579164,12.566015981601272
reference,14,0.5876,20,0,12.541023953218858
reference,14,0.5876,21,0,12.536528849751747
reference,14,0.5876,22,0,12.532387886359333
reference,14,0.5876,23,0,12.528710644897444
reference,14,0.5876,24,0,12.525777433598073
reference,14,0.5876,25,0,12.52540909312139
reference,14,0.5876,26,0,12.533228804147285
reference,14,0.5876,27,0,12.563071024152393
reference,14,0.5876,28,0,12.646594894608777
reference,14,0.5876,29,-0.012504399339146488,12.536780870702911
reference,14,0.5876,30,-0.012273142501275869,12.532365318626004
reference,14,0.5876,31,-0.01252673211493427,12.52844297512996
reference,14,0.5876,32,-0.013100612039071313,12.525414696142853
reference,14,0.5876,33,-0.013550084936410745,12.525285001203182
reference,14,0.5876,34,-0.012967551821949197,12.53399929025151
reference,14,0.5876,35,-0.009586682444579164,12.566015981601272
reference,14,0.5876,36,-0.028306533402864265,12.53749534666557
reference,14,0.5876,37,-0.02782752441843428,12.532345867635161
reference,14,0.5876,38,-0.028133464319300305,12.527794237854835
reference,14,0.5876,39,-0.028842766142247456,12.524626743806373
reference,14,0.5876,40,-0.0289553236458846,12.52543826077784
reference,14,0.5876,41,-0.026440582899962095,12.537215454261005
reference,14,0.5876,42,-0.017340232882046447,12.576444623030342
reference,14,0.5876,43,-0.04905823038286261,12.53250822647595
reference,14,0.5876,44,-0.04891157786362621,12.527302820830688
reference,14,0.5876,45,-0.04868151719143521,12.524448634428722
reference,14,0.5876,46,-0.046541988595791395,12.527673943018023
reference,14,0.5876,47,-0.038808201517281926,12.545986341450234
reference,14,0.5876,48,-0.07086680876002127,12.527144474598611
reference,14,0.6563,0,0.07257012337059177,12.526448253425762
reference,14,0.6563,1,0.0487777589465499,12.53269705843421
reference,14,0.6563,2,0.04891325986527262,12.527650666066245
reference,14,0.6563,3,0.04915088722178984,12.524536669158017
reference,14,0.6563,4,0.047719843999985745,12.526847674338866
reference,14,0.6563,5,0.04103924124918823,12.543208637677015
reference,14,0.6563,6,0.027750218389568815,12.537313570779478
reference,14,0.6563,7,0.027354366062275925,12.532710584517122
reference,14,0.6563,8,0.027836822763326108,12.528459793105606
reference,14,0.6563,9,0.028830324432497445,12.525206793645937
reference,14,0.6563,10,0.029366842219194833,12.525341740422759
reference,14,0.6563,11,0.027474869215228903,12.535520340281096
reference,14,0.6563,12,0.019303273447675018,12.57165067307432
reference,14,0.6563,13,0.012148618757404916,12.53663061082327
reference,14,0.6563,14,0.011959514166060448,12.532831819357215
reference,14,0.6563,15,0.012298111099051878,12.52928647741534
reference,14,0.6563,16,0.013006677390217769,12.526266567651849
reference,14,0.6563,17,0.013655319884268824,12.525587964251585
reference,14,0.6563,18,0.01336336125797688,12.532891796588332
reference,14,0.6563,19,0.01041287381944156,12.562108473011744
reference,14,0.6563,20,0,12.540109350720579
reference,14,0.6563,21,0,12.536389812240776
reference,14,0.6563,22,0,12.532887687289364
reference,14,0.6563,23,0,12.529611499778213
reference,14,0.6563,24,0,12.526716344749447
reference,14,0.6563,25,0,12.525839412428184
reference,14,0.6563,26,0,12.532307882162726
reference,14,0.6563,27,0,12.559443668349402
reference,14,0.6563,28,0,12.637950353130245
reference,14,0.6563,29,-0.012148618757404916,12.53663061082327
reference,14,0.6563,30,-0.011959514166060448,12.532831819357215
reference,14,0.6563,31,-0.012298111099051878,12.52928647741534
reference,14,0.6563,32,-0.013006677390217769,12.526266567651849
reference,14,0.6563,33,-0.013655319884268824,12.525587964251585
reference,14,0.6563,34,-0.01336336125797688,12.532891796588332
reference,14,0.6563,35,-0.01041287381944156,12.562108473011744
reference,14,0.6563,36,-0.027750218389568815,12.537313570779478
reference,14,0.6563,37,-0.027354366062275925,12.532710584517122
reference,14,0.6563,38,-0.027836822763326108,12.528459793105606
reference,14,0.6563,39,-0.028830324432497445,12.525206793645937
reference,14,0.6563,40,-0.029366842219194833,12.525341740422759
reference,14,0.6563,41,-0.027474869215228903,12.535520340281096
reference,14,0.6563,42,-0.019303273447675018,12.57165067307432
reference,14,0.6563,43,-0.0487777589465499,12.53269705843421
reference,14,0.6563,44,-0.04891325986527262,12.527650666066245
reference,14,0.6563,45,-0.04915088722178984,12.524536669158017
reference,14,0.6563,46,-0.047719843999985745,12.526847674338866
reference,14,0.6563,47,-0.04103924124918823,12.543208637677015
reference,14,0.6563,48,-0.07257012337059177,12.526448253425762
reference,20,0.4861,0,0.041706174046070466,18.48875914976768
reference,20,0.4861,1,0.060898039203828525,18.440998243164106
reference,20,0.4861,2,0.05546297643442344,18.44128465053368
reference,20,0.4861,3,0.04347730378172576,18.46208364790858
reference,20,0.4861,4,0.02067415220829094,18.518951217861677
reference,20,0.4861,5,-0.021055548981085526,18.640818389104584
reference,20,0.4861,6,0.041127072658573294,18.453273824478668
reference,20,0.4861,7,0.040815433536225854,18.43862245135182
reference,20,0.4861,8,0.03818682571275289,18.43436828153388
reference,20,0.4861,9,0.03211201835535116,18.447976608715226
reference,20,0.4861,10,0.02019050904470676,18.49246573003523
reference,20,0.4861,11,-0.0021278615798081546,18.5922051916071
reference,20,0.4861,12,-0.04342377966914057,18.7947351962574
reference,20,0.4861,13,0.02024216488504993,18.45392946174795
reference,20,0.4861,14,0.020155753030910883,18.43760753612017
reference,20,0.4861,15,0.01909563440337636,18.43114219521782
reference,20,0.4861,16,0.016554370349401326,18.441153422291247
reference,20,0.4861,17,0.011445448102350042,18.479328099884825
reference,20,0.4861,18,0.0017114677073264417,18.567671096252738
reference,20,0.4861,19,-0.016508499342569927,18.749100788143735
reference,20,0.4861,20,0,18.47639804859199
reference,20,0.4861,21,0,18.454143975867442
reference,20,0.4861,22,0,18.4373289434653
reference,20,0.4861,23,0,18.430204091255792
reference,20,0.4861,24,0,18.439124080797257
reference,20,0.4861,25,0,18.475360091406813
reference,20,0.4861,26,0,18.56018295288759
reference,20,0.4861,27,0,18.735085944552125
reference,20,0.4861,28,0,19.08449645283251
reference,20,0.4861,29,-0.02024216488504993,18.45392946174795
reference,20,0.4861,30,-0.020155753030910883,18.43760753612017
reference,20,0.4861,31,-0.01909563440337636,18.43114219521782
reference,20,0.4861,32,-0.016554370349401326,18.441153422291247
reference,20,0.4861,33,-0.011445448102350042,18.479328099884825
reference,20,0.4861,34,-0.0017114677073264417,18.567671096252738
reference,20,0.4861,35,0.016508499342569927,18.749100788143735
reference,20,0.4861,36,-0.041127072658573294,18.453273824478668
reference,20,0.4861,37,-0.040815433536225854,18.43862245135182
reference,20,0.4861,38,-0.03818682571275289,18.43436828153388
reference,20,0.4861,39,-0.03211201835535116,18.447976608715226
reference,20,0.4861,40,-0.02019050904470676,18.49246573003523
reference,20,0.4861,41,0.0021278615798081546,18.5922051916071
reference,20,0.4861,42,0.04342377966914057,18.7947351962574
reference,20,0.4861,43,-0.060898039203828525,18.440998243164106
reference,20,0.4861,44,-0.05546297643442344,18.44128465053368
reference,20,0.4861,45,-0.04347730378172576,18.46208364790858
reference,20,0.4861,46,-0.02067415220829094,18.518951217861677
reference,20,0.4861,47,0.021055548981085526,18.640818389104584
reference,20,0.4861,48,-0.041706174046070466,18.48875914976768
reference,20,0.5876,0,0.05991038606437726,18.473323173815277
reference,20,0.5876,1,0.06848411719207093,18.436459390282423
reference,20,0.5876,2,0.0645097550979834,18.434197037596718
reference,20,0.5876,3,0.05456930785716052,18.45025033344386
reference,20,0.5876,4,0.034663798989731376,18.499263229302176
reference,20,0.5876,5,-0.0028548727219877,18.608490145314608
reference,20,0.5876,6,0.044701038641752344,18.450399513851796
reference,20,0.5876,7,0.045042050839713355,18.435256051245798
reference,20,0.5876,8,0.04330909381081538,18.428903192781533
reference,20,0.5876,9,0.03846992483160605,18.438402271178497
reference,20,0.5876,10,0.028278718639145772,18.475982706442487
reference,20,0.5876,11,0.00844646498696644,18.56457272150408
reference,20,0.5876,12,-0.029136049713821777,18.749006156841194
reference,20,0.5876,13,0.021815629667666814,18.451540353656558
reference,20,0.5876,14,0.02204401177356874,18.434903557079647
reference,20,0.5876,15,0.021410455528326322,18.426581840583253
reference,20,0.5876,16,0.019452799377272845,18.43282678747011
reference,20,0.5876,17,0.01515570726257165,18.46460011001227
reference,20,0.5876,18,0.006580645693870846,18.542585981696384
reference,20,0.5876,19,-0.009921070497520112,18.707243967691273
reference,20,0.5876,20,0,18.47300769983574
reference,20,0.5876,21,0,18.45191349293214
reference,20,0.5876,22,0,18.434839334355008
reference,20,0.5876,23,0,18.425934725783183
