point_id,feasible,selected,objective_mean_huber_error,objective_p95_detection_error,objective_total_emission_g_s,decision_source_1_x_m,decision_source_1_y_m,decision_source_1_log10_emission_g_s,decision_source_1_height_m,decision_source_2_x_m,decision_source_2_y_m,decision_source_2_log10_emission_g_s,decision_source_2_height_m,decision_wind_direction_bias_deg,decision_wind_speed_scale,decision_lateral_dispersion_scale,decision_vertical_dispersion_scale
153,1,0,0.042099889417259506,0.9964031762320342,0.4337452691418636,-815.7361187774129,408.3707501058432,-0.512485303513065,20.000150173490724,972.4481168440245,-506.47552588264557,-0.8979811134700788,24.099010541732376,2.7869612710788285,0.8000136820878876,1.1936953281460454,0.7000088449790307
154,1,0,0.04582039174419896,0.9866483728412523,0.4065057060361829,-817.9484032608532,408.3707501058432,-0.5135871708637543,20.000748018401865,972.7107628778638,-506.5672151701165,-0.9999211308745621,21.392045409270157,2.3171641653268846,0.8000035011285744,1.2082695541187474,0.700001221409027
155,1,0,0.04450589989887396,1.018063402818019,0.41207460114068517,-813.6515200160786,400.86230111064197,-0.5359727581425702,20.02932379642263,973.377178161262,-506.244101302472,-0.9172697965008336,24.919296417642997,2.5000628253509447,0.8000023280060374,1.263494928505699,0.7000067595426995
156,1,0,0.046516857565602567,1.0232658485569424,0.4030838118651021,-824.1675774287223,400.88351793152776,-0.5291272521752441,20.001845678235462,959.9003720512303,-501.9713506152566,-0.969120181938042,24.71893336494385,2.5104275454366345,0.8000266217652716,1.157755886848272,0.7000067309534492
157,1,0,0.045106625985185556,1.0298411285339117,0.4066917628811579,-815.5132422315273,401.4534898373522,-0.5219791102692605,20.0007035561599,962.7278947999864,-503.50360013431396,-0.9744087703162729,24.360581721368533,2.9069374407345347,0.8000090447931072,1.2269022398345912,0.7000471764882323
158,1,0,0.04623233892290518,1.0462343403034495,0.3944981922683437,-815.4608265622988,403.03567287960857,-0.5542323378242691,20.000481439670274,962.5800078980465,-503.2815968464951,-0.9378199220710386,25.00843360654658,2.387896330591127,0.8000085279028324,1.226369914029087,0.7000181527248164
159,1,0,0.0459889134703522,1.054803325541072,0.39827613848599563,-816.7446565912257,403.03567287960857,-0.550329899583976,20.000481439670274,962.9806887251445,-515.5532679436893,-0.9331083521609056,25.04084969070578,2.500277466021833,0.8000060367738908,1.2265100100975856,0.7000091618430839
160,1,0,0.04982731892320817,1.060742212438245,0.3685769976657413,-815.5308362556947,400.575659088002,-0.5721426867413921,20.005188818282733,963.2853889834173,-503.64967749841037,-0.9967628148796551,23.27360389669641,2.1298659312368233,0.8000188447942063,1.2262375377830792,0.7000136632584262
161,1,0,0.04846934151219974,1.066110303123729,0.37808334246300357,-809.4904259624851,408.3707501058432,-0.5622008410732087,20.0029527622238,972.7107628778638,-509.3352390094461,-0.9827467251155781,22.66293053174087,2.455404118125104,0.8000054438476705,1.216177458492456,0.7000082698249019
162,1,0,0.05018507607947487,1.066568219048015,0.36755333078425223,-816.0914712494907,400.575659088002,-0.5737188495921626,20.005188818282736,963.5268207395176,-510.76991727883643,-0.9969931147370721,23.26140081942725,2.1298659312368233,0.8000108875145507,1.2152729598549272,0.7000136632584262
