evaluations,elapsed_seconds,best_quality
58112,0.260940582,-0.0761642352781605
58368,0.262022821,-0.07616423527816041
58624,0.26313295,-0.07044794329470817
58880,0.26427645,-0.07044794329470817
59136,0.26537687,-0.07044794329470817
59392,0.266474579,-0.07044794329470817
59648,0.267509858,-0.07044794329470817
59904,0.268552897,-0.07044794329470817
60160,0.269592256,-0.07044794329470817
60416,0.270750386,-0.07044794329470817
60672,0.271843425,-0.07044794329470817
60928,0.272865174,-0.07044794329470817
61184,0.273850662,-0.07044794329470817
61440,0.274816851,-0.07044794329470817
61696,0.275796849,-0.07044794329470817
61952,0.276782478,-0.07044794329470817
62208,0.277760256,-0.07044794329470817
62464,0.278724164,-0.07044794329470817
62720,0.279722373,-0.07044794329470817
62976,0.280773942,-0.07044794329470817
63232,0.281799601,-0.07044794329470817
63488,0.282769209,-0.07044794329470817
63744,0.283742867,-0.07044794329470817
64000,0.284728176,-0.07044794329470817
64256,0.285748385,-0.07044794329470817
64512,0.286835304,-0.07044794329470817
64768,0.287859583,-0.07044794329470817
65024,0.288895532,-0.07044794329470817
65280,0.289920951,-0.07044794329470817
65536,0.290951239,-0.07044794329470817
65792,0.291909238,-0.07044794329470817
66048,0.292854496,-0.07044794329470817
66304,0.293823774,-0.07044794329470817
66560,0.294825113,-0.07044794329470817
66816,0.295820651,-0.07044794329470817
67072,0.29681061,-0.07044794329470817
67328,0.297792438,-0.07044794329470817
67584,0.298755926,-0.07044794329470817
67840,0.299713625,-0.07044794329470817
68096,0.300679343,-0.07044794329470817
68352,0.301627771,-0.07044794329470817
68608,0.30261933,-0.07044794329470817
68864,0.303740589,-0.07044794329470817
69120,0.304757968,-0.06986071945629328
69376,0.305760477,-0.06986071945629328
69632,0.306769425,-0.06986071945629328
69888,0.307792654,-0.06986071945629328
70144,0.308791493,-0.06986071945629328
70400,0.309803261,-0.06986071945629328
70656,0.3108111,-0.06986071945629328
70912,0.311822519,-0.06986071945629328
71168,0.312810907,-0.06986071945629328
71424,0.313797776,-0.06986071945629328
71680,0.314778404,-0.06986071945629328
71936,0.315762562,-0.06986071945629328
72192,0.316755021,-0.06986071945629328
72448,0.31777943,-0.06986071945629328
72704,0.318769148,-0.06986071945629328
72960,0.319832127,-0.06986071945629328
73216,0.320855476,-0.06986071945629328
73472,0.322003346,-0.06986071945629328
73728,0.322962434,-0.06986071945629328
73984,0.323973773,-0.06986071945629328
74240,0.324933911,-0.06986071945629328
74496,0.32590507,-0.06986071945629328
74752,0.326867288,-0.06986071945629328
75008,0.327829996,-0.06986071945629328
75264,0.328786204,-0.06986071945629328
75520,0.329784293,-0.06986071945629328
75776,0.330777491,-0.06986071945629328
76032,0.33173045,-0.06986071945629328
76288,0.332704548,-0.06986071945629328
76544,0.333692526,-0.06986071945629328
76800,0.334697785,-0.06986071945629328
77056,0.335642863,-0.06986071945629328
77312,0.336678112,-0.06986071945629328
77568,0.337742831,-0.06986071945629328
77824,0.33873057,-0.06986071945629328
78080,0.339718688,-0.06986071945629328
78336,0.340721197,-0.06986071945629328
78592,0.341706995,-0.06986071945629328
78848,0.342667793,-0.06986071945629328
79104,0.343671632,-0.06986071945629328
79360,0.34463704,-0.06986071945629328
79616,0.345632149,-0.06986071945629328
79872,0.346683838,-0.06986071945629328
80128,0.347666426,-0.06986071945629328
80384,0.348644545,-0.06986071945629328
80640,0.349627303,-0.06986071945629328
80896,0.350613422,-0.06986071945629328
81152,0.35159728,-0.06986071945629328
81408,0.352663329,-0.06986071945629328
81664,0.353656008,-0.06986071945629328
