experiment,scenario_mode,algorithm,seed,workers,popsize,evaluations,optimizer_rollouts,train_scenarios,validation_scenarios,horizon,train_best,validation_score,mean_loss,cvar_loss,success_rate,mean_steps,rms_force,wall_seconds
noise,rotating,cmaes,43,24,64,20480,81920,4,128,300,0.943155814800,1.302063174995,0.871439601081,1.230353068325,0.062500000000,298.179688,8.216247674705,0.457593689
noise,rotating,biteopt,43,24,64,20480,81920,4,128,300,0.846891264126,1.316838866666,0.940695146938,1.074696342078,0.000000000000,300.000000,8.629375753601,0.156253840
noise,rotating,pgpe,44,24,64,20480,81920,4,128,300,0.746726168986,1.186745186930,0.839494095980,0.992145974143,0.007812500000,300.000000,9.251382988717,0.156787597
noise,rotating,crfmnes,44,24,64,20480,81920,4,128,300,0.164247185572,2.565118785369,1.438748195961,3.218201684023,0.562500000000,216.554688,6.303443395756,0.176391339
noise,rotating,cmaes,44,24,64,20480,81920,4,128,300,0.937529539375,1.268846385623,0.866033349304,1.150894389482,0.093750000000,298.515625,7.528732142849,0.462579621
noise,rotating,biteopt,44,24,64,20480,81920,4,128,300,0.240441216243,0.950360632714,0.600410806059,0.999856647584,0.343750000000,300.000000,7.430262800808,0.162127606
noise,rotating,pgpe,45,24,64,20480,81920,4,128,300,0.152033357750,0.239002163256,0.151256550311,0.250701751272,0.968750000000,300.000000,5.593307989622,0.155877477
noise,rotating,crfmnes,45,24,64,20480,81920,4,128,300,0.671273523990,1.096278797016,0.759971899860,0.960876849016,0.031250000000,300.000000,8.158202106073,0.191424302
noise,rotating,cmaes,45,24,64,20480,81920,4,128,300,1.148145917062,1.371278799650,0.986467796239,1.099460009745,0.000000000000,300.000000,8.127703833819,0.458136014
noise,rotating,biteopt,45,24,64,20480,81920,4,128,300,0.612955671412,1.297811593676,0.895881249222,1.148372412726,0.062500000000,300.000000,6.404239904881,0.156047001
noise,rotating,pgpe,46,24,64,20480,81920,4,128,300,0.169243469296,0.769933357519,0.351865618438,1.194479254517,0.828125000000,291.609375,6.419121610306,0.155893919
noise,rotating,crfmnes,46,24,64,20480,81920,4,128,300,0.149396222048,0.848836694496,0.371317416783,1.364340793465,0.890625000000,285.046875,5.443315107978,0.177414891
noise,rotating,cmaes,46,24,64,20480,81920,4,128,300,1.108904928969,1.221014966997,0.864663567098,1.018146856856,0.023437500000,300.000000,8.853250928948,0.461649343
noise,rotating,biteopt,46,24,64,20480,81920,4,128,300,0.978015290262,1.365117255387,0.964218431476,1.145425211176,0.031250000000,300.000000,5.810190999782,0.142487884
scaling,fixed,pgpe,42,1,64,20480,81920,4,128,300,0.165573889031,0.326881887981,0.180510704967,0.418203380039,0.960937500000,297.039062,5.460668604175,2.051019666
scaling,fixed,crfmnes,42,1,64,20480,81920,4,128,300,0.300256368976,0.965527497365,0.535577233015,1.228429326713,0.484375000000,294.320312,7.568455893447,2.021415449
scaling,fixed,cmaes,42,1,64,20480,81920,4,128,300,0.862926014260,1.352373287171,0.958666645139,1.124876120092,0.007812500000,300.000000,6.179568645308,1.319670955
scaling,fixed,biteopt,42,1,64,20480,81920,4,128,300,0.994628963669,2.076462863537,1.298098140690,2.223899208134,0.000000000000,278.148438,7.173659029480,1.842633332
