experiment,scenario_mode,algorithm,seed,workers,evaluations,train_best,monitor_score
noise,rotating,pgpe,42,24,16448,0.173596322469,0.337859425554
noise,rotating,pgpe,42,24,18496,0.173596322469,0.337859425554
noise,rotating,pgpe,42,24,20480,0.173596322469,0.337859425554
noise,rotating,crfmnes,42,24,64,1.949938714350,1.947435413115
noise,rotating,crfmnes,42,24,2112,1.269733438496,1.431772639240
noise,rotating,crfmnes,42,24,4160,0.992302419552,1.308388259554
noise,rotating,crfmnes,42,24,6208,0.845881342074,1.289364500209
noise,rotating,crfmnes,42,24,8256,0.809321879669,1.205538050855
noise,rotating,crfmnes,42,24,10304,0.809321879669,1.205538050855
noise,rotating,crfmnes,42,24,12352,0.809321879669,1.205538050855
noise,rotating,crfmnes,42,24,14400,0.786027106322,1.167760532604
noise,rotating,crfmnes,42,24,16448,0.759756385549,1.098685815860
noise,rotating,crfmnes,42,24,18496,0.759756385549,1.098685815860
noise,rotating,crfmnes,42,24,20480,0.739730510713,1.236747788913
noise,rotating,cmaes,42,24,64,1.547649873889,2.442203811675
noise,rotating,cmaes,42,24,2112,1.235971310591,1.394640743620
noise,rotating,cmaes,42,24,4160,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,6208,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,8256,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,10304,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,12352,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,14400,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,16448,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,18496,1.101463098740,1.279445882478
noise,rotating,cmaes,42,24,20480,1.101463098740,1.279445882478
noise,rotating,biteopt,42,24,64,1.668670334809,1.680085805471
noise,rotating,biteopt,42,24,2112,1.158251156108,1.344748159309
noise,rotating,biteopt,42,24,4160,1.114634451093,1.349394152347
noise,rotating,biteopt,42,24,6208,1.114634451093,1.349394152347
noise,rotating,biteopt,42,24,8256,1.099837893431,1.290389023881
noise,rotating,biteopt,42,24,10304,1.042952910762,1.286728471271
noise,rotating,biteopt,42,24,12352,1.027941754273,1.313527046200
noise,rotating,biteopt,42,24,14400,1.004840446262,1.516540742203
noise,rotating,biteopt,42,24,16448,0.873670591585,1.321445708580
noise,rotating,biteopt,42,24,18496,0.873670591585,1.321445708580
noise,rotating,biteopt,42,24,20480,0.873670591585,1.321445708580
noise,rotating,pgpe,43,24,64,1.966594610549,1.967099341218
noise,rotating,pgpe,43,24,2112,1.102795154333,1.298941809875
noise,rotating,pgpe,43,24,4160,0.785501986882,1.108652483016
noise,rotating,pgpe,43,24,6208,0.432286978824,0.987453126427
noise,rotating,pgpe,43,24,8256,0.335379763594,0.873447437489
noise,rotating,pgpe,43,24,10304,0.235421355019,0.742243325215
noise,rotating,pgpe,43,24,12352,0.167871008813,0.507970676178
noise,rotating,pgpe,43,24,14400,0.166212764251,0.655751763022
noise,rotating,pgpe,43,24,16448,0.166212764251,0.655751763022
noise,rotating,pgpe,43,24,18496,0.166212764251,0.655751763022
noise,rotating,pgpe,43,24,20480,0.166212764251,0.655751763022
noise,rotating,crfmnes,43,24,64,1.969049728546,1.969671586936
noise,rotating,crfmnes,43,24,2112,1.200132883826,1.354004485073
noise,rotating,crfmnes,43,24,4160,0.995551782913,1.870636569792
noise,rotating,crfmnes,43,24,6208,0.879904232809,1.178177393912
noise,rotating,crfmnes,43,24,8256,0.858750764356,1.173539881650
noise,rotating,crfmnes,43,24,10304,0.811819916954,1.186162342609
noise,rotating,crfmnes,43,24,12352,0.753362489844,1.107826984076
noise,rotating,crfmnes,43,24,14400,0.608121406044,1.078119547273
noise,rotating,crfmnes,43,24,16448,0.453682939150,0.868059098807
noise,rotating,crfmnes,43,24,18496,0.303025125379,0.631659263138
noise,rotating,crfmnes,43,24,20480,0.293852984615,0.727508223158
noise,rotating,cmaes,43,24,64,1.897303073033,1.902495370022
noise,rotating,cmaes,43,24,2112,1.238304596024,1.342507172839
noise,rotating,cmaes,43,24,4160,1.046094651062,1.476578808993
