proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
53,200100202,4,14,toggle-core,,1.426126534598,2.973936654680,1.547810120082,25.427350672308,43.015442611556,30.666666666667,32.000000000000,1.000000000000,0.000000000000,192000,192000,49.220796891
54,200002100,3,12,other,,1.656727960231,3.326902998506,1.670175038274,29.763952735882,50.019324874697,44.833333333333,49.066666666667,1.000000000000,0.000000000000,192000,192000,42.731318962
55,202202010,5,16,toggle-core,,1.686490181948,3.091759850679,1.405269668731,24.364575951215,43.508686280384,18.500000000000,18.400000000000,1.000000000000,0.000000000000,192000,192000,54.751486502
56,022021000,4,14,other,,1.672587083959,3.098752358574,1.426165274615,22.134419675378,33.694068895390,36.666666666667,50.666666666667,1.000000000000,0.000000000000,192000,192000,45.872321178
57,000010221,4,14,other,,1.026948874260,2.349354110913,1.322405236654,24.061064328836,29.002358404261,20.166666666667,17.666666666667,1.000000000000,0.000000000000,192000,192000,51.521663016
58,210100100,4,14,other,,1.499095436992,3.148339247004,1.649243810012,24.556273870614,41.149267098494,17.500000000000,19.066666666667,1.000000000000,0.000000000000,192000,192000,95.967050530
59,000210000,2,10,other,,1.452416899368,2.924062394112,1.471645494744,24.235041065678,35.503707068296,24.833333333333,26.666666666667,1.000000000000,0.000000000000,192000,192000,32.187208969
60,020202110,5,16,goodwin-like+toggle-core,,0.524900530020,0.968819364427,0.443918834407,25.500510449156,26.387171107278,50.166666666667,52.933333333333,1.000000000000,0.000000000000,192000,192000,68.818538333
61,002100012,4,14,other,,1.612960773233,3.019177603760,1.406216830527,42.323482825665,39.784457169495,42.333333333333,35.066666666667,1.000000000000,0.000000000000,192000,192000,92.725574317
62,000020200,2,10,other,,1.580113010318,3.327660733971,1.747547723653,24.010657646898,39.377737149977,20.333333333333,18.200000000000,1.000000000000,0.000000000000,192000,192000,24.869450008
63,100110100,4,14,other,,1.498250030504,3.156788499650,1.658538469146,24.152006731523,43.913568068085,42.500000000000,46.600000000000,1.000000000000,0.000000000000,192000,192000,103.213881253
64,000001200,2,10,other,,1.556321437269,3.330164594817,1.773843157548,26.267282393083,46.328262621020,18.833333333333,15.933333333333,1.000000000000,0.000000000000,192000,192000,36.491044283
65,010020000,2,10,other,,1.603532143740,3.254017871252,1.650485727512,27.836071652495,43.852100097794,27.000000000000,23.666666666667,1.000000000000,0.000000000000,192000,192000,35.223878407
66,220112200,6,18,other,,1.107409843656,2.356465773320,1.249055929664,23.881272016972,28.410194165350,36.333333333333,33.066666666667,1.000000000000,0.000000000000,192000,192000,66.574370587
67,222021100,6,18,other,,1.499003174969,2.938891679790,1.439888504821,25.208489880192,38.852939964678,29.500000000000,30.133333333333,1.000000000000,0.000000000000,192000,192000,71.482255200
68,000000120,2,10,other,,1.605884140033,3.102532367067,1.496648227035,24.100589058723,46.915804766459,34.833333333333,38.333333333333,1.000000000000,0.000000000000,192000,192000,31.698754228
69,000012200,3,12,other,,1.603792671885,3.219657328238,1.615864656352,23.592187340821,48.584972171462,23.333333333333,28.400000000000,1.000000000000,0.000000000000,192000,192000,47.150814495
70,201012021,6,18,goodwin-like,,0.493409876406,1.219611221939,0.726201345534,25.862664385298,25.985078646118,62.500000000000,59.000000000000,1.000000000000,0.000000000000,192000,192000,112.011958321
71,100010002,3,12,other,,1.262874788129,2.469908730745,1.207033942616,22.756001976931,24.065375903996,33.666666666667,25.200000000000,1.000000000000,0.000000000000,192000,192000,50.789388301
72,001110222,6,18,mixed-cycle+toggle-core,,0.897964221597,1.648849204413,0.750884982815,24.516120717635,28.433212039844,52.500000000000,58.133333333333,1.000000000000,0.000000000000,192000,192000,112.629966796
