seed,sample,peak_deg,hpbw_deg,holdout_peak_deg,holdout_hpbw_deg,taper_efficiency,holdout_taper_efficiency,active_count,worst_psll_db,holdout_worst_psll_db
42,148,28.917542874771982,8.169164842844918,29.082529721913776,8.189091940667527,0.9488433697576811,0.9488433697576811,16,-10.408651017448038,-10.336147171270817
42,151,39.661541436287976,9.026323705073032,39.824378082156784,9.055730168643272,0.9682726015097901,0.9682726015097903,16,-10.308246002434487,-10.308287715716101
42,161,-31.043063788527814,9.255298871401557,-30.86502742652913,9.22549172983355,0.8631297103135647,0.8631297103135647,16,-11.715125765741664,-11.76040239813862
42,164,-21.291279347708507,7.867149553226916,-21.150337120450583,7.865216884778999,0.9292270127792981,0.9292270127792982,16,-11.135999448829361,-11.135944466187027
42,166,-14.255075593815489,9.042028948879022,-14.06138303501884,9.027851704586435,0.7791325416267709,0.7791325416267706,16,-10.505697437980867,-11.022551992131625
42,169,-4.446163851199518,7.978446102411011,-4.269840069548865,7.971368432434195,0.8614939219578988,0.8614939219578991,16,-11.444240558061303,-11.444240558061303
42,172,6.818151069777982,7.435003598981353,6.963765894649156,7.454388274004943,0.9221386469951873,0.9221386469951875,16,-10.115458856761325,-10.115483130552718
42,179,30.07395906553056,10.276361084604755,30.324912054127925,10.307323013799483,0.767507040835067,0.7675070408350669,16,-10.616705683849059,-10.900906904407588
42,188,-41.997090155489786,9.885922401319213,-41.80956892024736,9.871623269778034,0.927170771056009,0.927170771056009,16,-10.764891578957156,-10.621893939993026
42,191,-33.93764903552874,8.527086250447816,-33.770271435838374,8.495634710894684,0.9569403186299584,0.9569403186299584,16,-10.14157453347626,-10.141616885588054
42,193,-26.19383813767504,8.665147070730011,-26.031634544640024,8.657975004239749,0.8791129228877653,0.8791129228877653,16,-11.61325015342403,-11.613274291742066
42,196,-17.034921882039065,7.4790981491158774,-16.899858117014617,7.484995225546626,0.9485986256916832,0.9485986256916832,16,-10.283264943880523,-10.283290271474712
42,199,-5.965814868111331,7.111147479744402,-5.839906278534337,7.103952359142108,0.9548631812213895,0.9548631812213896,16,-10.58654381660842,-10.586488759962824
42,206,16.186309808276786,8.666526169602847,16.37682949512667,8.657877316819237,0.821803645452769,0.8218036454527692,16,-11.09985977763914,-11.479357322185578
42,207,21.05382616429771,7.507279633061966,21.168795304966864,7.502431852953876,0.9599082596458469,0.9599082596458469,16,-10.452117880847439,-10.452157228838402
42,209,25.422844512716374,8.634479334524102,25.59348889405321,8.637302683352917,0.8760376589428743,0.8760376589428741,16,-11.137865435428147,-11.108637944202693
42,227,-15.559068915077804,9.364585500601205,-15.340622426640392,9.340450641937219,0.7500976415344887,0.7500976415344887,16,-10.170721387236501,-11.034856458177824
42,228,-14.638538280521848,7.370049766183573,-14.487223705225245,7.368745965315583,0.9508640770549969,0.9508640770549966,16,-10.24646242109899,-10.246516324594047
42,233,4.449238201011024,7.560628804386667,4.589788687008131,7.562682822765239,0.9053386053856078,0.9053386053856078,16,-11.11236623562423,-11.11236623562423
42,236,14.089712026107144,7.393270884245142,14.245580938925057,7.395091986175036,0.9451864908938705,0.9451864908938705,16,-10.492982300029684,-10.46222786616311
42,238,18.927438475714556,9.401523588346905,19.149790488060702,9.41306911624753,0.7675033332520225,0.7675033332520225,16,-10.250858665971283,-11.349011229400299
42,241,30.04649245407174,8.716485815803672,30.215773858135435,8.746420758634926,0.9059412406808406,0.9059412406808406,16,-11.080276826998865,-11.080197363524551
42,244,39.91304340503075,9.57568449725926,40.118845538217776,9.630739448727802,0.9321943300026055,0.9321943300026053,16,-10.374091753572177,-10.374122595630112
42,247,49.90916697352493,11.125606285327457,50.10474566476599,11.19686677781214,0.9513636754529853,0.9513636754529853,16,-10.361160102460554,-10.172147188695064
42,249,-46.90984076816209,11.021896910196261,-46.700888647940836,10.994253645642075,0.9132150958810961,0.913215095881096,16,-10.69057437462565,-10.690599790469388
42,254,-28.65604858633999,10.032055648080295,-28.430228328074577,10.014605727079758,0.7744139234265817,0.7744139234265817,16,-10.957224683422178,-11.919079340866027
42,257,-20.52948239223648,8.435684431692184,-20.355443582332516,8.429696011177281,0.8667408500303778,0.8667408500303779,16,-11.560743372202605,-11.500455076549464
42,259,-14.24835084104886,9.359361097107945,-14.04083741772364,9.332678609913689,0.7449003803291817,0.7449003803291818,16,-10.308779709385291,-10.308793876810896
42,262,-3.0562723822856195,8.317503962251044,-2.872814674331612,8.309058856488399,0.8222824042506037,0.8222824042506037,16,-11.387658357394312,-11.803863958621745
42,267,13.898457581825431,9.755414169988637,14.164894905059448,9.777596238205088,0.7172175258002039,0.717217525800204,15,-10.390393100391632,-11.131804653317634
42,284,-34.20723687119979,8.647201217432578,-34.040629281217264,8.634716624484572,0.9492661065813192,0.9492661065813188,16,-10.161692699463627,-10.161720188554373
42,286,-28.293943074134503,9.874689809475932,-28.057231662774033,9.870706941662426,0.7867806291549061,0.7867806291549061,16,-11.156114579559365,-11.156106867818798
42,289,-15.354210670614412,8.189141873114675,-15.184273217591402,8.152064644248348,0.8658865640495231,0.8658865640495229,16,-10.607031577063369,-10.606992293594244
42,291,-8.344726905062748,9.141644029137538,-8.130018883777172,9.148080881606774,0.7477174885101614,0.7477174885101614,16,-10.065494742326223,-10.759091577115218
42,292,-7.653530188531728,7.209186556512782,-7.508353766527136,7.202955553403877,0.9494277809184273,0.9494277809184271,16,-10.005640756582196,-10.005613552202695
42,302,26.587192254609125,9.2793250554571,26.778072100553356,9.27516589142176,0.8241244961996308,0.8241244961996307,16,-10.622045929672982,-11.786432207539377
42,308,47.62056254055692,10.727603325095941,47.80879178002776,10.757828904277979,0.9441545625063091,0.9441545625063091,16,-10.199038777973078,-10.199043179038478
