accepted_index,structure_key,variant_key,niche,strategy,evaluation_found,objective_mga,mga_score,fixed_mass_score,launch_v_infinity_km_s,flyby_delta_v_km_s,charged_delta_v_km_s,flight_days,requested_evaluations,actual_evaluations,worker_seconds
54,3-2-3-2-5-3-3-5-10,3-2-3-2-5-3-3-5-10|00000001,L9-I6-TJJ-R1-F24y,Agent,true,-1179625.9774021665,1179625.9774021665,1710518.1062044716,2.96129383161223,9.600550246735299,10.06184407834753,8885.193447282594,3520000,1820312,2153.080274752
55,3-2-3-3-2-5-10,3-2-3-3-2-5-10|000001,L7-I5-TJ-R1-F17y,Agent,true,-1097069.180452584,1097069.180452584,1772338.3666654308,4.050610064784187,11.160467472504804,12.71107753728899,6480.119832631119,3520000,1781730,1536.911008512
56,3-2-3-2-3-5-10,3-2-3-2-3-5-10|000001,L7-I5-TJ-R1-F16y,Agent,true,-1263420.5661409702,1263420.5661409702,1765161.2424883633,4.04420249333406,7.6061226169484595,9.15032511028252,6206.8316613107045,3520000,1703928,1348.076399104
57,3-3-3-2-3-5-5-10,3-3-3-2-3-5-5-10|0000001,L8-I5-TJJ-R1-F29y,Agent,true,-892628.4580859307,892628.4580859307,1777233.5024399438,2.8805808079811497,17.454109612175074,17.834690420156225,10706.8914286755,3520000,1933027,2292.31424088
58,3-2-3-2-3-6-10,3-2-3-2-3-6-10|000000,L7-I5-TS-R0-F14y,Agent,true,-825435.2280214276,825435.2280214276,914655.5432646975,4.295830512378987,1.6719694399609564,3.467799952339943,5418.113844182133,3520000,1856682,2031.28689096
59,3-2-3-5-5-10,3-2-3-5-5-10|00001,L6-I3-TJJ-R1-F24y,Agent,true,-967268.3326026818,967268.3326026818,1753031.703789443,4.157956911386251,13.871759744225272,15.529716655611523,8907.981281474675,3520000,1774430,1615.574869728
60,3-2-6-3-2-3-5-10,3-2-6-3-2-3-5-10|0000001,L8-I5-TSJ-R1-F23y,Agent,true,-975286.8581371217,975286.8581371217,1771027.7657031552,4.274919478099864,13.80279217199389,15.577711650093754,8727.588150668653,3520000,1872073,2992.051435472
61,3-3-3-2-2-6-5-10,3-3-3-2-2-6-5-10|0000011,L8-I5-TSJ-R1-F19y,Agent,true,-1297434.949543489,1297434.949543489,1676987.2905529484,4.897967740645354,4.844729580058387,7.2426973207037415,7224.488411750435,3520000,2165347,4206.428504128
62,3-2-3-2-3-3-6-10,3-2-3-2-3-3-6-10|0000000,L8-I6-TS-R0-F17y,Agent,true,-856737.2722821366,856737.2722821366,935127.4185539284,2.9668121667794303,2.631148346149455,3.097960512928885,6456.474161541228,3520000,1866912,2337.96363
63,3-3-3-2-6-5-10,3-3-3-2-6-5-10|000011,L7-I4-TSJ-R1-F17y,Agent,true,-1201769.7858205724,1201769.7858205724,1713516.9743533896,2.500000462703967,9.648831302404481,9.648831765108449,6538.362243575573,3520000,2072361,3330.44891712
64,3-3-2-2-2-3-3-5-10,3-3-2-2-2-3-3-5-10|00000001,L9-I7-TJ-R1-F18y,Agent,true,-1251616.408451986,1251616.408451986,1747838.23338801,2.500003062703311,9.138667394285424,9.138670456988734,6832.723088636516,3520000,2005584,2044.578743712
65,3-3-6-6-10,3-3-6-6-10|0000,L5-I2-TSS-R0-F17y,Agent,true,-352340.32245984074,352340.32245984074,936120.1863161324,3.1137470971284475,24.294076682216307,24.907823779344753,6449.899801083823,3520000,1594824,2439.03594824
66,3-2-3-2-2-2-3-5-10,3-2-3-2-2-2-3-5-10|00000001,L9-I7-TJ-R1-F19y,Agent,true,-1240746.4685261706,1240746.4685261706,1765052.1120677532,3.3964629065391163,8.696332416498883,9.592795323038,7248.794231856312,3520000,1992430,1911.078202096
67,3-3-3-2-2-5-5-10,3-3-3-2-2-5-5-10|0000001,L8-I5-TJJ-R1-F27y,Agent,true,-920012.497280662,920012.497280662,1769365.1166289558,5.109797525458026,14.375294455796752,16.985091981254776,10166.454675096227,3520000,2168107,2640.402406448
68,3-3-2-3-2-6-5-10,3-3-2-3-2-6-5-10|0000011,L8-I5-TSJ-R1-F24y,Agent,true,-1431211.5045940625,1431211.5045940625,1916472.0497872839,3.141292693113021,7.468190531640801,8.109483224753822,9040.200663771682,3520000,1995964,3821.833867168
69,3-2-3-3-2-3-5-10,3-2-3-3-2-3-5-10|0000001,L8-I6-TJ-R1-F15y,Agent,true,-1181858.5836532235,1181858.5836532235,1770312.1004367485,2.9472448054336065,10.41062216470484,10.857866970138446,5805.469653286538,3520000,1770968,1609.24143616
70,3-3-3-2-2-3-6-5-10,3-3-3-2-2-3-6-5-10|00000011,L9-I6-TSJ-R1-F16y,Agent,true,-1410727.5365933708,1410727.5365933708,1742963.4709441385,3.1310709672348316,5.505229054953226,6.136300022188058,5952.26808158636,3520000,2085175,3968.774901568
71,3-6-2-5-10,3-6-2-5-10|0001,L5-I2-TSJ-R1-F19y,Agent,true,-1005734.8683178391,1005734.8683178391,1668888.3647469576,10.966488988886063,4.90118606175198,13.367675050638042,6994.246083580281,3520000,1693172,1993.003283824
72,3-3-6-2-3-2-6-5-10,3-3-6-2-3-2-6-5-10|00000011,L9-I5-TSSJ-R1-F17y,Agent,true,-635789.9873103953,635789.9873103953,1747165.1472647542,7.414573869420951,20.820323125359625,25.734896994780577,6293.956108846552,3520000,1887012,4016.929454
73,3-2-3-2-3-3-5-5-10,3-2-3-2-3-3-5-5-10|00000001,L9-I6-TJJ-R1-F25y,Agent,true,-994900.0418638572,994900.0418638572,1787157.191547617,3.8292596809409543,13.982582142993579,15.311841823934532,9290.283315879615,3520000,1900119,2975.966173104
74,3-3-2-2-3-6-5-10,3-3-2-2-3-6-5-10|0000011,L8-I5-TSJ-R1-F20y,Agent,true,-1402567.848068471,1402567.848068471,1701463.8300005423,4.3380842225668985,3.8496343576099643,5.687718580176863,7459.783069743742,3520000,1953493,2737.955140048
75,3-3-3-2-2-3-5-6-10,3-3-3-2-2-3-5-6-10|00000000,L9-I6-TJS-R0-F18y,Agent,true,-644013.7753693956,644013.7753693956,927007.7422345657,2.500000171989865,9.881472901419993,9.881473073409857,6810.677999053161,3520000,1942997,3081.473505408
76,3-3-3-2-2-5-6-10,3-3-3-2-2-5-6-10|0000000,L8-I5-TJS-R0-F25y,Agent,true,-669116.0700153759,669116.0700153759,925023.2771533142,5.142340104322569,6.249140804708426,8.891480909030996,9296.903989318595,3520000,1796758,2549.064415568
77,3-3-2-2-3-6-5-5-10,3-3-2-2-3-6-5-5-10|00000101,L9-I5-TSJJ-R3-F29y,Agent,true,-445823.3896694907,445823.3896694907,1713596.803878478,0.00025345821181383684,33.96133800243603,33.96133800243603,10956.999605376113,3520000,1897010,3414.109262304
78,3-3-2-3-2-5-5-10,3-3-2-3-2-5-5-10|0000001,L8-I5-TJJ-R1-F27y,Agent,true,-904308.464808873,904308.464808873,1784607.146475527,4.968927444749119,15.14855233300312,17.61747977775224,10045.822679859013,3520000,1915851,2131.2447484
79,3-3-2-2-6-3-5-10,3-3-2-2-6-3-5-10|0000001,L8-I5-TSJ-R1-F26y,Agent,true,-950683.0933390949,950683.0933390949,1705821.7903379407,5.472027392522704,12.312411873371182,15.284439265893887,9716.040525127,3520000,1848836,2512.78635568
80,3-3-5-2-3-6-5-10,3-3-5-2-3-6-5-10|0000011,L8-I4-TJSJ-R1-F18y,Agent,true,-1219940.3146021925,1219940.3146021925,1574396.2933963344,2.579416911742942,7.125531018198967,7.204947929941909,6667.92395704716,3520000,1863135,3454.698806208
81,3-3-2-3-6-5-10,3-3-2-3-6-5-10|000011,L7-I4-TSJ-R1-F23y,Agent,true,-1338872.132284814,1338872.132284814,1708151.9952280927,5.635498439953022,3.7878651774006147,6.923363617353637,8700.731943316812,3520000,1898244,2806.30590984
82,3-3-3-2-6-2-3-6-5-10,3-3-3-2-6-2-3-6-5-10|000000011,L10-I6-TSSJ-R1-F26y,Agent,true,-609433.0985805184,609433.0985805184,1705642.2421046277,2.961327342547223,25.721887631981634,26.183214974528855,9615.976949567324,3520000,2050259,4788.216001232
83,3-2-3-2-6-5-10,3-2-3-2-6-5-10|000011,L7-I4-TSJ-R1-F17y,Agent,true,-1291782.0668434822,1291782.0668434822,1713561.4095216321,4.047441084654303,6.331253860460162,7.878694945114465,6423.7499807849,3520000,1815828,2535.272011888
84,3-3-2-5-2-3-6-5-10,3-3-2-5-2-3-6-5-10|00000011,L9-I5-TJSJ-R1-F21y,Agent,true,-1110167.1384721638,1110167.1384721638,1482846.2879248287,5.032508285231591,5.5153916057854975,8.047899891017089,7884.379350802913,3520000,2000933,4445.721717664
85,3-3-3-2-3-2-6-5-10,3-3-3-2-3-2-6-5-10|00000011,L9-I6-TSJ-R1-F22y,Agent,true,-1265071.5116409403,1265071.5116409403,1712907.3257542267,1.882880161171454,8.381586765006805,8.381586765006805,8165.883534315418,3520000,2095040,3818.277740656
86,3-3-2-3-2-3-6-5-10,3-3-2-3-2-3-6-5-10|00000011,L9-I6-TSJ-R1-F22y,Agent,true,-1416568.506858953,1416568.506858953,1700311.9544125118,2.7529862335791457,5.1746136761110515,5.427599909690198,8313.537678918881,3520000,2283426,4842.539290176
