candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
48,1,0.5303596333685027,0.5303596333685027,0.17937305130385486,0.291375060174681,0.6613125,0.17857142857142858,0.45,0.26865671641791045,0.2791666666666667,49,22,204342,672,2016,-0.35,-0.998992,5,840,0.092950893,,168,3,22,60,0.7552020686352241,0.635548006808943,3.0807975354951567,0
49,1,0.4906185917717032,0.4906185917717032,0.15895867768595046,0.2968477023915746,0.6346875,0.14060606060606065,0.175,0.25,0.11666666666666667,21,33,139823.8,332.8,1045,-0.07499999999999998,-0.9994775,5,275,0.036216837,,55,12,12,5,0.6417840634925706,0.5744643306777658,3.293254410393916,0
50,0,15.815510557964274,0.44625170977015743,0.13774780132642128,0.22990841631506811,0.6018125,0.021507344607843128,0,0,0,0,40,166614.2,441.4,2584,0.1,-0.998708,5,340,0.020968453,,68,11,6,20,0.6097863538504034,0.27197616239587563,1.2294412525241345,0
51,0,15.815510557964274,0.4634701442395769,0.1406069780853726,0.2034813385881243,0.572375,0.042647037990196174,0,0,0,0,40,112215.8,268.2,3944,0.1,-0.998028,5,170,0.012532307,,34,19,2,8,0.6107309515470611,0.277042079898018,0.7290419722893866,1
52,1,0.4654217079250508,0.4654217079250508,0.14913343131562373,0.281643999575938,0.6581875,0.10459337349397592,0.2,0.3076923076923077,0.10833333333333334,18,32,378714,962,2656,-0.1,-0.998672,5,830,0.172643001,,166,20,19,9,0.8509382159555934,0.6920065957319628,2.7881693275161297,1
53,1,0.48281399484371224,0.48281399484371224,0.13894855937512493,0.3069354597846817,0.6744375,0.09036445833333333,0.25,0.5263157894736842,0.07916666666666666,9,30,47060.4,107.2,976,-0.15,-0.999512,5,80,0.012966171,,16,6,3,7,0.4838369387485746,0.8964429387860748,1.737697810910446,1
54,0,15.815510557964274,1.3939113119257123,0.15601835185241816,0.18963675213675213,0.551375,0.13472165555555554,0,0,0,0,40,28324.4,82.8,180,0.1,-0.99991,5,90,0.016332556,,18,16,22,7,0.6747508221648106,0.9657531072199339,0.7528746801263493,1
55,0,15.815510557964274,0.652477434781313,0.14411354007410213,0.21473165684245626,0.591875,0.08201731052631576,0,0,0,0,40,15932.8,57,57,0.1,-0.9999715,5,95,0.00790778,,19,5,59,54,0.7001391555453986,0.4831782094089928,2.1696778847734333,1
56,0,15.815510557964274,0.4318019066988344,0.13423605442176859,0.26085023609648167,0.659625,0.0344523809523809,0,0,0,0,40,397560,1148,27825,0.1,-0.9860875,5,875,0.044128648,,175,17,1,10,0.4188051960159077,0.3291564128590782,0.7314604383339482,1
57,0,15.815510557964274,2.3025859263278,0.16666633333433287,0.16666666666666666,0.5,0.16666566666666666,0,0,0,0,40,12174,45,60,0.1,-0.99997,5,75,0.004742178,,15,11,44,4,0.6825350111748814,0.3671411604996636,1.2254907498110608,0
